* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 22, 2024 6:54:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.683571	-140.0216
20.600000	98.709328	-140.8328
20.900000	98.731445	-141.5392
21.200001	98.759186	-142.2442
21.400000	98.781723	-142.7292
21.799999	98.831917	-143.7403
22.000000	98.856911	-144.2564
22.400000	98.902374	-145.2676
22.700001	98.931320	-145.9682
23.000000	98.957611	-146.6038
23.299999	98.983627	-147.1828
23.600000	99.011009	-147.7314
24.000000	99.048798	-148.4711
24.299999	99.075241	-149.0573
24.700001	99.104050	-149.8800
25.000000	99.120499	-150.5042
25.400000	99.138962	-151.3097
25.799999	99.159637	-152.0658
26.200001	99.185997	-152.7877
26.500000	99.208130	-153.3240
26.900000	99.235596	-154.0429
27.200001	99.251602	-154.5794
27.600000	99.265846	-155.2718
28.000000	99.275230	-155.9264
28.500000	99.287674	-156.7096
29.000000	99.303757	-157.5033
29.500000	99.318390	-158.3213
30.000000	99.327164	-159.1200
30.400000	99.331924	-159.7174
30.700001	99.336327	-160.1436
31.100000	99.344528	-160.7021
31.500000	99.353828	-161.2719
32.000000	99.362541	-162.0026
32.500000	99.366447	-162.7208
33.000000	99.369888	-163.3987
33.500000	99.376343	-164.0502
34.000000	99.382599	-164.7034
34.500000	99.382767	-165.3548
35.000000	99.376305	-165.9752
35.500000	99.368958	-166.5565
36.000000	99.365883	-167.1293
36.500000	99.366104	-167.7244
37.000000	99.365379	-168.3338
37.500000	99.362259	-168.9235
38.200001	99.357880	-169.6895
38.700001	99.355057	-170.2159
39.500000	99.343536	-171.0479
40.000000	99.332047	-171.5463
40.599998	99.319763	-172.1293
41.200001	99.310410	-172.7284
41.799999	99.300072	-173.3451
42.500000	99.285309	-174.0453
