* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 22, 2025 2:15:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.848	-177.0432
20.299999	99.831	-177.6303
20.600000	99.815	-178.2002
20.900000	99.802	-178.7643
21.200001	99.791	-179.3366
21.400000	99.783	-179.7286
21.799999	99.764	179.4649
22.000000	99.751	179.0573
22.400000	99.716	178.2587
22.700001	99.685	177.6996
23.000000	99.651	177.1876
23.299999	99.618	176.7220
23.600000	99.589	176.2905
24.000000	99.557	175.7357
24.299999	99.537	175.3145
24.700001	99.511	174.7332
25.000000	99.491	174.2874
25.400000	99.461	173.6942
25.799999	99.428	173.1166
26.200001	99.393	172.5592
26.500000	99.367	172.1521
26.900000	99.332	171.6210
27.200001	99.305	171.2312
27.600000	99.269	170.7244
28.000000	99.232	170.2319
28.500000	99.188	169.6285
29.000000	99.144	169.0265
29.500000	99.098	168.4245
30.000000	99.049	167.8380
30.400000	99.008	167.3909
30.700001	98.977	167.0698
31.100000	98.938	166.6559
31.500000	98.900	166.2489
32.000000	98.855	165.7392
32.500000	98.808	165.2298
33.000000	98.760	164.7326
33.500000	98.712	164.2554
34.000000	98.664	163.7964
34.500000	98.617	163.3494
35.000000	98.570	162.9084
35.500000	98.524	162.4690
36.000000	98.476	162.0302
36.500000	98.426	161.5998
37.000000	98.373	161.1918
37.500000	98.321	160.8128
38.200001	98.251	160.3096
38.700001	98.203	159.9490
39.500000	98.125	159.3724
40.000000	98.076	159.0292
40.599998	98.019	158.6309
41.200001	97.964	158.2249
41.799999	97.906	157.8138
42.500000	97.835	157.3700
43.099998	97.777	157.0251
43.700001	97.723	156.6724
44.400002	97.656	156.2411
45.000000	97.594	155.9061
45.500000	97.545	155.6608
46.200001	97.484	155.3060
46.799999	97.429	154.9600
47.500000	97.356	154.5807
48.200001	97.284	154.2806
48.700001	97.239	154.0745
49.400002	97.179	153.7458
50.000000	97.123	153.4552
50.799999	97.047	153.1066
51.500000	96.982	152.8207
52.200001	96.919	152.5361
53.000000	96.845	152.2188
53.799999	96.768	151.9368
54.500000	96.706	151.7357
55.200001	96.653	151.5023
56.000000	96.585	151.1400
57.000000	96.476	150.8138
58.000000	96.393	150.5870
59.000000	96.302	150.2320
60.000000	96.209	150.0477
60.799999	96.155	149.8571
61.500000	96.100	149.6121
62.200001	96.036	149.4152
63.000000	95.969	149.2378
64.000000	95.888	149.0007
65.000000	95.806	148.7805
66.000000	95.725	148.5617
67.000000	95.645	148.3597
68.000000	95.565	148.1502
69.000000	95.484	147.9659
70.000000	95.406	147.8061
71.000000	95.330	147.6499
72.000000	95.255	147.5004
73.000000	95.181	147.3526
74.000000	95.106	147.2213
