* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 22, 2025 2:18:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R Oct 22
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.525	-172.8356
20.299999	99.508	-173.4682
20.600000	99.496	-174.0999
20.900000	99.485	-174.7521
21.200001	99.471	-175.4267
21.400000	99.458	-175.8789
21.799999	99.423	-176.7461
22.000000	99.403	-177.1449
22.400000	99.363	-177.8631
22.700001	99.339	-178.3491
23.000000	99.322	-178.8218
23.299999	99.310	-179.3096
23.600000	99.300	-179.8278
24.000000	99.282	179.4435
24.299999	99.262	178.8951
24.700001	99.230	178.2001
25.000000	99.204	177.7169
25.400000	99.172	177.1119
25.799999	99.145	176.5175
26.200001	99.120	175.9045
26.500000	99.099	175.4304
26.900000	99.065	174.7972
27.200001	99.036	174.3386
27.600000	98.993	173.7687
28.000000	98.952	173.2499
28.500000	98.906	172.6453
29.000000	98.867	172.0336
29.500000	98.830	171.3845
30.000000	98.786	170.7211
30.400000	98.746	170.2121
30.700001	98.715	169.8527
31.100000	98.675	169.3990
31.500000	98.639	168.9557
32.000000	98.594	168.3935
32.500000	98.546	167.8290
33.000000	98.494	167.2950
33.500000	98.444	166.8043
34.000000	98.398	166.3320
34.500000	98.354	165.8475
35.000000	98.309	165.3511
35.500000	98.259	164.8683
36.000000	98.209	164.4167
36.500000	98.161	163.9882
37.000000	98.115	163.5636
37.500000	98.069	163.1378
38.200001	98.003	162.5586
38.700001	97.956	162.1628
39.500000	97.881	161.5443
40.000000	97.833	161.1704
40.599998	97.776	160.7427
41.200001	97.720	160.3203
41.799999	97.662	159.8960
42.500000	97.589	159.4386
43.099998	97.531	159.0754
43.700001	97.475	158.6817
44.400002	97.399	158.2162
45.000000	97.334	157.9007
45.500000	97.291	157.6532
46.200001	97.240	157.1796
46.799999	97.179	156.7078
47.500000	97.098	156.2903
48.200001	97.034	155.9174
48.700001	96.986	155.5829
49.400002	96.896	155.2255
50.000000	96.831	155.1580
50.799999	96.800	155.0012
51.500000	96.766	154.5785
52.200001	96.701	154.2209
53.000000	96.637	153.9191
53.799999	96.560	153.4933
54.500000	96.469	153.2764
55.200001	96.402	153.2097
56.000000	96.347	152.9435
57.000000	96.248	152.5172
58.000000	96.152	152.1821
59.000000	96.053	151.8529
60.000000	95.974	151.6181
60.799999	95.917	151.3222
61.500000	95.856	151.0755
62.200001	95.797	150.8846
63.000000	95.731	150.6626
64.000000	95.645	150.4307
65.000000	95.567	150.2171
66.000000	95.482	149.9643
67.000000	95.395	149.7798
68.000000	95.318	149.5855
69.000000	95.240	149.3729
70.000000	95.162	149.1729
71.000000	95.087	148.9912
72.000000	95.012	148.8267
73.000000	94.942	148.6864
74.000000	94.867	148.5165
75.000000	94.788	148.5035
76.199997	94.740	148.3572
77.500000	94.622	147.9611
78.800003	94.517	147.9680
80.000000	94.431	147.8136
81.199997	94.344	147.7260
82.500000	94.256	147.5863
83.800003	94.169	147.4680
85.000000	94.088	147.3793
86.199997	94.014	147.3141
87.500000	93.928	147.2165
88.500000	93.863	147.2052
90.000000	93.773	147.1055
91.199997	93.693	147.0560
92.500000	93.614	147.0193
93.800003	93.535	146.9665
95.000000	93.461	146.9450
96.199997	93.392	146.9261
97.500000	93.315	146.9200
98.800003	93.243	146.9124
100.000000	93.175	146.9006
101.500000	93.090	146.9012
103.000000	93.011	146.9205
104.400002	92.936	146.9016
106.000000	92.847	146.9296
107.500000	92.769	146.9566
109.000000	92.689	147.0118
110.599998	92.609	147.0406
112.000000	92.537	147.0856
113.800003	92.449	147.1480
115.000000	92.394	147.1805
117.199997	92.293	147.2802
118.000000	92.252	147.2986
120.599998	92.149	147.4119
122.000000	92.067	147.5098
124.099998	91.973	147.6280
125.000000	91.934	147.6918
126.500000	91.870	147.7631
128.000000	91.806	147.8412
131.500000	91.660	148.0615
132.000000	91.640	148.1082
134.000000	91.563	148.2512
136.000000	91.481	148.4297
138.000000	91.390	148.5347
140.000000	91.352	148.7617
143.000000	91.204	148.7125
145.000000	91.160	149.0653
147.500000	91.058	149.3013
150.000000	90.969	149.4573
152.500000	90.890	149.7117
155.000000	90.807	149.8923
157.500000	90.723	150.1622
160.000000	90.645	150.3753
162.500000	90.570	150.5922
165.000000	90.498	150.8651
167.500000	90.424	151.0939
170.000000	90.350	151.3365
172.500000	90.280	151.5501
175.000000	90.212	151.7953
177.500000	90.146	152.0491
180.000000	90.080	152.2455
182.500000	90.021	152.5308
