* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 10, 2024 6:37:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.507172	-140.2656
20.299999	98.477966	-140.8637
20.600000	98.452896	-141.3220
20.900000	98.431702	-141.6507
21.200001	98.418480	-141.8308
21.400000	98.419968	-141.8641
21.799999	98.465622	-141.8347
22.000000	98.513039	-141.8564
22.400000	98.643616	-142.1619
22.700001	98.744202	-142.7181
23.000000	98.819695	-143.5038
23.299999	98.855331	-144.3765
23.600000	98.853020	-145.1631
24.000000	98.824829	-145.8703
24.299999	98.818085	-146.1628
24.700001	98.857407	-146.4707
25.000000	98.915215	-146.8392
25.400000	98.993881	-147.6336
25.799999	99.034454	-148.6332
26.200001	99.030495	-149.5481
26.500000	99.015564	-150.0587
26.900000	99.009933	-150.5359
27.200001	99.026718	-150.8425
27.600000	99.067673	-151.3392
28.000000	99.106339	-151.9697
28.500000	99.127625	-152.7729
29.000000	99.139137	-153.3676
29.500000	99.180664	-153.8215
30.000000	99.254112	-154.4461
30.400000	99.307129	-155.1720
30.700001	99.327560	-155.7960
31.100000	99.323502	-156.5970
31.500000	99.297424	-157.2247
32.000000	99.272469	-157.7408
32.500000	99.282089	-158.1692
33.000000	99.309258	-158.7456
33.500000	99.321068	-159.4463
34.000000	99.313828	-160.0717
34.500000	99.314247	-160.5535
35.000000	99.338234	-161.0547
35.500000	99.365479	-161.7254
36.000000	99.366470	-162.4721
36.500000	99.343414	-163.0715
37.000000	99.329330	-163.4599
37.500000	99.346115	-163.8145
38.200001	99.385239	-164.5851
38.700001	99.385178	-165.2515
39.500000	99.343788	-166.0312
40.000000	99.331696	-166.3048
40.599998	99.350143	-166.6492
41.200001	99.381348	-167.1846
41.799999	99.394920	-167.8682
42.500000	99.381287	-168.6255
43.099998	99.365700	-169.1486
43.700001	99.360329	-169.6348
44.400002	99.355568	-170.2351
45.000000	99.346336	-170.7103
45.500000	99.343674	-171.0554
46.200001	99.352921	-171.5710
46.799999	99.353897	-172.0976
47.500000	99.331406	-172.6302
48.200001	99.317825	-172.9380
48.700001	99.332596	-173.1565
49.400002	99.362328	-173.6990
50.000000	99.360939	-174.3098
50.799999	99.321068	-174.9978
51.500000	99.285934	-175.4312
52.200001	99.259850	-175.8318
53.000000	99.234589	-176.2707
53.799999	99.221336	-176.7032
54.500000	99.216026	-177.1539
55.200001	99.201744	-177.6548
56.000000	99.174362	-178.1443
57.000000	99.159164	-178.6335
58.000000	99.152290	-179.2160
59.000000	99.139969	-179.7453
60.000000	99.129257	179.6219
60.799999	99.090111	179.1701
61.500000	99.065170	178.9528
62.200001	99.062897	178.6626
63.000000	99.043808	178.1692
64.000000	98.996590	177.7192
65.000000	98.977760	177.2816
66.000000	98.941109	176.6879
67.000000	98.892776	176.3031
68.000000	98.884285	175.9041
69.000000	98.850121	175.2835
70.000000	98.799171	175.0080
71.000000	98.804588	174.6734
72.000000	98.773323	174.0925
73.000000	98.728836	173.8002
74.000000	98.712166	173.4614
75.000000	98.680725	173.0626
76.199997	98.646225	172.6540
77.500000	98.607773	172.1552
78.800003	98.563370	171.7115
80.000000	98.529144	171.2939
81.199997	98.484238	170.8892
82.500000	98.447800	170.4917
83.800003	98.393005	170.0408
85.000000	98.358154	169.7884
86.199997	98.325958	169.3171
87.500000	98.269333	168.9856
88.500000	98.243576	168.6796
90.000000	98.180687	168.3501
91.199997	98.162277	168.0120
92.500000	98.100639	167.6699
93.800003	98.075310	167.4055
95.000000	98.028320	167.0276
96.199997	97.988083	166.7736
97.500000	97.943474	166.4170
98.800003	97.898659	166.1345
100.000000	97.861900	165.8504
101.500000	97.810196	165.5417
103.000000	97.764969	165.2374
104.400002	97.713341	164.9572
106.000000	97.657066	164.6447
107.500000	97.608917	164.3862
109.000000	97.559906	164.0959
110.599998	97.511772	163.7252
112.000000	97.454803	163.5967
113.800003	97.391159	163.2985
115.000000	97.350739	163.1685
117.199997	97.281113	162.7678
118.000000	97.257294	162.6416
120.599998	97.126083	162.1057
122.000000	97.125259	162.0235
124.099998	97.054848	161.8263
125.000000	97.027435	161.6969
126.500000	96.978378	161.5646
128.000000	96.930923	161.3466
131.500000	96.805901	160.9821
132.000000	96.793625	160.8857
134.000000	96.722061	160.6906
136.000000	96.655960	160.4352
138.000000	96.598808	160.2764
140.000000	96.529503	160.1090
143.000000	96.429886	159.8552
145.000000	96.374512	159.7305
147.500000	96.299149	159.6030
150.000000	96.215050	159.5591
152.500000	96.137360	159.3286
155.000000	96.067307	159.1721
157.500000	96.000717	159.0097
160.000000	95.907951	158.8338
162.500000	95.837814	158.7184
165.000000	95.776306	158.6600
167.500000	95.685677	158.5942
170.000000	95.609062	158.5670
172.500000	95.514175	158.5477
175.000000	95.438080	158.4097
177.500000	95.368927	158.4669
180.000000	95.293144	158.2024
182.500000	95.227882	158.4020
185.000000	95.153687	158.5969
187.500000	95.078758	158.7529
190.000000	95.003426	158.8484
192.500000	94.935890	158.9868
195.000000	94.883232	159.1680
197.500000	94.825737	159.3845
200.000000	94.783981	159.6926
203.000000	94.753708	159.9662
206.000000	94.723045	160.2047
209.000000	94.718742	160.2930
212.000000	94.705070	160.2039
214.000000	94.689201	160.2294
218.000000	94.634621	159.9628
220.000000	94.614876	159.8934
224.000000	94.541130	159.6295
227.000000	94.489151	159.5989
230.000000	94.435181	159.5034
233.000000	94.365601	159.4458
236.000000	94.301544	159.3716
240.000000	94.210243	159.4218
243.000000	94.153831	159.4449
247.000000	94.077568	159.5268
250.000000	94.004402	159.5533
254.000000	93.939827	159.6186
258.000000	93.857079	159.7061
262.000000	93.774620	159.8287
265.000000	93.723305	159.8989
269.000000	93.650917	160.0248
272.000000	93.597931	160.1490
276.000000	93.528984	160.3121
280.000000	93.454979	160.4619
285.000000	93.371834	160.6325
290.000000	93.289688	160.8763
295.000000	93.210297	161.0999
300.000000	93.124825	161.3301
304.000000	93.068085	161.4917
307.000000	93.023872	161.7399
311.000000	92.957230	161.8828
315.000000	92.905548	162.0318
320.000000	92.830620	162.3528
325.000000	92.763718	162.6254
330.000000	92.696609	162.9114
335.000000	92.624588	163.1824
340.000000	92.560760	163.4466
345.000000	92.494408	163.7159
350.000000	92.437538	164.0099
355.000000	92.369049	164.3083
360.000000	92.316376	164.6103
