* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 10, 2024 6:40:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.368752	-130.7602
20.299999	98.561035	-132.5438
20.600000	98.629013	-134.7731
20.900000	98.554771	-136.9288
21.200001	98.367294	-138.4871
21.400000	98.215515	-138.9885
21.799999	97.984360	-138.7872
22.000000	97.953987	-138.3463
22.400000	98.080086	-137.6389
22.700001	98.272369	-137.8990
23.000000	98.459198	-138.9233
23.299999	98.580116	-140.4455
23.600000	98.615997	-142.0598
24.000000	98.572891	-143.7618
24.299999	98.532295	-144.5644
24.700001	98.536903	-145.2475
25.000000	98.587814	-145.7909
25.400000	98.673508	-146.8064
25.799999	98.721481	-147.9979
26.200001	98.725945	-148.9782
26.500000	98.729187	-149.4518
26.900000	98.771507	-149.8961
27.200001	98.833336	-150.2941
27.600000	98.915100	-151.0909
28.000000	98.948120	-152.0542
28.500000	98.910027	-152.9177
29.000000	98.884537	-153.0619
29.500000	98.963737	-153.0282
30.000000	99.095284	-153.6207
30.400000	99.155807	-154.5432
30.700001	99.154579	-155.2596
31.100000	99.110458	-155.9610
31.500000	99.069870	-156.3023
32.000000	99.076561	-156.5942
32.500000	99.115463	-157.2016
33.000000	99.113548	-158.0205
33.500000	99.073151	-158.5747
34.000000	99.072052	-158.7789
34.500000	99.146469	-159.1270
35.000000	99.230209	-160.0178
35.500000	99.241989	-161.2065
36.000000	99.183838	-162.1193
36.500000	99.129059	-162.5363
37.000000	99.129234	-162.7918
37.500000	99.160110	-163.2670
38.200001	99.165634	-164.1810
38.700001	99.144539	-164.6849
39.500000	99.142914	-165.2757
40.000000	99.156525	-165.7298
40.599998	99.164131	-166.3180
41.200001	99.174057	-166.8767
41.799999	99.189880	-167.5132
42.500000	99.183342	-168.3345
43.099998	99.160011	-168.8672
43.700001	99.156616	-169.2595
44.400002	99.167961	-169.8317
45.000000	99.156334	-170.3209
45.500000	99.148041	-170.5709
46.200001	99.180153	-170.9263
46.799999	99.207214	-171.5825
47.500000	99.155838	-172.3779
48.200001	99.091057	-172.5387
48.700001	99.110840	-172.5622
49.400002	99.165054	-173.2546
50.000000	99.124359	-174.1297
50.799999	99.013878	-174.5042
51.500000	99.027908	-174.5486
52.200001	99.067764	-175.2464
53.000000	99.014732	-176.0562
53.799999	98.993309	-176.2644
54.500000	99.032982	-176.6609
55.200001	99.041397	-177.2272
56.000000	99.045990	-177.6122
57.000000	99.081238	-178.2870
58.000000	99.047981	-178.9681
59.000000	99.006638	-179.4242
60.000000	98.937172	-179.6650
60.799999	98.942444	-179.6739
61.500000	98.972443	179.8257
62.200001	98.934395	179.0940
63.000000	98.855682	178.7062
64.000000	98.846527	178.3816
65.000000	98.839706	177.6401
66.000000	98.803520	177.0442
67.000000	98.778770	176.6319
68.000000	98.771942	176.2427
69.000000	98.753151	175.7839
70.000000	98.726700	175.4012
71.000000	98.695557	174.9089
72.000000	98.633377	174.5304
73.000000	98.613365	174.3380
74.000000	98.612244	173.7702
75.000000	98.560501	173.2803
76.199997	98.542946	172.9122
77.500000	98.496674	172.3862
78.800003	98.473953	172.0092
80.000000	98.423302	171.5864
81.199997	98.389763	171.1902
82.500000	98.341537	170.7898
83.800003	98.315994	170.1812
85.000000	98.260231	169.8146
86.199997	98.237930	169.4029
87.500000	98.190292	169.1083
88.500000	98.185097	168.8184
90.000000	98.109253	168.2293
91.199997	98.059731	168.0912
92.500000	98.024445	167.6825
93.800003	97.970932	167.3589
95.000000	97.942848	167.0275
96.199997	97.907265	166.6080
97.500000	97.846382	166.2526
98.800003	97.806427	166.0908
100.000000	97.772285	165.8344
101.500000	97.741959	165.6134
103.000000	97.695244	165.1126
104.400002	97.637054	164.6307
106.000000	97.561722	164.5087
107.500000	97.498993	163.8091
109.000000	97.453171	163.9885
110.599998	97.410355	163.4779
112.000000	97.386559	163.2729
113.800003	97.318871	162.9785
115.000000	97.289124	162.8421
117.199997	97.181496	162.5389
118.000000	97.186539	162.4237
120.599998	97.066856	162.3364
122.000000	97.049942	161.8185
124.099998	96.988129	161.4618
125.000000	96.975151	161.3188
126.500000	96.895912	161.1191
128.000000	96.870049	161.0082
131.500000	96.771233	160.5810
132.000000	96.757812	160.4737
134.000000	96.707870	160.1511
136.000000	96.624763	160.0710
138.000000	96.548111	159.8665
140.000000	96.482063	159.5639
143.000000	96.410866	159.3764
145.000000	96.335213	159.2036
147.500000	96.259521	158.8412
150.000000	96.178719	158.7378
152.500000	96.140503	158.7354
155.000000	96.061180	158.5462
157.500000	95.977722	158.4222
160.000000	95.913284	157.9544
162.500000	95.778198	157.9756
165.000000	95.764458	157.9814
167.500000	95.689400	157.7248
170.000000	95.618164	157.9544
172.500000	95.422531	157.4696
175.000000	95.467407	156.8733
177.500000	95.434799	157.0892
180.000000	95.446724	157.3335
182.500000	95.266304	157.8956
185.000000	95.186783	156.5686
187.500000	95.210640	157.4246
190.000000	95.110374	156.6970
192.500000	95.097496	157.3616
195.000000	94.983124	157.0149
197.500000	94.918274	157.0154
200.000000	94.881538	157.0721
203.000000	94.854385	157.3273
206.000000	94.716599	157.3212
209.000000	94.644073	157.3774
212.000000	94.582466	157.1119
214.000000	94.545578	157.0690
218.000000	94.472939	157.0256
220.000000	94.407753	157.1451
224.000000	94.343361	157.0268
227.000000	94.247009	157.3825
230.000000	94.194824	157.4331
233.000000	94.134140	157.5945
236.000000	94.076416	157.4321
240.000000	93.985138	157.2248
243.000000	93.962479	157.6392
247.000000	93.863785	157.4359
250.000000	93.778259	157.7392
254.000000	93.695549	157.6799
258.000000	93.656433	157.9716
262.000000	93.564827	157.8828
265.000000	93.489304	157.8688
269.000000	93.426620	158.0969
272.000000	93.406403	158.3781
276.000000	93.351189	158.5816
280.000000	93.269730	158.8348
285.000000	93.146126	158.9646
290.000000	93.107010	158.9531
295.000000	93.037804	159.2125
300.000000	92.936058	159.4664
304.000000	92.861588	159.6684
307.000000	92.834305	159.7342
311.000000	92.778503	159.8500
315.000000	92.723602	160.0667
320.000000	92.639336	160.3289
325.000000	92.564362	160.5538
330.000000	92.491165	160.8400
335.000000	92.430740	161.1042
340.000000	92.346695	161.3112
345.000000	92.283363	161.5354
350.000000	92.238586	161.8582
355.000000	92.168251	162.1973
360.000000	92.080994	162.3771
365.000000	92.046257	162.7386
370.000000	91.994095	163.0724
375.000000	91.932404	163.3921
382.000000	91.845161	163.7715
387.000000	91.796715	164.0722
