* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 22, 2025 2:46:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.852	-169.8165
20.600000	100.848	-170.3930
20.900000	100.836	-170.8835
21.200001	100.825	-171.3443
21.400000	100.821	-171.6426
21.799999	100.819	-172.2386
22.000000	100.821	-172.5419
22.400000	100.827	-173.1583
22.700001	100.830	-173.6184
23.000000	100.830	-174.0655
23.299999	100.829	-174.4961
23.600000	100.827	-174.9176
24.000000	100.827	-175.4958
24.299999	100.829	-175.9637
24.700001	100.830	-176.6415
25.000000	100.828	-177.1694
25.400000	100.820	-177.8483
25.799999	100.812	-178.4445
26.200001	100.809	-178.9450
26.500000	100.811	-179.2776
26.900000	100.816	-179.7030
27.200001	100.817	179.9763
27.600000	100.812	179.5487
28.000000	100.799	179.1345
28.500000	100.782	178.6284
29.000000	100.772	178.0724
29.500000	100.764	177.4294
30.000000	100.745	176.7708
30.400000	100.724	176.3083
30.700001	100.708	176.0146
31.100000	100.694	175.6677
31.500000	100.687	175.3120
32.000000	100.679	174.7923
32.500000	100.662	174.2143
33.000000	100.636	173.6651
33.500000	100.613	173.1794
34.000000	100.599	172.7161
34.500000	100.588	172.2358
35.000000	100.572	171.7494
35.500000	100.552	171.2839
36.000000	100.531	170.8361
36.500000	100.510	170.3842
37.000000	100.489	169.9260
37.500000	100.467	169.4785
38.200001	100.439	168.8771
38.700001	100.420	168.4472
39.500000	100.386	167.7547
40.000000	100.362	167.3405
40.599998	100.334	166.8658
41.200001	100.307	166.3986
41.799999	100.280	165.9310
42.500000	100.246	165.3896
43.099998	100.216	164.9319
43.700001	100.186	164.4820
44.400002	100.154	163.9631
45.000000	100.128	163.5131
45.500000	100.105	163.1373
46.200001	100.070	162.6332
46.799999	100.038	162.2271
47.500000	100.001	161.7592
48.200001	99.961	161.2942
48.700001	99.932	160.9759
49.400002	99.896	160.5373
50.000000	99.867	160.1463
50.799999	99.823	159.6328
