* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 31, 2024 8:55:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.362	177.0960
20.299999	104.351	176.4373
20.600000	104.339	175.7861
20.900000	104.326	175.1454
21.200001	104.311	174.5173
21.400000	104.302	174.1053
21.799999	104.283	173.2915
22.000000	104.274	172.8869
22.400000	104.255	172.0782
22.700001	104.240	171.4730
23.000000	104.223	170.8739
23.299999	104.204	170.2864
23.600000	104.185	169.7141
24.000000	104.160	168.9741
24.299999	104.141	168.4315
24.700001	104.118	167.7179
25.000000	104.100	167.1888
25.400000	104.077	166.4945
25.799999	104.053	165.8156
26.200001	104.030	165.1479
26.500000	104.012	164.6493
26.900000	103.988	163.9851
27.200001	103.967	163.4920
27.600000	103.938	162.8556
28.000000	103.907	162.2543
28.500000	103.872	161.5428
29.000000	103.843	160.8286
29.500000	103.815	160.0737
30.000000	103.779	159.2954
30.400000	103.745	158.6889
30.700001	103.718	158.2554
31.100000	103.682	157.7046
31.500000	103.649	157.1688
32.000000	103.609	156.4969
32.500000	103.570	155.8186
33.000000	103.529	155.1492
33.500000	103.487	154.4973
34.000000	103.447	153.8574
34.500000	103.408	153.2231
35.000000	103.368	152.5942
35.500000	103.328	151.9733
36.000000	103.286	151.3630
36.500000	103.244	150.7673
37.000000	103.202	150.1873
37.500000	103.160	149.6178
38.200001	103.102	148.8281
38.700001	103.059	148.2730
39.500000	102.990	147.4053
40.000000	102.948	146.8640
40.599998	102.896	146.2134
41.200001	102.842	145.5804
41.799999	102.789	144.9645
42.500000	102.729	144.2364
43.099998	102.674	143.6122
43.700001	102.616	143.0298
44.400002	102.554	142.4009
45.000000	102.506	141.8513
45.500000	102.467	141.3707
46.200001	102.405	140.7017
46.799999	102.350	140.1667
47.500000	102.290	139.5671
48.200001	102.233	138.9481
48.700001	102.189	138.4985
49.400002	102.125	137.8964
50.000000	102.071	137.4051
50.799999	102.003	136.7382
51.500000	101.941	136.1492
52.200001	101.877	135.5925
53.000000	101.809	134.9713
53.799999	101.742	134.3389
54.500000	101.681	133.8001
55.200001	101.623	133.2669
56.000000	101.554	132.6538
57.000000	101.465	131.9445
58.000000	101.383	131.2613
59.000000	101.300	130.5555
60.000000	101.214	129.8746
60.799999	101.145	129.3365
61.500000	101.082	128.8822
62.200001	101.022	128.4543
63.000000	100.959	127.9561
64.000000	100.876	127.2945
65.000000	100.789	126.6912
66.000000	100.711	126.1040
67.000000	100.630	125.4880
68.000000	100.548	124.9117
69.000000	100.468	124.3473
70.000000	100.387	123.7850
71.000000	100.307	123.2549
72.000000	100.231	122.7105
73.000000	100.149	122.1555
74.000000	100.068	121.6518
75.000000	99.992	121.1426
76.199997	99.899	120.5418
77.500000	99.799	119.9019
78.800003	99.701	119.3015
80.000000	99.610	118.7349
81.199997	99.520	118.2065
82.500000	99.424	117.6094
83.800003	99.327	117.0483
85.000000	99.240	116.5308
86.199997	99.153	116.0290
87.500000	99.062	115.5018
88.500000	98.993	115.0925
90.000000	98.888	114.4963
91.199997	98.806	114.0349
92.500000	98.717	113.5378
93.800003	98.627	113.0526
95.000000	98.548	112.6234
96.199997	98.469	112.1801
97.500000	98.385	111.7160
98.800003	98.300	111.2592
100.000000	98.223	110.8544
101.500000	98.127	110.3650
103.000000	98.032	109.8772
104.400002	97.944	109.4383
106.000000	97.847	108.9338
107.500000	97.756	108.4758
109.000000	97.667	108.0352
110.599998	97.572	107.5704
112.000000	97.489	107.1793
113.800003	97.382	106.6591
115.000000	97.315	106.3024
117.199997	97.197	105.7153
118.000000	97.144	105.5275
120.599998	97.027	104.6816
122.000000	96.926	104.5929
124.099998	96.809	104.1419
125.000000	96.766	103.9433
126.500000	96.684	103.6057
128.000000	96.613	103.2815
131.500000	96.455	102.5312
132.000000	96.432	102.4263
134.000000	96.338	101.9933
136.000000	96.243	101.5446
138.000000	96.150	101.1236
140.000000	96.055	100.7420
143.000000	95.911	100.2124
145.000000	95.820	99.8895
147.500000	95.712	99.5350
150.000000	95.608	99.2632
152.500000	95.523	99.0593
155.000000	95.461	98.8065
157.500000	95.409	98.4045
160.000000	95.360	97.9040
162.500000	95.293	97.3252
165.000000	95.212	96.7451
167.500000	95.125	96.2080
170.000000	95.035	95.7336
172.500000	94.946	95.3123
175.000000	94.861	94.9435
177.500000	94.780	94.6251
180.000000	94.712	94.4323
182.500000	94.644	94.0454
185.000000	94.589	93.6703
187.500000	94.538	93.2216
190.000000	94.476	92.7545
192.500000	94.405	92.3194
195.000000	94.333	91.9071
197.500000	94.260	91.5361
200.000000	94.193	91.1770
203.000000	94.109	90.7852
206.000000	94.027	90.3951
209.000000	93.950	90.0307
212.000000	93.877	89.6607
214.000000	93.828	89.4438
218.000000	93.737	88.9872
220.000000	93.687	88.7797
224.000000	93.600	88.3495
227.000000	93.538	88.0475
230.000000	93.473	87.7434
233.000000	93.406	87.4222
236.000000	93.350	87.1467
240.000000	93.290	86.9612
243.000000	93.214	86.5377
247.000000	93.138	86.1878
250.000000	93.085	85.9775
254.000000	93.016	85.6994
258.000000	92.960	85.4222
262.000000	92.907	85.1458
265.000000	92.871	84.8740
269.000000	92.815	84.5579
272.000000	92.776	84.2931
276.000000	92.718	83.9780
280.000000	92.666	83.6698
285.000000	92.599	83.2986
290.000000	92.534	82.9470
295.000000	92.471	82.6325
300.000000	92.399	82.2179
304.000000	92.369	82.0685
307.000000	92.334	81.8995
311.000000	92.287	81.6795
315.000000	92.248	81.4662
320.000000	92.191	81.2266
325.000000	92.148	80.9854
330.000000	92.098	80.7678
335.000000	92.053	80.5944
340.000000	92.009	80.4121
345.000000	91.979	80.2630
350.000000	91.949	80.0939
355.000000	91.923	79.9053
360.000000	91.883	79.6882
365.000000	91.875	79.4326
370.000000	91.845	79.2156
375.000000	91.815	78.9964
382.000000	91.770	78.7109
387.000000	91.740	78.5646
395.000000	91.694	78.3243
400.000000	91.668	78.1585
406.000000	91.635	78.0179
412.000000	91.604	77.8538
418.000000	91.574	77.7430
425.000000	91.540	77.6029
431.000000	91.516	77.4659
437.000000	91.496	77.4036
444.000000	91.467	77.2527
450.000000	91.443	77.1934
455.000000	91.427	77.1156
462.000000	91.404	77.0684
468.000000	91.383	76.9865
475.000000	91.362	76.9698
482.000000	91.342	76.9200
487.000000	91.331	76.9005
494.000000	91.311	76.8891
500.000000	91.298	76.8670
508.000000	91.282	76.8543
515.000000	91.264	76.9102
522.000000	91.251	76.9231
530.000000	91.241	76.9235
538.000000	91.224	77.0183
545.000000	91.211	77.0654
552.000000	91.203	77.1367
560.000000	91.191	77.2391
570.000000	91.183	77.3795
580.000000	91.180	77.5411
590.000000	91.171	77.7001
600.000000	91.181	77.8762
608.000000	91.167	78.0002
615.000000	91.166	78.1334
622.000000	91.165	78.2837
630.000000	91.167	78.4316
640.000000	91.167	78.6484
650.000000	91.170	78.9002
660.000000	91.190	79.1454
670.000000	91.178	79.4312
680.000000	91.182	79.7001
690.000000	91.186	80.0085
700.000000	91.191	80.3225
710.000000	91.202	80.6359
720.000000	91.199	81.0221
730.000000	91.221	81.3301
740.000000	91.234	81.7155
750.000000	91.249	82.0917
762.000000	91.269	82.5790
775.000000	91.290	83.1254
788.000000	91.319	83.6691
800.000000	91.347	84.2086
812.000000	91.378	84.7716
825.000000	91.413	85.3625
838.000000	91.458	85.9979
850.000000	91.496	86.5882
862.000000	91.542	87.1961
875.000000	91.596	87.8537
885.000000	91.639	88.3881
900.000000	91.726	89.1485
912.000000	91.771	89.7564
925.000000	91.844	90.3940
938.000000	91.915	91.0980
950.000000	91.988	91.6926
962.000000	92.065	92.2825
975.000000	92.155	92.9337
988.000000	92.242	93.5522
1000.000000	92.334	94.1061
1015.000000	92.444	94.7835
1030.000000	92.563	95.4247
1044.000000	92.682	95.9804
1060.000000	92.812	96.6013
1075.000000	92.934	97.1416
1090.000000	93.063	97.6280
1106.000000	93.199	98.1116
1120.000000	93.320	98.4908
1138.000000	93.470	98.9111
1150.000000	93.567	99.1945
1172.000000	93.747	99.6476
1180.000000	93.807	99.7892
1206.000000	93.999	100.2187
1220.000000	94.102	100.4489
1241.000000	94.244	100.7526
1250.000000	94.308	100.9096
1265.000000	94.409	101.1513
1280.000000	94.514	101.3704
1315.000000	94.751	101.7251
1320.000000	94.782	101.7736
1340.000000	94.898	101.8894
1360.000000	94.999	102.0337
1380.000000	95.101	102.1853
1400.000000	95.184	102.4259
1430.000000	95.313	102.7700
1450.000000	95.393	103.0134
1475.000000	95.496	103.3797
1500.000000	95.586	103.7424
1525.000000	95.685	104.1668
1550.000000	95.780	104.6216
1575.000000	95.872	105.0834
1600.000000	95.966	105.5671
1625.000000	96.059	106.0516
1650.000000	96.154	106.5656
