* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 31, 2024 8:53:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.507	175.1688
20.299999	102.500	174.6085
20.600000	102.491	174.0512
20.900000	102.481	173.5010
21.200001	102.468	172.9623
21.400000	102.460	172.6111
21.799999	102.442	171.9276
22.000000	102.433	171.5942
22.400000	102.416	170.9387
22.700001	102.404	170.4515
23.000000	102.393	169.9649
23.299999	102.381	169.4781
23.600000	102.368	168.9925
24.000000	102.350	168.3515
24.299999	102.336	167.8789
24.700001	102.316	167.2613
25.000000	102.301	166.8064
25.400000	102.281	166.2081
25.799999	102.261	165.6167
26.200001	102.241	165.0330
26.500000	102.225	164.6024
26.900000	102.203	164.0406
27.200001	102.187	163.6287
27.600000	102.166	163.0882
28.000000	102.146	162.5505
28.500000	102.122	161.8713
29.000000	102.094	161.1848
29.500000	102.061	160.5102
30.000000	102.026	159.8705
30.400000	101.998	159.3860
30.700001	101.979	159.0315
31.100000	101.955	158.5588
31.500000	101.932	158.0779
32.000000	101.902	157.4695
32.500000	101.869	156.8703
33.000000	101.835	156.2911
33.500000	101.802	155.7245
34.000000	101.770	155.1591
34.500000	101.738	154.5950
35.000000	101.704	154.0403
35.500000	101.669	153.4976
36.000000	101.635	152.9629
36.500000	101.601	152.4348
37.000000	101.566	151.9177
37.500000	101.531	151.4122
38.200001	101.485	150.7093
38.700001	101.451	150.2039
39.500000	101.395	149.4091
40.000000	101.360	148.9292
40.599998	101.320	148.3548
41.200001	101.279	147.7686
41.799999	101.235	147.1868
42.500000	101.180	146.5482
43.099998	101.136	146.0310
43.700001	101.095	145.5154
44.400002	101.048	144.9008
45.000000	101.007	144.3662
45.500000	100.970	143.9197
46.200001	100.914	143.3143
46.799999	100.865	142.8386
47.500000	100.814	142.3175
48.200001	100.770	141.7662
48.700001	100.736	141.3452
49.400002	100.682	140.7685
