* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 8, 2024 4:51:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.698364	-153.5355
20.299999	99.699203	-154.2775
20.600000	99.699181	-154.9692
20.900000	99.701088	-155.6173
21.200001	99.707191	-156.2387
21.400000	99.714005	-156.6507
21.799999	99.731567	-157.5007
22.000000	99.740150	-157.9471
22.400000	99.751656	-158.8771
22.700001	99.751831	-159.5813
23.000000	99.745071	-160.2606
23.299999	99.734535	-160.8945
23.600000	99.724869	-161.4810
24.000000	99.719437	-162.2259
24.299999	99.720703	-162.7966
24.700001	99.722710	-163.6077
25.000000	99.718658	-164.2400
25.400000	99.703178	-165.0602
25.799999	99.683426	-165.8001
26.200001	99.671455	-166.4773
26.500000	99.670258	-166.9971
26.900000	99.669853	-167.7696
27.200001	99.661095	-168.4081
27.600000	99.626366	-169.2448
28.000000	99.570145	-169.9274
28.500000	99.504364	-170.4477
29.000000	99.485886	-170.7836
29.500000	99.510010	-171.2737
30.000000	99.528267	-172.0250
30.400000	99.517868	-172.6728
30.700001	99.499573	-173.0946
31.100000	99.476837	-173.5405
31.500000	99.470078	-173.9328
32.000000	99.478951	-174.5332
32.500000	99.476654	-175.3181
33.000000	99.440872	-176.1204
33.500000	99.383621	-176.7485
34.000000	99.335304	-177.1864
34.500000	99.311859	-177.5791
35.000000	99.303474	-178.0768
35.500000	99.288620	-178.7084
36.000000	99.252281	-179.3772
36.500000	99.197029	-179.9460
37.000000	99.142212	179.6467
37.500000	99.106613	179.3238
38.200001	99.080704	178.7585
38.700001	99.053505	178.2593
39.500000	98.989975	177.5917
40.000000	98.962982	177.2552
