* Measurement data measured by REW V5.40 beta 124
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.310
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 23, 2026, 5:22:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	109.246	12.2316
20.299999	109.253	11.7395
20.600000	109.261	11.2570
20.900000	109.269	10.7807
21.200001	109.277	10.3090
21.400000	109.283	9.9973
21.799999	109.292	9.3815
22.000000	109.297	9.0774
22.400000	109.305	8.4762
22.700001	109.310	8.0310
23.000000	109.314	7.5916
23.299999	109.317	7.1604
23.600000	109.319	6.7399
24.000000	109.319	6.1982
24.299999	109.320	5.8042
24.700001	109.321	5.2886
25.000000	109.321	4.9045
25.400000	109.321	4.3930
25.799999	109.319	3.8856
26.200001	109.315	3.3888
26.500000	109.311	3.0251
26.900000	109.306	2.5490
27.200001	109.303	2.1949
27.600000	109.298	1.7222
28.000000	109.292	1.2494
28.500000	109.283	0.6677
29.000000	109.271	0.1079
29.500000	109.261	-0.4306
30.000000	109.252	-0.9606
30.400000	109.245	-1.3844
30.700001	109.239	-1.7016
31.100000	109.230	-2.1199
31.500000	109.219	-2.5283
32.000000	109.206	-3.0226
32.500000	109.192	-3.5034
33.000000	109.179	-3.9775
33.500000	109.164	-4.4477
34.000000	109.148	-4.9116
34.500000	109.132	-5.3665
35.000000	109.114	-5.8123
35.500000	109.096	-6.2523
36.000000	109.077	-6.6895
36.500000	109.058	-7.1237
37.000000	109.037	-7.5507
37.500000	109.016	-7.9664
38.200001	108.986	-8.5322
38.700001	108.965	-8.9314
39.500000	108.930	-9.5634
40.000000	108.907	-9.9451
40.599998	108.881	-10.3860
41.200001	108.856	-10.8231
41.799999	108.830	-11.2698
42.500000	108.796	-11.7866
43.099998	108.765	-12.2009
43.700001	108.736	-12.5964
44.400002	108.704	-13.0666
45.000000	108.675	-13.4749
45.500000	108.649	-13.8056
46.200001	108.613	-14.2596
46.799999	108.581	-14.6530
47.500000	108.539	-15.0931
48.200001	108.498	-15.4896
48.700001	108.472	-15.7705
49.400002	108.436	-16.1943
50.000000	108.400	-16.5562
50.799999	108.351	-16.9855
51.500000	108.315	-17.3654
52.200001	108.275	-17.7850
53.000000	108.219	-18.2095
53.799999	108.173	-18.5586
54.500000	108.140	-18.9263
55.200001	108.095	-19.3289
56.000000	108.036	-19.6752
57.000000	107.986	-20.0690
58.000000	107.930	-20.5949
59.000000	107.862	-21.0305
60.000000	107.803	-21.4489
60.799999	107.754	-21.7956
61.500000	107.710	-22.0785
62.200001	107.667	-22.3552
63.000000	107.617	-22.6660
64.000000	107.555	-23.0460
65.000000	107.491	-23.4121
66.000000	107.428	-23.7653
67.000000	107.364	-24.1115
68.000000	107.300	-24.4372
69.000000	107.237	-24.7652
70.000000	107.174	-25.0840
71.000000	107.110	-25.3922
72.000000	107.045	-25.6722
73.000000	106.983	-25.9428
74.000000	106.921	-26.2197
75.000000	106.856	-26.4809
76.199997	106.780	-26.7754
77.500000	106.699	-27.0839
78.800003	106.616	-27.3846
80.000000	106.543	-27.6344
81.199997	106.469	-27.8996
82.500000	106.387	-28.1546
83.800003	106.307	-28.4022
85.000000	106.233	-28.6167
86.199997	106.159	-28.8236
87.500000	106.082	-29.0347
88.500000	106.021	-29.2060
90.000000	105.928	-29.4175
91.199997	105.856	-29.5842
92.500000	105.778	-29.7509
93.800003	105.701	-29.9083
95.000000	105.632	-30.0417
96.199997	105.562	-30.1828
97.500000	105.486	-30.3026
98.800003	105.412	-30.4218
100.000000	105.344	-30.5110
101.500000	105.260	-30.6424
103.000000	105.175	-30.7383
104.400002	105.099	-30.8309
106.000000	105.011	-30.9238
107.500000	104.931	-31.0000
109.000000	104.851	-31.0522
110.599998	104.767	-31.1212
112.000000	104.693	-31.1607
113.800003	104.601	-31.2028
115.000000	104.539	-31.2159
117.199997	104.428	-31.2425
118.000000	104.388	-31.2572
120.599998	104.263	-31.1975
122.000000	104.191	-31.2544
124.099998	104.090	-31.2379
125.000000	104.048	-31.2109
126.500000	103.980	-31.1886
128.000000	103.912	-31.1470
131.500000	103.757	-31.0350
132.000000	103.734	-31.0128
134.000000	103.649	-30.9330
136.000000	103.564	-30.8480
138.000000	103.482	-30.7712
140.000000	103.401	-30.6774
143.000000	103.280	-30.5356
145.000000	103.199	-30.4238
147.500000	103.101	-30.2744
150.000000	103.002	-30.1095
152.500000	102.906	-29.9547
155.000000	102.810	-29.7402
157.500000	102.717	-29.5271
160.000000	102.623	-29.2966
162.500000	102.529	-29.0321
165.000000	102.441	-28.7332
167.500000	102.357	-28.4086
170.000000	102.280	-28.0449
172.500000	102.210	-27.7010
175.000000	102.146	-27.3528
177.500000	102.085	-27.0272
180.000000	102.013	-26.8237
182.500000	101.967	-26.4386
185.000000	101.908	-26.0958
187.500000	101.852	-25.7070
190.000000	101.797	-25.2941
192.500000	101.752	-24.8243
195.000000	101.724	-24.3367
197.500000	101.721	-23.8733
200.000000	101.734	-23.5196
203.000000	101.761	-23.3503
206.000000	101.767	-23.3919
209.000000	101.753	-23.5030
212.000000	101.717	-23.6286
214.000000	101.680	-23.6809
218.000000	101.604	-23.7332
