* Measurement data measured by REW V5.40 beta 124
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.310
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 23, 2026, 5:25:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	109.599	11.6566
20.299999	109.611	11.1743
20.600000	109.620	10.6923
20.900000	109.627	10.2164
21.200001	109.632	9.7531
21.400000	109.635	9.4537
21.799999	109.640	8.8746
22.000000	109.643	8.5919
22.400000	109.650	8.0318
22.700001	109.656	7.6096
23.000000	109.661	7.1841
23.299999	109.664	6.7574
23.600000	109.666	6.3337
24.000000	109.666	5.7814
24.299999	109.666	5.3803
24.700001	109.664	4.8634
25.000000	109.664	4.4858
25.400000	109.665	3.9893
25.799999	109.665	3.4948
26.200001	109.665	3.0013
26.500000	109.664	2.6344
26.900000	109.662	2.1541
27.200001	109.659	1.8021
27.600000	109.655	1.3428
28.000000	109.651	0.8917
28.500000	109.644	0.3363
29.000000	109.636	-0.2066
29.500000	109.627	-0.7338
30.000000	109.618	-1.2505
30.400000	109.611	-1.6625
30.700001	109.605	-1.9721
31.100000	109.596	-2.3834
31.500000	109.585	-2.7882
32.000000	109.571	-3.2802
32.500000	109.558	-3.7595
33.000000	109.545	-4.2346
33.500000	109.531	-4.7092
34.000000	109.516	-5.1794
34.500000	109.500	-5.6397
35.000000	109.484	-6.0871
35.500000	109.467	-6.5214
36.000000	109.450	-6.9440
36.500000	109.435	-7.3622
37.000000	109.420	-7.7876
37.500000	109.403	-8.2233
38.200001	109.372	-8.8154
38.700001	109.349	-9.2011
39.500000	109.319	-9.8044
40.000000	109.300	-10.2142
40.599998	109.270	-10.6993
41.200001	109.238	-11.1108
41.799999	109.218	-11.4953
42.500000	109.201	-12.0509
43.099998	109.170	-12.5756
43.700001	109.128	-13.0005
44.400002	109.094	-13.3907
45.000000	109.075	-13.7808
45.500000	109.053	-14.1492
46.200001	109.012	-14.6068
46.799999	108.982	-14.9248
47.500000	108.958	-15.3286
48.200001	108.931	-15.8027
48.700001	108.905	-16.1465
49.400002	108.864	-16.6059
50.000000	108.824	-16.9606
50.799999	108.776	-17.3598
51.500000	108.745	-17.7232
52.200001	108.710	-18.1518
53.000000	108.657	-18.6044
53.799999	108.610	-18.9850
54.500000	108.575	-19.3448
55.200001	108.535	-19.7153
56.000000	108.489	-20.1101
57.000000	108.433	-20.6111
58.000000	108.374	-21.0801
59.000000	108.320	-21.5425
60.000000	108.259	-22.0116
60.799999	108.211	-22.3454
61.500000	108.172	-22.6486
62.200001	108.130	-22.9643
63.000000	108.078	-23.2872
64.000000	108.020	-23.6675
65.000000	107.961	-24.0841
66.000000	107.899	-24.4615
67.000000	107.841	-24.8341
68.000000	107.779	-25.2092
69.000000	107.718	-25.5456
70.000000	107.659	-25.8956
71.000000	107.596	-26.2311
72.000000	107.536	-26.5503
73.000000	107.474	-26.8893
74.000000	107.409	-27.1934
