* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 21, 2025 5:34:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.811	2.0982
20.299999	103.797	1.5996
20.600000	103.782	1.1130
20.900000	103.767	0.6398
21.200001	103.752	0.1774
21.400000	103.742	-0.1280
21.799999	103.722	-0.7375
22.000000	103.712	-1.0412
22.400000	103.687	-1.6381
22.700001	103.666	-2.0659
23.000000	103.645	-2.4718
23.299999	103.624	-2.8593
23.600000	103.606	-3.2385
24.000000	103.582	-3.7508
24.299999	103.562	-4.1427
24.700001	103.532	-4.6578
25.000000	103.506	-5.0188
25.400000	103.473	-5.4541
25.799999	103.446	-5.8631
26.200001	103.427	-6.3029
26.500000	103.412	-6.6773
26.900000	103.385	-7.2196
27.200001	103.354	-7.6213
27.600000	103.304	-8.0824
28.000000	103.255	-8.4276
28.500000	103.213	-8.7613
29.000000	103.195	-9.1564
29.500000	103.178	-9.6981
30.000000	103.144	-10.3002
30.400000	103.105	-10.7350
30.700001	103.075	-11.0136
31.100000	103.038	-11.3401
31.500000	103.008	-11.6581
32.000000	102.974	-12.0824
32.500000	102.935	-12.5175
33.000000	102.894	-12.9237
33.500000	102.854	-13.3043
34.000000	102.817	-13.6899
34.500000	102.778	-14.0844
35.000000	102.735	-14.4618
35.500000	102.692	-14.8086
36.000000	102.652	-15.1424
36.500000	102.613	-15.4831
37.000000	102.573	-15.8272
37.500000	102.532	-16.1605
38.200001	102.476	-16.6110
38.700001	102.437	-16.9347
39.500000	102.369	-17.4408
40.000000	102.325	-17.7274
40.599998	102.276	-18.0467
41.200001	102.229	-18.3677
41.799999	102.183	-18.6976
42.500000	102.126	-19.0694
43.099998	102.078	-19.3727
43.700001	102.030	-19.6749
44.400002	101.972	-20.0141
45.000000	101.924	-20.2830
45.500000	101.886	-20.5111
46.200001	101.831	-20.8551
46.799999	101.778	-21.1327
47.500000	101.717	-21.3976
48.200001	101.665	-21.6630
48.700001	101.627	-21.8791
49.400002	101.568	-22.1676
50.000000	101.519	-22.3786
50.799999	101.459	-22.6708
51.500000	101.402	-22.9389
52.200001	101.345	-23.1651
53.000000	101.286	-23.4124
53.799999	101.227	-23.6824
54.500000	101.173	-23.8883
55.200001	101.123	-24.0908
56.000000	101.062	-24.3452
57.000000	100.981	-24.5588
58.000000	100.917	-24.8240
59.000000	100.825	-25.1258
60.000000	100.746	-25.1903
60.799999	100.706	-25.3748
61.500000	100.655	-25.6103
62.200001	100.600	-25.7767
63.000000	100.546	-25.9755
64.000000	100.467	-26.2542
65.000000	100.392	-26.4162
66.000000	100.326	-26.6166
67.000000	100.254	-26.7950
68.000000	100.185	-26.9355
69.000000	100.121	-27.0656
70.000000	100.056	-27.2396
71.000000	99.983	-27.3880
72.000000	99.915	-27.4986
73.000000	99.848	-27.6251
74.000000	99.781	-27.7432
75.000000	99.714	-27.8455
76.199997	99.638	-27.9554
77.500000	99.550	-28.0710
78.800003	99.474	-28.1447
80.000000	99.398	-28.2758
81.199997	99.321	-28.3335
82.500000	99.244	-28.4292
83.800003	99.163	-28.5068
85.000000	99.093	-28.5544
86.199997	99.024	-28.6210
87.500000	98.948	-28.6687
88.500000	98.891	-28.7093
90.000000	98.803	-28.7418
91.199997	98.736	-28.7608
92.500000	98.661	-28.7723
93.800003	98.590	-28.7682
95.000000	98.525	-28.7753
96.199997	98.461	-28.7791
97.500000	98.390	-28.7682
98.800003	98.325	-28.7561
100.000000	98.259	-28.7515
101.500000	98.183	-28.6973
103.000000	98.106	-28.6672
104.400002	98.036	-28.6231
106.000000	97.957	-28.5466
107.500000	97.882	-28.5012
109.000000	97.807	-28.3836
110.599998	97.730	-28.3227
112.000000	97.660	-28.2246
113.800003	97.576	-28.0768
115.000000	97.537	-28.0085
117.199997	97.435	-27.6865
118.000000	97.403	-27.6846
120.599998	97.356	-27.2951
122.000000	97.252	-27.2436
124.099998	97.178	-27.1485
125.000000	97.147	-27.0737
126.500000	97.095	-27.0157
128.000000	97.045	-26.9317
131.500000	96.914	-26.6722
132.000000	96.895	-26.6353
134.000000	96.818	-26.4923
136.000000	96.748	-26.3257
138.000000	96.677	-26.1353
140.000000	96.608	-25.9496
143.000000	96.506	-25.6558
145.000000	96.439	-25.4535
147.500000	96.358	-25.1940
150.000000	96.275	-24.8994
152.500000	96.194	-24.6168
155.000000	96.117	-24.3133
157.500000	96.039	-23.9774
160.000000	95.967	-23.5727
162.500000	95.892	-23.1803
165.000000	95.833	-22.7482
167.500000	95.788	-22.2953
170.000000	95.752	-21.8955
172.500000	95.721	-21.5746
175.000000	95.681	-21.3284
177.500000	95.640	-21.0935
180.000000	95.608	-20.9036
182.500000	95.555	-20.5610
185.000000	95.513	-20.2899
187.500000	95.467	-20.0261
190.000000	95.432	-19.7644
192.500000	95.384	-19.4931
195.000000	95.340	-19.2413
197.500000	95.294	-18.9091
200.000000	95.240	-18.5472
203.000000	95.208	-18.2262
206.000000	95.173	-17.8344
209.000000	95.147	-17.4836
212.000000	95.121	-17.1314
214.000000	95.106	-16.9613
218.000000	95.067	-16.6152
220.000000	95.045	-16.4542
224.000000	94.997	-16.0938
227.000000	94.961	-15.8243
230.000000	94.927	-15.5448
233.000000	94.892	-15.2565
236.000000	94.859	-14.9395
240.000000	94.832	-14.4367
243.000000	94.793	-14.2291
247.000000	94.756	-13.8556
250.000000	94.731	-13.5855
254.000000	94.698	-13.2109
258.000000	94.666	-12.8255
262.000000	94.636	-12.4453
265.000000	94.613	-12.1566
269.000000	94.587	-11.7829
272.000000	94.563	-11.5106
276.000000	94.541	-11.1617
280.000000	94.516	-10.7931
285.000000	94.485	-10.3546
290.000000	94.457	-9.9371
295.000000	94.432	-9.4764
300.000000	94.402	-9.0238
304.000000	94.385	-8.6998
307.000000	94.376	-8.4263
311.000000	94.363	-8.0654
315.000000	94.355	-7.7167
320.000000	94.342	-7.3388
325.000000	94.334	-6.9575
330.000000	94.327	-6.6102
335.000000	94.317	-6.2898
340.000000	94.301	-5.9763
345.000000	94.288	-5.6814
350.000000	94.272	-5.3618
355.000000	94.260	-5.0202
360.000000	94.244	-4.7307
365.000000	94.232	-4.4015
370.000000	94.216	-4.0860
375.000000	94.203	-3.7705
382.000000	94.186	-3.3185
387.000000	94.177	-3.0185
395.000000	94.160	-2.5172
400.000000	94.153	-2.2081
406.000000	94.142	-1.8599
412.000000	94.133	-1.5147
418.000000	94.123	-1.1784
425.000000	94.112	-0.7736
431.000000	94.105	-0.4458
437.000000	94.096	-0.1394
444.000000	94.085	0.2332
450.000000	94.080	0.5269
455.000000	94.072	0.7790
462.000000	94.061	1.1405
468.000000	94.053	1.4499
475.000000	94.043	1.7902
482.000000	94.031	2.1524
487.000000	94.023	2.3992
494.000000	94.012	2.7572
500.000000	94.006	3.0521
508.000000	93.994	3.4438
515.000000	93.983	3.8046
522.000000	93.975	4.1389
530.000000	93.961	4.5250
538.000000	93.952	4.9002
545.000000	93.943	5.2629
552.000000	93.932	5.6043
560.000000	93.923	5.9960
570.000000	93.913	6.4851
580.000000	93.902	6.9786
590.000000	93.889	7.4874
600.000000	93.882	7.9907
608.000000	93.871	8.3616
615.000000	93.863	8.7257
622.000000	93.855	9.0638
630.000000	93.847	9.4596
640.000000	93.840	9.9778
650.000000	93.831	10.4876
660.000000	93.825	10.9815
670.000000	93.815	11.5035
680.000000	93.808	12.0166
690.000000	93.803	12.5518
700.000000	93.801	13.0813
710.000000	93.796	13.6106
720.000000	93.790	14.1299
730.000000	93.793	14.6826
740.000000	93.792	15.2367
750.000000	93.797	15.7790
762.000000	93.798	16.4421
775.000000	93.806	17.1533
788.000000	93.813	17.8802
800.000000	93.826	18.5734
812.000000	93.838	19.2757
825.000000	93.853	19.9949
838.000000	93.875	20.7596
850.000000	93.897	21.4573
862.000000	93.922	22.1475
875.000000	93.952	22.9053
885.000000	93.977	23.4920
900.000000	94.027	24.3756
912.000000	94.061	25.0363
925.000000	94.109	25.7923
938.000000	94.160	26.4999
950.000000	94.214	27.1593
962.000000	94.266	27.8088
975.000000	94.330	28.4916
988.000000	94.399	29.1412
1000.000000	94.462	29.7397
1015.000000	94.549	30.4389
1030.000000	94.637	31.1032
1044.000000	94.724	31.6872
1060.000000	94.827	32.3095
1075.000000	94.921	32.8447
1090.000000	95.021	33.3420
1106.000000	95.126	33.8170
1120.000000	95.222	34.1772
1138.000000	95.335	34.6128
1150.000000	95.414	34.8594
1172.000000	95.552	35.2558
1180.000000	95.600	35.3822
1206.000000	95.747	35.7370
