* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 25, 2024 6:18:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.927	-113.8433
20.299999	104.018	-114.7796
20.600000	104.106	-115.7020
20.900000	104.191	-116.6165
21.200001	104.274	-117.5268
21.400000	104.328	-118.1307
21.799999	104.428	-119.3232
22.000000	104.476	-119.9078
22.400000	104.569	-121.0485
22.700001	104.636	-121.8809
23.000000	104.703	-122.7009
23.299999	104.770	-123.5171
23.600000	104.836	-124.3364
24.000000	104.921	-125.4364
24.299999	104.980	-126.2614
24.700001	105.053	-127.3478
25.000000	105.104	-128.1444
25.400000	105.170	-129.1781
25.799999	105.234	-130.1848
26.200001	105.297	-131.1742
26.500000	105.344	-131.9091
26.900000	105.403	-132.8793
27.200001	105.446	-133.5977
27.600000	105.501	-134.5392
28.000000	105.554	-135.4602
28.500000	105.619	-136.5864
29.000000	105.681	-137.6947
29.500000	105.741	-138.7930
30.000000	105.796	-139.8798
30.400000	105.836	-140.7342
30.700001	105.864	-141.3619
31.100000	105.899	-142.1786
31.500000	105.933	-142.9745
32.000000	105.976	-143.9534
32.500000	106.018	-144.9315
33.000000	106.056	-145.9139
33.500000	106.089	-146.8880
34.000000	106.117	-147.8357
34.500000	106.143	-148.7531
35.000000	106.169	-149.6518
35.500000	106.194	-150.5436
36.000000	106.217	-151.4296
36.500000	106.239	-152.3046
37.000000	106.258	-153.1662
37.500000	106.275	-154.0152
38.200001	106.297	-155.1833
38.700001	106.309	-156.0020
39.500000	106.325	-157.2817
40.000000	106.332	-158.0553
40.599998	106.340	-158.9539
41.200001	106.348	-159.8410
41.799999	106.355	-160.7368
42.500000	106.355	-161.7666
43.099998	106.353	-162.6059
43.700001	106.354	-163.4322
44.400002	106.353	-164.4282
45.000000	106.343	-165.2726
45.500000	106.333	-165.9319
46.200001	106.325	-166.8181
46.799999	106.322	-167.6123
47.500000	106.308	-168.5663
48.200001	106.284	-169.4522
48.700001	106.270	-170.0377
49.400002	106.254	-170.8570
50.000000	106.238	-171.5716
50.799999	106.210	-172.4849
51.500000	106.186	-173.2450
52.200001	106.162	-174.0014
53.000000	106.131	-174.8455
53.799999	106.099	-175.6716
54.500000	106.066	-176.3914
55.200001	106.031	-177.0671
56.000000	105.999	-177.8189
57.000000	105.954	-178.8573
58.000000	105.892	-179.8102
59.000000	105.845	179.2755
60.000000	105.785	178.2942
60.799999	105.732	177.6077
61.500000	105.693	177.0215
62.200001	105.651	176.4207
63.000000	105.600	175.7837
64.000000	105.545	175.0068
65.000000	105.482	174.1901
66.000000	105.411	173.4575
67.000000	105.348	172.7467
68.000000	105.279	172.0182
69.000000	105.207	171.3616
70.000000	105.142	170.7047
71.000000	105.069	170.0242
72.000000	104.994	169.4225
73.000000	104.923	168.8268
74.000000	104.848	168.2414
75.000000	104.773	167.6814
76.199997	104.679	167.0287
77.500000	104.576	166.3526
78.800003	104.476	165.7481
80.000000	104.381	165.1352
81.199997	104.285	164.6461
82.500000	104.184	164.0578
83.800003	104.084	163.5424
85.000000	103.981	163.0426
86.199997	103.889	162.6249
87.500000	103.775	162.1563
88.500000	103.701	161.8452
90.000000	103.573	161.3684
91.199997	103.483	161.0047
92.500000	103.371	160.6787
93.800003	103.272	160.3470
95.000000	103.172	160.0689
96.199997	103.074	159.8127
97.500000	102.969	159.5616
98.800003	102.863	159.3210
100.000000	102.768	159.1337
101.500000	102.647	158.9049
103.000000	102.530	158.7192
104.400002	102.419	158.5649
106.000000	102.295	158.4106
107.500000	102.182	158.3235
109.000000	102.062	158.2033
110.599998	101.954	158.2124
112.000000	101.839	158.1315
113.800003	101.724	158.1722
115.000000	101.627	158.1395
117.199997	101.476	158.2935
118.000000	101.427	158.2791
120.599998	101.248	158.4858
122.000000	101.154	158.5238
124.099998	101.018	158.7620
125.000000	100.965	158.8726
126.500000	100.874	159.0112
128.000000	100.782	159.1996
131.500000	100.588	159.7286
132.000000	100.565	159.7808
134.000000	100.461	160.1977
136.000000	100.352	160.3856
138.000000	100.266	160.8431
140.000000	100.166	161.1609
143.000000	100.041	161.8311
145.000000	99.959	162.2330
147.500000	99.869	162.7711
150.000000	99.780	163.2888
152.500000	99.701	163.8602
155.000000	99.633	164.4186
157.500000	99.566	164.9514
160.000000	99.507	165.4956
162.500000	99.454	166.0330
165.000000	99.403	166.5692
