* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 25, 2024 7:19:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.905	-110.8331
20.299999	104.000	-111.7856
20.600000	104.090	-112.7224
20.900000	104.176	-113.6352
21.200001	104.259	-114.5202
21.400000	104.314	-115.0964
21.799999	104.423	-116.2290
22.000000	104.477	-116.7918
22.400000	104.584	-117.9191
22.700001	104.660	-118.7662
23.000000	104.731	-119.6071
23.299999	104.799	-120.4323
23.600000	104.864	-121.2343
24.000000	104.947	-122.2651
24.299999	105.010	-123.0175
24.700001	105.095	-124.0110
25.000000	105.158	-124.7592
25.400000	105.239	-125.7640
25.799999	105.314	-126.7667
26.200001	105.384	-127.7506
26.500000	105.434	-128.4700
26.900000	105.499	-129.4060
27.200001	105.548	-130.0961
27.600000	105.612	-131.0095
28.000000	105.673	-131.9195
28.500000	105.746	-133.0479
29.000000	105.814	-134.1541
29.500000	105.878	-135.2329
30.000000	105.939	-136.2896
30.400000	105.987	-137.1236
30.700001	106.021	-137.7433
31.100000	106.065	-138.5613
31.500000	106.107	-139.3687
32.000000	106.156	-140.3619
32.500000	106.202	-141.3381
33.000000	106.245	-142.2974
33.500000	106.286	-143.2389
34.000000	106.324	-144.1638
34.500000	106.361	-145.0767
35.000000	106.397	-145.9836
35.500000	106.429	-146.8860
36.000000	106.458	-147.7770
36.500000	106.484	-148.6465
37.000000	106.508	-149.4907
37.500000	106.532	-150.3163
38.200001	106.564	-151.4611
38.700001	106.586	-152.2743
39.500000	106.615	-153.5499
40.000000	106.632	-154.3310
40.599998	106.650	-155.2649
41.200001	106.663	-156.1925
41.799999	106.671	-157.0896
42.500000	106.679	-158.0851
43.099998	106.689	-158.9269
43.700001	106.697	-159.7858
44.400002	106.699	-160.7841
45.000000	106.697	-161.6023
45.500000	106.695	-162.2599
46.200001	106.693	-163.1704
46.799999	106.690	-163.9499
47.500000	106.683	-164.8451
48.200001	106.674	-165.7193
48.700001	106.666	-166.3321
49.400002	106.654	-167.1729
50.000000	106.642	-167.8788
50.799999	106.625	-168.8038
51.500000	106.608	-169.6012
52.200001	106.589	-170.3924
53.000000	106.563	-171.2744
53.799999	106.538	-172.1152
54.500000	106.518	-172.8537
55.200001	106.494	-173.6104
56.000000	106.458	-174.4295
57.000000	106.421	-175.3894
58.000000	106.380	-176.3971
