* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -20.2 dBFS, measurement signal peak level -19.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jan 15, 2024 9:28:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0757 ms (-26 mm, -1.02 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.850479	9.0583
20.600000	97.819832	8.2964
20.900000	97.774849	7.6685
21.200001	97.732635	7.1263
21.400000	97.712250	6.8026
21.799999	97.695267	6.1791
22.000000	97.696922	5.8497
22.400000	97.708138	5.1238
22.700001	97.709061	4.5325
23.000000	97.694717	3.9461
23.299999	97.663574	3.4126
23.600000	97.620720	2.9621
24.000000	97.562019	2.4712
24.299999	97.527451	2.1167
24.700001	97.498566	1.5429
25.000000	97.483818	0.9949
25.400000	97.460602	0.1471
25.799999	97.425087	-0.6799
26.200001	97.383980	-1.3156
26.500000	97.359879	-1.6270
26.900000	97.347481	-1.8952
27.200001	97.352577	-2.0784
27.600000	97.363518	-2.4249
28.000000	97.358276	-2.9227
28.500000	97.310287	-3.6329
29.000000	97.235367	-4.2190
29.500000	97.175362	-4.6329
30.000000	97.150780	-5.0573
30.400000	97.142296	-5.5174
30.700001	97.129333	-5.9278
31.100000	97.093964	-6.4885
31.500000	97.042114	-6.9635
32.000000	96.979286	-7.3749
32.500000	96.943291	-7.6830
33.000000	96.928688	-8.0632
33.500000	96.905884	-8.5559
34.000000	96.853790	-9.0391
34.500000	96.781570	-9.3984
35.000000	96.717674	-9.6810
35.500000	96.678795	-10.0551
36.000000	96.654716	-10.6204
36.500000	96.624138	-11.2811
37.000000	96.578949	-11.8246
37.500000	96.529373	-12.1248
38.200001	96.473618	-12.3061
38.700001	96.437653	-12.4944
39.500000	96.360855	-13.0467
40.000000	96.305435	-13.4540
40.599998	96.245605	-13.8959
41.200001	96.199417	-14.2362
41.799999	96.168480	-14.5269
42.500000	96.133377	-15.0175
43.099998	96.069954	-15.5893
43.700001	95.974396	-16.0439
44.400002	95.886993	-16.2742
45.000000	95.860229	-16.4817
45.500000	95.845886	-16.7854
46.200001	95.802353	-17.2373
46.799999	95.749031	-17.4940
47.500000	95.684837	-17.6673
48.200001	95.635208	-17.7877
48.700001	95.615791	-17.9633
49.400002	95.569740	-18.4025
50.000000	95.485413	-18.5791
50.799999	95.404716	-18.3196
51.500000	95.373856	-18.7200
52.200001	95.209740	-19.7973
53.000000	94.958183	-19.9531
53.799999	95.011063	-19.4908
54.500000	95.143150	-20.1387
55.200001	95.117516	-20.7792
56.000000	95.039162	-20.6546
57.000000	94.964767	-20.9988
58.000000	94.833588	-21.1951
59.000000	94.818954	-21.4059
60.000000	94.732262	-21.9844
60.799999	94.672081	-22.0873
