* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 1, 2024 6:19:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: S2 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.121071	8.5776
20.600000	101.098381	7.8437
20.900000	101.066154	7.2003
21.200001	101.035690	6.5662
21.400000	101.018913	6.1350
21.799999	100.993256	5.2437
22.000000	100.983047	4.7934
22.400000	100.965355	3.9323
22.700001	100.955002	3.3722
23.000000	100.950417	2.9049
23.299999	100.954597	2.5107
23.600000	100.967583	2.1371
24.000000	100.989052	1.5574
24.299999	100.995247	1.0110
24.700001	100.972404	0.1462
25.000000	100.927612	-0.5356
25.400000	100.840057	-1.3741
25.799999	100.746956	-2.0552
26.200001	100.676323	-2.6135
26.500000	100.645302	-3.0195
26.900000	100.624939	-3.6180
27.200001	100.614326	-4.1153
27.600000	100.591682	-4.7733
28.000000	100.555962	-5.3308
28.500000	100.508209	-5.8256
29.000000	100.478973	-6.2572
29.500000	100.463379	-6.8858
30.000000	100.428223	-7.8002
30.400000	100.369751	-8.6154
30.700001	100.310333	-9.1697
31.100000	100.224777	-9.7377
31.500000	100.153656	-10.0993
32.000000	100.105774	-10.4126
32.500000	100.094376	-10.7961
33.000000	100.085358	-11.3428
33.500000	100.055931	-11.9633
34.000000	100.009666	-12.5421
34.500000	99.961243	-13.0726
35.000000	99.915512	-13.6223
35.500000	99.865524	-14.2114
36.000000	99.806915	-14.7752
36.500000	99.746521	-15.2440
37.000000	99.695229	-15.6243
37.500000	99.655334	-15.9842
38.200001	99.600441	-16.5465
38.700001	99.548546	-16.9736
39.500000	99.445755	-17.6009
40.000000	99.382484	-17.9607
40.599998	99.316071	-18.4138
41.200001	99.255219	-18.9000
41.799999	99.192863	-19.3679
42.500000	99.116425	-19.8480
43.099998	99.048637	-20.2387
43.700001	98.980278	-20.6465
44.400002	98.906456	-21.1404
45.000000	98.849052	-21.5451
45.500000	98.800919	-21.8157
46.200001	98.733963	-22.0506
46.799999	98.681412	-22.2394
47.500000	98.610130	-22.6410
48.200001	98.517159	-23.0879
48.700001	98.459793	-23.2974
49.400002	98.409714	-23.5883
50.000000	98.350510	-23.9571
50.799999	98.223740	-24.2716
51.500000	98.176064	-24.4904
52.200001	98.189514	-25.4161
53.000000	98.089363	-26.7006
53.799999	97.917824	-26.4150
54.500000	97.887398	-25.5468
55.200001	97.877571	-25.4955
56.000000	97.761581	-25.9290
57.000000	97.662460	-26.3243
58.000000	97.575180	-27.1030
59.000000	97.464622	-27.2437
60.000000	97.444527	-27.6572
60.799999	97.364319	-28.0531
61.500000	97.286003	-27.9556
62.200001	97.235756	-27.9078
63.000000	97.153664	-28.1833
64.000000	97.029999	-28.4133
65.000000	96.957909	-28.5533
66.000000	96.883362	-28.8287
67.000000	96.792786	-29.0826
68.000000	96.706520	-29.2047
69.000000	96.624344	-29.2837
70.000000	96.537476	-29.3904
71.000000	96.460022	-29.5576
72.000000	96.366653	-29.7563
73.000000	96.263817	-29.8340
74.000000	96.188065	-29.8943
75.000000	96.133507	-30.0095
76.199997	96.032166	-30.1797
77.500000	95.905441	-30.1772
78.800003	95.819061	-30.3085
80.000000	95.737595	-30.3331
81.199997	95.647934	-30.4134
82.500000	95.544785	-30.4704
83.800003	95.451500	-30.4973
85.000000	95.362419	-30.4844
86.199997	95.276154	-30.4663
87.500000	95.188202	-30.4348
88.500000	95.115929	-30.4054
90.000000	95.019257	-30.3560
91.199997	94.936363	-30.3566
92.500000	94.848122	-30.3018
93.800003	94.763222	-30.2705
95.000000	94.683823	-30.2209
96.199997	94.602852	-30.0588
97.500000	94.532684	-29.8796
98.800003	94.461586	-29.8185
100.000000	94.386948	-29.7835
101.500000	94.301842	-29.7101
103.000000	94.213104	-29.5651
104.400002	94.125938	-29.4121
106.000000	94.045494	-29.2857
107.500000	93.963074	-29.1143
109.000000	93.878975	-28.9294
110.599998	93.796600	-28.7359
112.000000	93.729446	-28.5457
113.800003	93.636406	-28.3910
115.000000	93.586960	-28.1939
117.199997	93.474548	-27.9253
118.000000	93.437759	-27.8557
120.599998	93.350327	-27.4303
122.000000	93.254257	-27.2369
124.099998	93.172836	-26.9028
125.000000	93.132980	-26.7520
126.500000	93.068100	-26.5383
128.000000	93.009659	-26.2995
131.500000	92.873795	-25.7329
132.000000	92.853165	-25.6679
134.000000	92.785217	-25.3457
136.000000	92.702507	-24.9663
138.000000	92.647408	-24.6660
140.000000	92.571053	-24.2265
143.000000	92.485100	-23.7583
145.000000	92.429306	-23.4294
147.500000	92.369492	-22.9810
150.000000	92.299850	-22.5631
152.500000	92.242111	-22.0919
155.000000	92.168900	-21.6861
157.500000	92.119247	-21.2539
160.000000	92.058868	-20.8236
162.500000	92.015114	-20.3759
165.000000	91.941849	-19.9633
167.500000	91.905457	-19.5266
170.000000	91.864792	-19.1783
172.500000	91.819153	-18.6939
175.000000	91.775734	-18.3152
177.500000	91.742088	-17.9176
180.000000	91.715256	-17.1084
182.500000	91.654076	-17.0889
185.000000	91.629929	-16.6240
187.500000	91.604797	-16.2622
190.000000	91.573425	-15.8406
192.500000	91.548492	-15.4941
195.000000	91.515640	-15.1094
197.500000	91.497948	-14.7664
200.000000	91.469330	-14.4105
203.000000	91.440346	-14.0010
206.000000	91.416977	-13.5636
209.000000	91.394127	-13.1109
212.000000	91.365646	-12.7191
214.000000	91.353905	-12.3956
218.000000	91.328094	-11.8768
220.000000	91.320755	-11.6139
224.000000	91.301666	-11.0954
227.000000	91.287018	-10.6847
230.000000	91.274864	-10.3491
233.000000	91.257187	-9.9712
236.000000	91.249557	-9.6195
240.000000	91.218971	-9.0962
243.000000	91.220818	-8.7896
247.000000	91.208633	-8.3209
250.000000	91.202919	-8.0096
254.000000	91.193779	-7.5256
258.000000	91.189781	-7.0737
262.000000	91.188126	-6.6266
265.000000	91.189781	-6.2970
269.000000	91.198174	-5.9129
272.000000	91.201981	-5.6329
276.000000	91.206223	-5.2793
280.000000	91.215416	-4.9770
285.000000	91.216751	-4.6065
290.000000	91.213593	-4.2316
295.000000	91.213028	-3.8608
300.000000	91.212051	-3.4286
304.000000	91.211487	-3.1971
307.000000	91.209320	-2.9863
311.000000	91.208580	-2.6860
315.000000	91.206726	-2.4206
320.000000	91.209755	-2.0531
325.000000	91.210350	-1.7002
330.000000	91.213600	-1.3615
335.000000	91.215569	-0.9652
340.000000	91.222168	-0.5862
345.000000	91.236206	-0.2552
350.000000	91.249146	0.0742
355.000000	91.266571	0.3542
360.000000	91.278008	0.6136
365.000000	91.288696	0.8014
370.000000	91.295990	1.0242
375.000000	91.308075	1.2385
382.000000	91.308502	1.5655
387.000000	91.310608	1.7850
395.000000	91.312744	2.1578
400.000000	91.316002	2.3888
406.000000	91.319725	2.6502
412.000000	91.318871	2.9179
418.000000	91.328491	3.1788
425.000000	91.334633	3.4880
431.000000	91.333687	3.7665
437.000000	91.338951	3.9980
444.000000	91.349564	4.2687
450.000000	91.349388	4.4850
455.000000	91.350533	4.6707
462.000000	91.357941	4.9421
468.000000	91.359543	5.2069
475.000000	91.358627	5.4205
482.000000	91.358315	5.7011
487.000000	91.361603	5.8805
494.000000	91.354218	6.1302
500.000000	91.356735	6.3495
508.000000	91.359062	6.6580
515.000000	91.355438	6.9287
522.000000	91.352692	7.1898
530.000000	91.355186	7.5078
538.000000	91.355606	7.8357
545.000000	91.351883	8.1188
552.000000	91.350281	8.3568
560.000000	91.351196	8.6602
570.000000	91.359520	9.0468
580.000000	91.354149	9.4046
590.000000	91.350220	9.8064
600.000000	91.348221	10.1469
608.000000	91.352272	10.5065
615.000000	91.355759	10.7808
622.000000	91.356880	11.0441
630.000000	91.359085	11.3568
640.000000	91.360855	11.7389
650.000000	91.365082	12.1179
660.000000	91.371414	12.5086
670.000000	91.369270	12.8786
680.000000	91.367073	13.2444
690.000000	91.370399	13.6737
700.000000	91.371750	14.0904
710.000000	91.371666	14.4830
720.000000	91.371399	14.9173
730.000000	91.377861	15.3241
740.000000	91.381279	15.7506
750.000000	91.386299	16.1805
762.000000	91.398392	16.6870
775.000000	91.404449	17.2615
788.000000	91.416451	17.8582
800.000000	91.430214	18.4231
812.000000	91.442657	18.9637
825.000000	91.463554	19.5954
838.000000	91.487129	20.2367
850.000000	91.509270	20.7892
862.000000	91.534821	21.3676
875.000000	91.566818	22.0029
885.000000	91.593597	22.4934
900.000000	91.645592	23.1992
912.000000	91.680923	23.8003
925.000000	91.730606	24.4066
938.000000	91.782722	25.0196
950.000000	91.832687	25.5649
962.000000	91.894623	26.1136
975.000000	91.954178	26.6641
988.000000	92.021896	27.2107
1000.000000	92.087059	27.7178
1015.000000	92.173065	28.2800
1030.000000	92.262711	28.8021
1044.000000	92.352798	29.2977
1060.000000	92.456741	29.7763
1075.000000	92.553673	30.1866
1090.000000	92.652351	30.5545
1106.000000	92.760880	30.8908
1120.000000	92.848000	31.1646
1138.000000	92.972534	31.4540
1150.000000	93.049904	31.5995
1172.000000	93.192062	31.7981
1180.000000	93.239349	31.8471
1206.000000	93.392456	31.9786
1220.000000	93.467903	32.0166
1241.000000	93.579102	31.9941
1250.000000	93.627670	31.9908
1265.000000	93.695114	31.9725
1280.000000	93.761948	31.9195
1315.000000	93.900925	31.8000
