* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 1, 2024 6:22:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: S2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.023880	8.4632
20.600000	100.996323	7.6984
20.900000	100.953476	7.0079
21.200001	100.906677	6.3433
21.400000	100.877197	5.9214
21.799999	100.830551	5.1366
22.000000	100.815796	4.7716
22.400000	100.803787	4.0748
22.700001	100.806015	3.5512
23.000000	100.811058	3.0032
23.299999	100.811890	2.4191
23.600000	100.802956	1.8003
24.000000	100.771973	0.9424
24.299999	100.736740	0.2936
24.700001	100.681458	-0.5562
25.000000	100.639877	-1.1703
25.400000	100.591003	-1.9410
25.799999	100.554260	-2.6371
26.200001	100.531105	-3.2581
26.500000	100.520676	-3.6954
26.900000	100.507751	-4.2860
27.200001	100.491325	-4.7546
27.600000	100.451729	-5.3974
28.000000	100.393890	-6.0040
28.500000	100.322235	-6.6508
29.000000	100.287460	-7.2934
29.500000	100.283249	-8.1469
30.000000	100.254349	-9.1714
30.400000	100.188782	-9.8613
30.700001	100.123253	-10.1627
31.100000	100.044220	-10.2525
31.500000	100.006409	-10.1999
32.000000	100.013275	-10.4497
32.500000	100.015495	-11.3136
33.000000	99.956802	-12.4444
33.500000	99.859085	-13.3193
34.000000	99.789597	-13.8107
34.500000	99.772522	-14.2202
35.000000	99.764511	-14.7969
35.500000	99.720535	-15.4426
36.000000	99.646858	-15.9463
36.500000	99.579498	-16.3093
37.000000	99.533653	-16.7144
37.500000	99.493439	-17.2519
38.200001	99.418839	-18.0250
38.700001	99.359512	-18.4534
39.500000	99.275833	-19.0257
40.000000	99.225197	-19.4245
40.599998	99.158081	-19.9608
41.200001	99.086716	-20.5019
41.799999	99.020164	-20.9905
42.500000	98.956985	-21.5049
43.099998	98.906219	-21.9636
43.700001	98.842659	-22.4421
44.400002	98.752052	-22.9559
45.000000	98.673935	-23.3513
45.500000	98.614349	-23.6637
46.200001	98.541267	-24.0766
46.799999	98.484367	-24.4386
47.500000	98.404884	-24.9065
48.200001	98.302040	-25.3120
48.700001	98.231682	-25.5065
49.400002	98.162560	-25.7452
50.000000	98.121384	-26.0052
50.799999	98.059952	-26.4012
51.500000	97.979179	-26.7990
52.200001	97.860504	-27.2156
53.000000	97.722092	-27.5103
53.799999	97.657890	-27.7401
54.500000	97.638000	-28.1142
55.200001	97.597382	-28.4833
56.000000	97.531967	-28.7265
57.000000	97.446236	-29.1670
58.000000	97.308174	-29.7040
59.000000	97.170891	-29.7293
60.000000	97.110771	-29.8769
60.799999	97.044540	-30.4110
61.500000	96.956436	-30.7794
62.200001	96.878929	-30.9480
63.000000	96.801178	-31.1410
64.000000	96.681320	-31.3806
65.000000	96.575806	-31.5622
66.000000	96.487984	-31.8304
67.000000	96.398178	-32.0736
68.000000	96.304573	-32.2477
69.000000	96.216408	-32.3526
70.000000	96.123566	-32.5352
71.000000	96.003784	-32.7491
72.000000	95.896530	-32.8799
73.000000	95.823311	-33.0637
74.000000	95.749245	-33.2102
75.000000	95.667892	-33.2828
76.199997	95.541946	-33.3643
77.500000	95.421692	-33.4397
78.800003	95.295830	-33.5379
80.000000	95.203629	-33.5485
81.199997	95.089790	-33.6946
82.500000	94.988510	-33.6746
83.800003	94.903206	-33.6714
85.000000	94.820007	-33.6774
86.199997	94.710266	-33.7355
87.500000	94.580719	-33.7567
88.500000	94.487862	-33.7153
90.000000	94.382202	-33.6160
91.199997	94.279404	-33.4762
92.500000	94.193932	-33.4798
93.800003	94.086174	-33.4685
95.000000	94.006111	-33.1775
96.199997	93.927956	-33.0615
97.500000	93.864510	-32.9245
98.800003	93.781250	-32.8185
100.000000	93.692032	-32.6520
101.500000	93.575356	-32.6079
103.000000	93.471062	-32.6170
104.400002	93.395271	-32.3836
106.000000	93.271805	-31.8908
107.500000	93.176407	-31.8558
109.000000	93.087608	-31.7698
110.599998	92.994843	-31.4927
112.000000	92.932549	-31.2500
113.800003	92.826729	-30.9577
115.000000	92.756058	-30.7876
117.199997	92.636520	-30.4376
118.000000	92.604439	-30.3581
120.599998	92.489517	-29.7175
122.000000	92.394737	-29.5128
124.099998	92.300552	-29.2355
125.000000	92.261063	-29.0264
126.500000	92.180244	-28.6924
128.000000	92.102051	-28.4656
131.500000	91.960648	-27.7536
132.000000	91.942261	-27.6502
134.000000	91.858932	-27.1945
136.000000	91.768745	-26.8319
138.000000	91.697906	-26.4154
140.000000	91.627388	-25.9139
143.000000	91.521706	-25.2438
145.000000	91.449638	-24.8676
147.500000	91.381180	-24.2784
150.000000	91.303253	-23.6951
152.500000	91.222824	-23.2119
155.000000	91.187943	-22.5990
157.500000	91.120911	-22.1020
160.000000	91.061279	-21.5710
162.500000	91.012161	-20.9295
165.000000	90.938812	-20.8135
167.500000	90.922287	-19.8730
170.000000	90.844360	-19.4268
172.500000	90.817711	-18.8666
175.000000	90.776283	-18.4024
177.500000	90.744522	-17.8450
180.000000	90.744164	-17.1589
182.500000	90.659897	-16.7807
185.000000	90.647087	-16.3366
187.500000	90.613037	-15.8320
190.000000	90.592743	-15.3178
192.500000	90.563744	-14.8195
195.000000	90.549362	-14.4545
197.500000	90.537544	-13.9222
200.000000	90.517242	-13.4558
203.000000	90.505264	-13.0016
206.000000	90.483376	-12.5156
209.000000	90.468536	-11.9628
212.000000	90.464928	-11.4988
214.000000	90.448509	-11.2074
218.000000	90.433426	-10.5805
220.000000	90.434494	-10.3093
224.000000	90.419868	-9.7376
227.000000	90.416183	-9.2814
230.000000	90.403152	-8.8979
233.000000	90.399208	-8.4739
236.000000	90.394424	-8.0928
240.000000	90.369324	-7.4802
243.000000	90.386230	-7.1470
