* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 10, 2025 3:33:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: pop L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.980	171.5018
20.600000	104.922	170.9393
20.900000	104.861	170.4425
21.200001	104.804	169.9680
21.400000	104.769	169.6620
21.799999	104.706	169.0659
22.000000	104.676	168.7745
22.400000	104.614	168.2145
22.700001	104.561	167.8340
23.000000	104.505	167.5039
23.299999	104.446	167.2272
23.600000	104.390	166.9881
24.000000	104.322	166.6683
24.299999	104.275	166.3835
24.700001	104.213	165.9163
25.000000	104.161	165.5228
25.400000	104.083	165.0042
25.799999	104.001	164.5587
26.200001	103.926	164.1976
26.500000	103.877	163.9576
26.900000	103.818	163.6432
27.200001	103.774	163.4066
27.600000	103.711	163.1155
28.000000	103.646	162.8811
28.500000	103.568	162.6567
29.000000	103.496	162.4130
29.500000	103.422	162.0845
30.000000	103.334	161.7216
30.400000	103.259	161.4678
30.700001	103.206	161.3102
31.100000	103.146	161.1247
31.500000	103.096	160.9322
32.000000	103.042	160.6606
32.500000	102.985	160.3876
33.000000	102.923	160.1620
33.500000	102.856	159.9938
34.000000	102.786	159.8673
34.500000	102.717	159.7702
35.000000	102.651	159.6821
35.500000	102.591	159.5666
36.000000	102.532	159.4089
36.500000	102.468	159.2500
37.000000	102.404	159.1502
37.500000	102.349	159.1068
38.200001	102.296	158.9816
38.700001	102.259	158.7743
39.500000	102.173	158.4196
40.000000	102.113	158.3164
40.599998	102.052	158.2798
41.200001	101.998	158.2151
41.799999	101.932	158.1093
42.500000	101.844	158.0298
43.099998	101.780	157.9795
43.700001	101.732	157.8635
44.400002	101.676	157.7036
45.000000	101.625	157.6822
45.500000	101.586	157.7515
