* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 15, 2024 5:41:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: reference L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.003983	163.2077
20.600000	96.922096	162.7429
20.900000	96.832367	162.3883
21.200001	96.742790	162.0837
21.400000	96.685349	161.8943
21.799999	96.576881	161.5070
22.000000	96.524979	161.2958
22.400000	96.422142	160.8326
22.700001	96.342773	160.4664
23.000000	96.261200	160.1121
23.299999	96.179626	159.7935
23.600000	96.101723	159.5218
24.000000	96.009323	159.2165
24.299999	95.949127	158.9986
24.700001	95.875275	158.6784
25.000000	95.817535	158.4085
25.400000	95.728958	158.0368
25.799999	95.625336	157.7148
26.200001	95.515495	157.4921
26.500000	95.437675	157.3879
26.900000	95.349228	157.2826
27.200001	95.296295	157.1866
27.600000	95.238762	156.9931
28.000000	95.187027	156.7272
28.500000	95.117958	156.3673
29.000000	95.040489	156.0813
29.500000	94.959831	155.9036
30.000000	94.880791	155.7859
30.400000	94.818672	155.6918
30.700001	94.772018	155.6084
31.100000	94.709274	155.4792
31.500000	94.646515	155.3395
32.000000	94.570236	155.1709
32.500000	94.499001	155.0212
33.000000	94.433556	154.8760
33.500000	94.370529	154.7063
34.000000	94.303650	154.5053
34.500000	94.230652	154.3101
35.000000	94.158585	154.1664
35.500000	94.097763	154.0688
36.000000	94.049248	153.9597
36.500000	94.001457	153.8063
37.000000	93.942245	153.6538
37.500000	93.872635	153.5703
38.200001	93.781250	153.5375
38.700001	93.727654	153.4507
39.500000	93.640274	153.1185
40.000000	93.577850	152.9146
40.599998	93.506157	152.7811
41.200001	93.442368	152.7111
41.799999	93.372536	152.6278
42.500000	93.272766	152.5434
43.099998	93.191826	152.5070
43.700001	93.136421	152.4223
44.400002	93.094696	152.1978
45.000000	93.056038	151.9966
45.500000	93.013931	151.8937
46.200001	92.938049	151.8188
46.799999	92.857803	151.7476
47.500000	92.759590	151.6543
48.200001	92.680428	151.5876
48.700001	92.637253	151.5555
49.400002	92.575272	151.5462
50.000000	92.509468	151.5989
50.799999	92.423248	151.6902
51.500000	92.374771	151.5886
52.200001	92.332787	151.2431
53.000000	92.244766	150.9491
53.799999	92.141541	151.1418
54.500000	92.079323	151.3742
55.200001	92.021423	151.3814
56.000000	91.947876	151.3392
57.000000	91.859451	151.3261
58.000000	91.754639	151.4295
59.000000	91.726311	151.2135
60.000000	91.635834	150.5967
60.799999	91.526787	151.0198
61.500000	91.497490	151.5753
62.200001	91.462250	151.6503
63.000000	91.369011	151.5681
64.000000	91.287422	151.5957
65.000000	91.216431	151.6009
66.000000	91.140846	151.8175
67.000000	91.074799	151.9064
68.000000	91.008240	152.0018
69.000000	90.942741	152.0722
70.000000	90.867081	152.2074
71.000000	90.809334	152.3278
72.000000	90.741104	152.4345
73.000000	90.680626	152.6152
74.000000	90.626656	152.6783
75.000000	90.567413	152.8249
76.199997	90.512444	153.0482
77.500000	90.438499	153.2234
78.800003	90.367119	153.4694
80.000000	90.302658	153.6778
81.199997	90.231110	153.8287
82.500000	90.176552	154.0783
83.800003	90.135811	154.2515
85.000000	90.080719	154.4807
86.199997	90.033203	154.6762
87.500000	89.983269	154.9618
88.500000	89.953072	155.1758
90.000000	89.886871	155.3818
91.199997	89.853645	155.5439
92.500000	89.818161	155.8826
93.800003	89.771164	156.0634
95.000000	89.718613	156.2202
96.199997	89.701561	156.4096
97.500000	89.665657	156.6375
98.800003	89.634529	156.8998
100.000000	89.608017	157.0680
101.500000	89.572037	157.2734
103.000000	89.547234	157.5079
104.400002	89.511948	157.7744
106.000000	89.504440	157.8988
107.500000	89.457748	158.2138
109.000000	89.430099	158.4144
110.599998	89.409485	158.6474
112.000000	89.397865	158.8569
113.800003	89.379631	158.9711
115.000000	89.360596	159.1220
117.199997	89.349182	159.3925
118.000000	89.344757	159.4641
120.599998	89.322098	159.6238
122.000000	89.310905	159.7841
124.099998	89.309479	159.9007
