* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 15, 2024 5:39:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: reference R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.770248	163.1920
20.600000	96.694923	162.7463
20.900000	96.607727	162.3467
21.200001	96.513245	161.9311
21.400000	96.447159	161.6401
21.799999	96.311356	161.0378
22.000000	96.243935	160.7369
22.400000	96.115776	160.1595
22.700001	96.030434	159.7647
23.000000	95.956520	159.4072
23.299999	95.893578	159.0849
23.600000	95.838966	158.7925
24.000000	95.772064	158.4393
24.299999	95.720909	158.1925
24.700001	95.644775	157.8706
25.000000	95.578369	157.6221
25.400000	95.474960	157.2749
25.799999	95.356476	156.9280
26.200001	95.232689	156.6215
26.500000	95.146118	156.4362
26.900000	95.052559	156.2350
27.200001	95.003922	156.0869
27.600000	94.964020	155.8340
28.000000	94.937782	155.4902
28.500000	94.894867	154.9909
29.000000	94.822861	154.5707
29.500000	94.729965	154.3216
30.000000	94.635536	154.1824
30.400000	94.565018	154.0695
30.700001	94.515030	153.9601
31.100000	94.451950	153.7851
31.500000	94.394432	153.5968
32.000000	94.332138	153.3566
32.500000	94.275406	153.1067
33.000000	94.212791	152.8676
33.500000	94.140518	152.6848
34.000000	94.067345	152.5579
34.500000	94.002121	152.4143
35.000000	93.942474	152.1866
35.500000	93.880585	151.8967
36.000000	93.814827	151.6267
36.500000	93.750122	151.4240
37.000000	93.689224	151.2702
37.500000	93.630112	151.1324
38.200001	93.549164	150.9396
38.700001	93.494728	150.7809
39.500000	93.404411	150.4641
40.000000	93.336678	150.2710
40.599998	93.245300	150.0971
41.200001	93.155945	149.9663
41.799999	93.084747	149.8273
42.500000	93.037216	149.5928
43.099998	93.010460	149.3169
43.700001	92.962784	149.0863
44.400002	92.874397	149.0503
45.000000	92.799599	149.0693
45.500000	92.743896	148.9247
46.200001	92.667358	148.5694
46.799999	92.628059	148.4441
47.500000	92.641754	148.4597
48.200001	92.633087	148.2856
48.700001	92.556320	148.1465
49.400002	92.397011	148.1924
50.000000	92.294846	148.2148
50.799999	92.211731	147.8687
51.500000	92.145012	147.6857
52.200001	92.096039	147.8343
53.000000	92.028664	147.9252
53.799999	91.920578	147.9204
54.500000	91.856659	147.9057
55.200001	91.819061	147.7357
56.000000	91.748619	147.6190
57.000000	91.652267	147.6286
58.000000	91.546646	147.4598
59.000000	91.518005	147.7481
60.000000	91.532265	147.6363
60.799999	91.409157	147.4811
61.500000	91.282799	147.7333
62.200001	91.221786	147.9213
63.000000	91.176384	147.7839
64.000000	91.089172	147.7823
65.000000	91.022278	147.9845
66.000000	90.954315	147.9807
67.000000	90.877663	148.0714
68.000000	90.815552	148.2679
69.000000	90.749054	148.3346
70.000000	90.665863	148.3499
71.000000	90.602707	148.5174
72.000000	90.566795	148.6013
73.000000	90.496269	148.6652
74.000000	90.434044	148.8656
75.000000	90.364143	148.9169
76.199997	90.291992	149.3774
77.500000	90.253754	149.2582
78.800003	90.152664	149.4489
80.000000	90.146667	149.6384
81.199997	90.081764	149.9052
82.500000	89.992897	150.2245
83.800003	89.931511	150.4906
85.000000	89.886162	150.5600
86.199997	89.845146	150.7819
87.500000	89.778465	151.1464
88.500000	89.748634	151.4602
90.000000	89.691757	151.5149
91.199997	89.651657	151.8758
92.500000	89.611000	152.1123
93.800003	89.572014	152.2965
95.000000	89.542740	152.5005
96.199997	89.514473	152.6695
97.500000	89.464523	152.8650
98.800003	89.456703	153.3851
100.000000	89.416389	153.4354
101.500000	89.391121	153.8479
103.000000	89.355728	153.9711
104.400002	89.316780	154.1706
106.000000	89.289757	154.4458
107.500000	89.281738	154.7395
109.000000	89.245705	154.9597
110.599998	89.220726	155.2634
112.000000	89.195183	155.4542
113.800003	89.200417	155.6693
115.000000	89.174759	155.7834
117.199997	89.146744	156.1104
118.000000	89.148796	156.2411
120.599998	89.135628	156.5006
122.000000	89.115105	156.7021
124.099998	89.119995	156.7751
125.000000	89.098816	156.9361
126.500000	89.103508	157.0616
128.000000	89.095459	157.1449
131.500000	89.075806	157.3133
132.000000	89.072701	157.3479
134.000000	89.054626	157.4445
136.000000	89.048500	157.4034
138.000000	89.031898	157.4864
140.000000	89.005417	157.3604
143.000000	88.985130	157.3350
145.000000	88.961571	157.1729
147.500000	88.945419	157.1536
150.000000	88.928467	157.0988
152.500000	88.894302	157.0580
155.000000	88.869530	156.8636
157.500000	88.837776	156.7603
160.000000	88.809814	156.6893
162.500000	88.766571	156.6030
165.000000	88.737762	156.4239
167.500000	88.706825	156.4293
170.000000	88.660164	156.3374
172.500000	88.624237	156.2300
175.000000	88.577995	156.1943
177.500000	88.533669	156.0204
180.000000	88.449142	156.1341
182.500000	88.439087	155.9899
185.000000	88.394798	156.0805
187.500000	88.347458	156.0089
190.000000	88.295624	155.9583
192.500000	88.254913	155.8089
195.000000	88.205437	155.9494
197.500000	88.153488	156.0364
200.000000	88.100555	156.0088
203.000000	88.056183	156.1715
206.000000	88.005089	156.2833
209.000000	87.954918	156.3595
212.000000	87.895164	156.4286
214.000000	87.860863	156.5821
218.000000	87.789894	156.7377
220.000000	87.752121	156.8950
224.000000	87.685463	157.2139
