* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 21, 2025 1:57:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; -4
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.937	25.3933
20.600000	102.958	24.6799
20.900000	102.966	24.0044
21.200001	102.969	23.3172
21.400000	102.970	22.8569
21.799999	102.976	21.9449
22.000000	102.982	21.4985
22.400000	102.999	20.6331
22.700001	103.014	20.0151
23.000000	103.030	19.4301
23.299999	103.043	18.8832
23.600000	103.053	18.3762
24.000000	103.061	17.7515
24.299999	103.064	17.3001
24.700001	103.068	16.6813
25.000000	103.070	16.1837
25.400000	103.071	15.4731
25.799999	103.068	14.7422
26.200001	103.064	14.0408
26.500000	103.065	13.5524
26.900000	103.071	12.9442
27.200001	103.081	12.5036
27.600000	103.094	11.9117
28.000000	103.102	11.3088
28.500000	103.100	10.5647
29.000000	103.092	9.8611
29.500000	103.087	9.1860
30.000000	103.086	8.5021
30.400000	103.086	7.9435
30.700001	103.083	7.5282
31.100000	103.076	6.9953
31.500000	103.066	6.4946
32.000000	103.053	5.9009
32.500000	103.041	5.3110
33.000000	103.031	4.7009
33.500000	103.021	4.0743
34.000000	103.009	3.4566
34.500000	102.996	2.8730
35.000000	102.985	2.3259
35.500000	102.975	1.7901
36.000000	102.963	1.2390
36.500000	102.946	0.6756
37.000000	102.925	0.1301
37.500000	102.905	-0.3808
38.200001	102.886	-1.0778
38.700001	102.873	-1.5917
39.500000	102.843	-2.3933
40.000000	102.819	-2.8478
40.599998	102.794	-3.3743
41.200001	102.769	-3.9228
41.799999	102.743	-4.4870
42.500000	102.711	-5.1279
43.099998	102.685	-5.6574
43.700001	102.661	-6.1684
44.400002	102.632	-6.7382
45.000000	102.607	-7.2329
45.500000	102.583	-7.6703
46.200001	102.538	-8.2897
46.799999	102.495	-8.7688
47.500000	102.454	-9.2640
48.200001	102.424	-9.7601
48.700001	102.402	-10.1255
49.400002	102.367	-10.6142
50.000000	102.335	-11.0083
50.799999	102.297	-11.5576
51.500000	102.264	-12.0767
52.200001	102.226	-12.5833
53.000000	102.177	-13.0895
53.799999	102.129	-13.5266
54.500000	102.092	-13.9378
55.200001	102.055	-14.4223
56.000000	102.009	-14.9634
57.000000	101.961	-15.5201
58.000000	101.908	-16.0832
59.000000	101.836	-16.6478
60.000000	101.764	-17.2479
60.799999	101.708	-17.6787
61.500000	101.668	-17.9951
62.200001	101.630	-18.3381
63.000000	101.578	-18.7558
64.000000	101.512	-19.2368
65.000000	101.451	-19.7507
66.000000	101.380	-20.2210
67.000000	101.312	-20.6310
68.000000	101.249	-21.0657
69.000000	101.185	-21.5185
70.000000	101.119	-21.9413
71.000000	101.055	-22.3376
72.000000	100.981	-22.7193
73.000000	100.907	-23.0797
74.000000	100.843	-23.4813
75.000000	100.777	-23.8374
76.199997	100.699	-24.1952
77.500000	100.606	-24.6339
78.800003	100.520	-25.0721
80.000000	100.436	-25.4236
81.199997	100.352	-25.7541
82.500000	100.265	-26.1494
83.800003	100.174	-26.5237
85.000000	100.085	-26.8017
86.199997	100.003	-27.0630
87.500000	99.913	-27.3890
88.500000	99.845	-27.6084
90.000000	99.745	-27.9266
91.199997	99.663	-28.1566
92.500000	99.574	-28.3944
93.800003	99.486	-28.6201
95.000000	99.401	-28.8183
96.199997	99.321	-29.0070
97.500000	99.229	-29.1879
98.800003	99.144	-29.3501
100.000000	99.062	-29.5250
101.500000	98.962	-29.6888
103.000000	98.860	-29.8432
104.400002	98.770	-29.9746
106.000000	98.663	-30.1144
107.500000	98.567	-30.2062
109.000000	98.466	-30.3094
110.599998	98.367	-30.4052
112.000000	98.276	-30.4494
113.800003	98.163	-30.5350
115.000000	98.085	-30.5408
117.199997	97.948	-30.5656
118.000000	97.903	-30.5942
120.599998	97.755	-30.4517
122.000000	97.650	-30.4984
124.099998	97.533	-30.4054
125.000000	97.479	-30.3547
126.500000	97.394	-30.3142
128.000000	97.315	-30.2119
131.500000	97.124	-29.9883
132.000000	97.099	-29.9477
134.000000	96.995	-29.7921
136.000000	96.896	-29.6221
138.000000	96.797	-29.4485
140.000000	96.702	-29.2606
143.000000	96.564	-28.9967
145.000000	96.474	-28.8082
147.500000	96.354	-28.5400
150.000000	96.240	-28.2597
152.500000	96.130	-27.9562
155.000000	96.023	-27.6217
157.500000	95.921	-27.2384
160.000000	95.822	-26.8656
162.500000	95.731	-26.3880
165.000000	95.642	-26.0907
167.500000	95.557	-25.7086
170.000000	95.477	-25.2877
172.500000	95.398	-24.8839
175.000000	95.325	-24.4753
177.500000	95.252	-24.0545
180.000000	95.182	-23.6584
182.500000	95.117	-23.2154
185.000000	95.057	-22.8016
187.500000	95.003	-22.3743
190.000000	94.951	-21.9847
192.500000	94.900	-21.5743
195.000000	94.849	-21.2160
197.500000	94.800	-20.8380
200.000000	94.750	-20.4510
203.000000	94.695	-20.0049
206.000000	94.641	-19.5250
209.000000	94.594	-19.0800
212.000000	94.543	-18.6449
214.000000	94.512	-18.3354
218.000000	94.452	-17.7381
220.000000	94.424	-17.4433
224.000000	94.367	-16.8563
227.000000	94.330	-16.4127
230.000000	94.293	-16.0140
233.000000	94.261	-15.5666
236.000000	94.231	-15.1647
240.000000	94.214	-14.5612
243.000000	94.166	-14.1666
247.000000	94.134	-13.6625
250.000000	94.111	-13.2741
254.000000	94.083	-12.8035
258.000000	94.051	-12.3318
262.000000	94.021	-11.8318
265.000000	94.004	-11.4813
269.000000	93.979	-11.0062
272.000000	93.961	-10.6634
276.000000	93.942	-10.2154
280.000000	93.920	-9.7887
285.000000	93.892	-9.2557
290.000000	93.871	-8.7198
295.000000	93.849	-8.2080
300.000000	93.825	-7.6616
304.000000	93.815	-7.3120
307.000000	93.802	-7.0289
311.000000	93.791	-6.6583
315.000000	93.780	-6.2665
320.000000	93.762	-5.7946
325.000000	93.747	-5.3325
330.000000	93.726	-4.8680
335.000000	93.719	-4.4751
340.000000	93.705	-4.0252
345.000000	93.695	-3.5992
350.000000	93.687	-3.1890
355.000000	93.677	-2.7828
360.000000	93.665	-2.3523
365.000000	93.657	-1.9880
370.000000	93.649	-1.5852
375.000000	93.640	-1.2128
382.000000	93.630	-0.6413
387.000000	93.628	-0.2611
395.000000	93.618	0.3283
400.000000	93.614	0.6672
406.000000	93.612	1.0695
412.000000	93.605	1.4853
418.000000	93.598	1.8587
425.000000	93.591	2.3214
431.000000	93.589	2.6997
437.000000	93.582	3.0772
444.000000	93.574	3.5519
450.000000	93.569	3.9224
455.000000	93.562	4.2264
462.000000	93.553	4.6720
468.000000	93.548	5.0187
475.000000	93.546	5.4579
482.000000	93.533	5.8926
487.000000	93.529	6.1892
494.000000	93.522	6.6151
500.000000	93.519	6.9548
508.000000	93.512	7.4497
515.000000	93.506	7.8706
522.000000	93.499	8.3156
530.000000	93.492	8.7546
538.000000	93.484	9.2565
545.000000	93.477	9.6523
552.000000	93.468	10.0667
560.000000	93.456	10.5574
570.000000	93.448	11.1592
580.000000	93.435	11.7885
590.000000	93.427	12.4574
600.000000	93.427	13.1226
608.000000	93.419	13.6356
615.000000	93.415	14.0833
622.000000	93.414	14.5367
630.000000	93.413	15.0583
640.000000	93.417	15.7343
650.000000	93.420	16.4034
660.000000	93.424	17.0727
670.000000	93.429	17.6919
680.000000	93.439	18.3415
690.000000	93.447	19.0096
700.000000	93.453	19.6713
710.000000	93.467	20.3218
720.000000	93.478	20.9915
730.000000	93.496	21.6430
740.000000	93.512	22.2988
750.000000	93.527	22.9787
762.000000	93.551	23.7669
775.000000	93.578	24.6505
788.000000	93.612	25.5233
800.000000	93.643	26.3475
812.000000	93.677	27.1504
825.000000	93.717	28.0451
838.000000	93.762	28.9054
850.000000	93.810	29.7280
862.000000	93.854	30.5522
875.000000	93.917	31.4107
885.000000	93.964	32.0695
900.000000	94.046	33.0923
912.000000	94.104	33.8442
925.000000	94.177	34.6866
938.000000	94.256	35.5248
950.000000	94.335	36.2549
962.000000	94.414	36.9630
975.000000	94.504	37.7214
988.000000	94.602	38.4768
1000.000000	94.693	39.1293
1015.000000	94.811	39.9152
1030.000000	94.935	40.6796
1044.000000	95.051	41.3217
1060.000000	95.188	42.0149
1075.000000	95.320	42.6266
1090.000000	95.455	43.1830
1106.000000	95.596	43.7277
1120.000000	95.721	44.1693
1138.000000	95.877	44.6729
1150.000000	95.981	44.9556
1172.000000	96.170	45.4186
1180.000000	96.236	45.5971
1206.000000	96.450	46.0278
1220.000000	96.560	46.2202
1241.000000	96.724	46.4855
1250.000000	96.788	46.5681
1265.000000	96.896	46.7273
1280.000000	97.004	46.8285
1315.000000	97.234	47.0902
1320.000000	97.270	47.1089
1340.000000	97.391	47.2460
1360.000000	97.513	47.3443
1380.000000	97.628	47.4257
1400.000000	97.739	47.5196
1430.000000	97.899	47.6565
1450.000000	98.003	47.7346
1475.000000	98.128	47.8434
1500.000000	98.249	47.9479
1525.000000	98.370	48.0398
1550.000000	98.486	48.1479
1575.000000	98.602	48.2455
1600.000000	98.714	48.3534
1625.000000	98.827	48.4482
1650.000000	98.936	48.5539
1675.000000	99.049	48.6316
1700.000000	99.158	48.7343
1725.000000	99.269	48.8037
1750.000000	99.379	48.8855
1775.000000	99.489	48.9461
1800.000000	99.601	49.0072
1825.000000	99.710	49.0356
1850.000000	99.822	49.0698
1875.000000	99.931	49.0841
1900.000000	100.043	49.0809
