* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 21, 2025 1:59:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.172	24.7325
20.600000	103.196	23.9973
20.900000	103.210	23.3056
21.200001	103.221	22.6101
21.400000	103.227	22.1502
21.799999	103.240	21.2573
22.000000	103.247	20.8319
22.400000	103.261	20.0367
22.700001	103.272	19.4964
23.000000	103.284	19.0012
23.299999	103.297	18.5371
23.600000	103.313	18.0793
24.000000	103.335	17.4238
24.299999	103.350	16.8674
24.700001	103.361	16.0330
25.000000	103.360	15.3712
25.400000	103.347	14.5164
25.799999	103.330	13.7720
26.200001	103.322	13.1552
26.500000	103.327	12.7418
26.900000	103.345	12.1856
27.200001	103.360	11.7329
27.600000	103.372	11.0845
28.000000	103.368	10.4286
28.500000	103.348	9.6700
29.000000	103.330	8.9798
29.500000	103.321	8.2906
30.000000	103.319	7.5647
30.400000	103.316	6.9794
30.700001	103.313	6.5558
31.100000	103.308	6.0203
31.500000	103.304	5.5100
32.000000	103.297	4.8851
32.500000	103.287	4.2636
33.000000	103.274	3.6489
33.500000	103.260	3.0374
34.000000	103.247	2.4165
34.500000	103.234	1.7843
35.000000	103.219	1.1604
35.500000	103.204	0.5714
36.000000	103.190	0.0309
36.500000	103.179	-0.4716
37.000000	103.168	-0.9645
37.500000	103.152	-1.4711
38.200001	103.121	-2.2032
38.700001	103.095	-2.7295
39.500000	103.062	-3.5780
40.000000	103.045	-4.1026
40.599998	103.024	-4.6853
41.200001	103.001	-5.2105
41.799999	102.976	-5.7248
42.500000	102.939	-6.3454
43.099998	102.907	-6.8776
43.700001	102.880	-7.4190
44.400002	102.846	-8.0536
45.000000	102.811	-8.5191
45.500000	102.787	-8.8521
46.200001	102.767	-9.3877
46.799999	102.738	-9.9555
47.500000	102.684	-10.5297
48.200001	102.645	-10.9698
48.700001	102.630	-11.3790
49.400002	102.590	-12.1080
50.000000	102.536	-12.5998
50.799999	102.497	-12.9968
51.500000	102.479	-13.4981
52.200001	102.411	-14.0837
53.000000	102.312	-14.4701
53.799999	102.280	-14.9091
54.500000	102.273	-15.5722
55.200001	102.248	-16.1930
56.000000	102.209	-16.6775
57.000000	102.151	-17.2479
58.000000	102.070	-17.9199
59.000000	101.986	-18.3690
60.000000	101.960	-18.7517
60.799999	101.924	-19.3949
61.500000	101.848	-19.8470
62.200001	101.788	-20.0492
63.000000	101.756	-20.3683
64.000000	101.690	-20.9516
65.000000	101.620	-21.4310
66.000000	101.558	-21.9923
67.000000	101.482	-22.4347
68.000000	101.414	-22.7888
69.000000	101.341	-23.3196
70.000000	101.264	-23.8116
71.000000	101.217	-24.2602
72.000000	101.124	-24.6810
73.000000	101.032	-24.7439
74.000000	100.990	-25.2125
75.000000	100.902	-25.7496
76.199997	100.834	-26.0065
77.500000	100.747	-26.5743
78.800003	100.658	-26.9665
80.000000	100.571	-27.3713
81.199997	100.473	-27.7813
82.500000	100.388	-28.1739
83.800003	100.301	-28.4892
85.000000	100.211	-28.8055
86.199997	100.122	-29.1395
87.500000	100.034	-29.4351
88.500000	99.957	-29.6840
90.000000	99.850	-29.9478
91.199997	99.772	-30.2569
92.500000	99.663	-30.4701
93.800003	99.582	-30.7190
95.000000	99.493	-30.9540
96.199997	99.412	-31.1323
97.500000	99.323	-31.4280
98.800003	99.229	-31.5945
100.000000	99.140	-31.7276
101.500000	99.038	-31.9033
103.000000	98.932	-32.1250
104.400002	98.839	-32.2126
106.000000	98.729	-32.4068
107.500000	98.629	-32.4740
109.000000	98.528	-32.5993
110.599998	98.427	-32.7009
112.000000	98.329	-32.8014
113.800003	98.215	-32.8148
115.000000	98.136	-32.8948
117.199997	97.988	-32.9287
118.000000	97.939	-32.9246
120.599998	97.756	-32.8582
122.000000	97.696	-32.9799
124.099998	97.554	-32.9108
125.000000	97.495	-32.8896
126.500000	97.411	-32.7444
128.000000	97.327	-32.7304
131.500000	97.118	-32.5670
132.000000	97.092	-32.5413
134.000000	96.979	-32.3739
136.000000	96.870	-32.2360
138.000000	96.772	-32.0920
140.000000	96.646	-31.9506
143.000000	96.502	-31.6456
145.000000	96.408	-31.4665
147.500000	96.266	-31.1822
150.000000	96.150	-30.8776
152.500000	96.036	-30.5402
155.000000	95.921	-30.2239
157.500000	95.807	-29.8491
160.000000	95.695	-29.5066
162.500000	95.581	-29.0113
165.000000	95.479	-28.6150
167.500000	95.382	-28.1600
170.000000	95.296	-27.6217
172.500000	95.226	-27.0147
175.000000	95.166	-26.4409
177.500000	95.115	-25.9501
180.000000	95.068	-25.6133
182.500000	94.998	-25.3036
185.000000	94.944	-25.0401
187.500000	94.883	-24.6690
190.000000	94.815	-24.3346
192.500000	94.749	-23.9999
195.000000	94.693	-23.6216
197.500000	94.635	-23.2118
200.000000	94.576	-22.8485
203.000000	94.511	-22.3715
206.000000	94.446	-21.8886
209.000000	94.396	-21.4284
212.000000	94.331	-20.9495
214.000000	94.299	-20.6234
218.000000	94.231	-20.0390
220.000000	94.200	-19.7180
224.000000	94.136	-19.0975
227.000000	94.092	-18.6111
230.000000	94.053	-18.1890
233.000000	94.005	-17.7560
236.000000	93.968	-17.3143
240.000000	93.908	-16.6197
243.000000	93.898	-16.2566
247.000000	93.858	-15.6882
250.000000	93.832	-15.2757
254.000000	93.796	-14.7143
258.000000	93.765	-14.2336
262.000000	93.734	-13.7278
265.000000	93.711	-13.2872
269.000000	93.683	-12.7858
272.000000	93.668	-12.4267
276.000000	93.638	-11.9156
280.000000	93.617	-11.4334
285.000000	93.592	-10.8887
290.000000	93.565	-10.3161
295.000000	93.551	-9.7903
300.000000	93.517	-9.1927
304.000000	93.502	-8.8099
307.000000	93.493	-8.5071
311.000000	93.479	-8.0914
315.000000	93.464	-7.7181
320.000000	93.449	-7.1875
325.000000	93.431	-6.7191
330.000000	93.420	-6.2747
335.000000	93.408	-5.7465
340.000000	93.390	-5.3282
345.000000	93.377	-4.9059
350.000000	93.362	-4.4439
355.000000	93.354	-4.0065
360.000000	93.339	-3.5676
365.000000	93.329	-3.2001
370.000000	93.324	-2.7609
375.000000	93.311	-2.3441
382.000000	93.297	-1.7980
387.000000	93.286	-1.3973
395.000000	93.277	-0.7646
400.000000	93.272	-0.3854
406.000000	93.263	0.0615
412.000000	93.254	0.5342
418.000000	93.248	0.9654
425.000000	93.240	1.4592
431.000000	93.229	1.8815
437.000000	93.221	2.3292
444.000000	93.215	2.8007
450.000000	93.210	3.2363
455.000000	93.204	3.5832
462.000000	93.196	4.0472
468.000000	93.196	4.4537
475.000000	93.186	4.9365
482.000000	93.179	5.4288
487.000000	93.177	5.7364
494.000000	93.169	6.2138
500.000000	93.165	6.6130
508.000000	93.160	7.1572
515.000000	93.154	7.6103
522.000000	93.149	8.0682
530.000000	93.145	8.6143
538.000000	93.142	9.1214
545.000000	93.138	9.5904
552.000000	93.134	10.0570
560.000000	93.134	10.5607
570.000000	93.129	11.2393
580.000000	93.125	11.9146
590.000000	93.129	12.5660
600.000000	93.137	13.3120
608.000000	93.128	13.7795
615.000000	93.131	14.2525
622.000000	93.136	14.6891
630.000000	93.144	15.2449
640.000000	93.147	15.8858
650.000000	93.161	16.5688
660.000000	93.173	17.1738
670.000000	93.182	17.8877
680.000000	93.192	18.5351
690.000000	93.206	19.1743
700.000000	93.220	19.8237
710.000000	93.233	20.4806
720.000000	93.246	21.1266
730.000000	93.265	21.8183
740.000000	93.283	22.4841
750.000000	93.302	23.1298
762.000000	93.326	23.9296
775.000000	93.357	24.7829
788.000000	93.393	25.6913
800.000000	93.429	26.4969
812.000000	93.464	27.3221
825.000000	93.508	28.1932
838.000000	93.555	29.0877
850.000000	93.602	29.8830
862.000000	93.657	30.7135
875.000000	93.717	31.5891
885.000000	93.763	32.2593
900.000000	93.846	33.2543
912.000000	93.910	34.0436
925.000000	93.987	34.8526
938.000000	94.069	35.6962
950.000000	94.147	36.4173
962.000000	94.234	37.1421
975.000000	94.325	37.9195
988.000000	94.424	38.6629
1000.000000	94.521	39.2976
1015.000000	94.643	40.0646
1030.000000	94.767	40.8106
1044.000000	94.890	41.4356
1060.000000	95.029	42.1408
1075.000000	95.164	42.7173
1090.000000	95.304	43.2685
1106.000000	95.450	43.7798
1120.000000	95.575	44.1782
1138.000000	95.737	44.6524
1150.000000	95.845	44.9053
1172.000000	96.036	45.3243
1180.000000	96.106	45.4618
1206.000000	96.321	45.8013
1220.000000	96.431	45.9394
1241.000000	96.589	46.1105
1250.000000	96.656	46.1846
1265.000000	96.762	46.2707
1280.000000	96.864	46.3463
1315.000000	97.088	46.4494
1320.000000	97.121	46.4750
1340.000000	97.232	46.5043
1360.000000	97.341	46.5368
