* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 14, 2025 2:01:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Moondrop tips M
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.195	-119.1794
20.600000	94.284	-119.7995
20.900000	94.367	-120.3411
21.200001	94.447	-120.8958
21.400000	94.499	-121.2957
21.799999	94.591	-122.1846
22.000000	94.626	-122.6609
22.400000	94.675	-123.6059
22.700001	94.696	-124.2306
23.000000	94.715	-124.7445
23.299999	94.743	-125.1577
23.600000	94.789	-125.5209
24.000000	94.874	-126.0420
24.299999	94.947	-126.5065
24.700001	95.036	-127.2024
25.000000	95.093	-127.7208
25.400000	95.157	-128.3371
25.799999	95.222	-128.8725
26.200001	95.293	-129.4153
26.500000	95.348	-129.8793
26.900000	95.414	-130.5739
27.200001	95.453	-131.1122
27.600000	95.496	-131.7744
28.000000	95.537	-132.3319
28.500000	95.596	-132.9162
29.000000	95.658	-133.4610
29.500000	95.714	-133.9832
30.000000	95.766	-134.4781
30.400000	95.815	-134.9057
30.700001	95.856	-135.2866
31.100000	95.908	-135.8916
31.500000	95.949	-136.5486
32.000000	95.981	-137.2639
32.500000	96.012	-137.7237
33.000000	96.064	-138.0126
33.500000	96.135	-138.3567
34.000000	96.197	-138.8887
34.500000	96.229	-139.5443
35.000000	96.241	-140.1758
35.500000	96.256	-140.7149
36.000000	96.288	-141.2004
36.500000	96.332	-141.6842
37.000000	96.375	-142.1577
37.500000	96.408	-142.5786
38.200001	96.449	-143.0791
38.700001	96.483	-143.4460
39.500000	96.542	-144.1543
40.000000	96.574	-144.6210
40.599998	96.607	-145.1037
41.200001	96.640	-145.4966
41.799999	96.674	-145.9021
42.500000	96.705	-146.4929
43.099998	96.718	-147.0132
43.700001	96.737	-147.4231
44.400002	96.786	-147.8343
45.000000	96.831	-148.2582
45.500000	96.848	-148.6163
46.200001	96.852	-148.9846
46.799999	96.870	-149.2707
47.500000	96.906	-149.8099
48.200001	96.931	-150.4173
48.700001	96.948	-150.7174
49.400002	96.991	-151.0222
50.000000	97.023	-151.3240
50.799999	97.029	-151.7151
51.500000	97.033	-152.0601
52.200001	97.049	-152.6098
53.000000	97.059	-153.2811
53.799999	97.085	-153.6183
54.500000	97.133	-153.7977
55.200001	97.171	-154.0615
56.000000	97.184	-154.4457
57.000000	97.191	-154.9614
58.000000	97.220	-155.4229
59.000000	97.254	-155.8775
60.000000	97.268	-156.3180
60.799999	97.282	-156.6860
61.500000	97.296	-157.0334
62.200001	97.303	-157.3242
63.000000	97.312	-157.5326
64.000000	97.341	-157.8671
65.000000	97.349	-158.4411
66.000000	97.357	-158.7462
67.000000	97.408	-159.0932
68.000000	97.402	-159.5175
69.000000	97.403	-159.7325
