* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 14, 2025 1:59:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.898	-125.1838
20.600000	94.926	-125.9522
20.900000	94.941	-126.6229
21.200001	94.959	-127.2259
21.400000	94.977	-127.5844
21.799999	95.038	-128.2263
22.000000	95.082	-128.5310
22.400000	95.188	-129.1514
22.700001	95.272	-129.6475
23.000000	95.350	-130.1609
23.299999	95.416	-130.6683
23.600000	95.469	-131.1465
24.000000	95.523	-131.7230
24.299999	95.558	-132.1257
24.700001	95.605	-132.6688
25.000000	95.642	-133.1101
25.400000	95.695	-133.7595
25.799999	95.747	-134.4570
26.200001	95.796	-135.1525
26.500000	95.830	-135.6401
26.900000	95.873	-136.2137
27.200001	95.904	-136.5802
27.600000	95.948	-137.0067
28.000000	95.996	-137.4143
28.500000	96.057	-137.9889
29.000000	96.108	-138.6621
29.500000	96.143	-139.3467
30.000000	96.173	-139.9344
30.400000	96.205	-140.3356
30.700001	96.235	-140.6291
31.100000	96.277	-141.0472
31.500000	96.313	-141.4957
32.000000	96.344	-142.0374
32.500000	96.370	-142.5086
33.000000	96.405	-142.9658
33.500000	96.446	-143.4969
34.000000	96.479	-144.0826
34.500000	96.501	-144.6162
35.000000	96.526	-145.0528
35.500000	96.563	-145.4695
36.000000	96.600	-145.9464
36.500000	96.624	-146.4474
37.000000	96.638	-146.8772
37.500000	96.656	-147.2225
38.200001	96.699	-147.7259
38.700001	96.728	-148.1488
39.500000	96.756	-148.7692
40.000000	96.774	-149.0843
40.599998	96.801	-149.4700
41.200001	96.823	-149.8938
41.799999	96.840	-150.3147
42.500000	96.866	-150.7947
43.099998	96.894	-151.2264
43.700001	96.923	-151.6662
