* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 14, 2024 4:58:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: nozS L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.081	-145.4634
20.600000	99.110	-146.0402
20.900000	99.135	-146.5041
21.200001	99.160	-146.9550
21.400000	99.176	-147.2699
21.799999	99.205	-147.9564
22.000000	99.216	-148.3266
22.400000	99.230	-149.0952
22.700001	99.236	-149.6667
23.000000	99.241	-150.2172
23.299999	99.250	-150.7440
23.600000	99.265	-151.2543
24.000000	99.294	-151.9277
24.299999	99.319	-152.4330
24.700001	99.352	-153.0979
25.000000	99.373	-153.5732
25.400000	99.395	-154.1529
25.799999	99.410	-154.6578
26.200001	99.422	-155.0991
26.500000	99.431	-155.4075
26.900000	99.444	-155.8223
27.200001	99.455	-156.1556
27.600000	99.469	-156.6447
28.000000	99.482	-157.1808
28.500000	99.494	-157.8836
29.000000	99.504	-158.5728
29.500000	99.513	-159.2173
30.000000	99.521	-159.8081
30.400000	99.528	-160.2456
30.700001	99.533	-160.5593
31.100000	99.540	-160.9703
31.500000	99.548	-161.3891
32.000000	99.557	-161.9337
32.500000	99.562	-162.4810
33.000000	99.564	-162.9904
33.500000	99.567	-163.4514
34.000000	99.573	-163.8947
34.500000	99.578	-164.3477
35.000000	99.577	-164.7994
35.500000	99.574	-165.2257
36.000000	99.573	-165.6327
36.500000	99.575	-166.0468
37.000000	99.574	-166.4695
37.500000	99.568	-166.8711
38.200001	99.561	-167.3787
38.700001	99.561	-167.7448
39.500000	99.563	-168.3881
40.000000	99.562	-168.7838
40.599998	99.562	-169.2185
41.200001	99.564	-169.6385
41.799999	99.563	-170.0700
42.500000	99.557	-170.5764
43.099998	99.548	-170.9951
43.700001	99.539	-171.3855
44.400002	99.531	-171.8016
45.000000	99.527	-172.1595
45.500000	99.521	-172.4768
46.200001	99.506	-172.9191
46.799999	99.495	-173.2686
47.500000	99.489	-173.6720
48.200001	99.479	-174.0708
48.700001	99.469	-174.3152
49.400002	99.459	-174.6166
50.000000	99.457	-174.9177
50.799999	99.446	-175.3996
51.500000	99.427	-175.7876
52.200001	99.410	-176.1211
53.000000	99.396	-176.5217
53.799999	99.377	-176.9122
54.500000	99.363	-177.1904
55.200001	99.354	-177.4830
56.000000	99.336	-177.8781
57.000000	99.312	-178.3054
58.000000	99.304	-178.7648
59.000000	99.266	-179.0217
60.000000	99.258	-179.1441
60.799999	99.253	-179.6485
61.500000	99.220	179.8806
62.200001	99.195	179.5992
63.000000	99.187	179.3356
64.000000	99.165	178.9998
65.000000	99.140	178.6321
66.000000	99.114	178.2618
67.000000	99.095	177.9510
68.000000	99.060	177.6403
69.000000	99.044	177.3461
70.000000	99.026	176.8673
71.000000	98.985	176.6227
72.000000	98.964	176.3972
73.000000	98.929	176.1334
74.000000	98.915	175.9283
75.000000	98.891	175.6098
76.199997	98.847	175.3215
77.500000	98.814	174.9822
78.800003	98.784	174.6428
80.000000	98.750	174.3554
81.199997	98.726	174.0271
82.500000	98.685	173.7642
83.800003	98.654	173.5066
85.000000	98.613	173.2609
86.199997	98.587	173.0170
87.500000	98.540	172.7331
88.500000	98.519	172.5602
90.000000	98.483	172.2584
91.199997	98.449	172.1023
92.500000	98.402	171.8640
93.800003	98.372	171.6108
95.000000	98.344	171.4144
96.199997	98.313	171.2377
97.500000	98.267	170.9983
98.800003	98.235	170.8048
100.000000	98.207	170.6822
101.500000	98.165	170.4713
103.000000	98.120	170.2557
104.400002	98.087	170.0869
106.000000	98.038	169.8770
107.500000	98.002	169.7112
109.000000	97.957	169.5423
110.599998	97.913	169.3576
112.000000	97.891	169.3042
113.800003	97.830	169.0734
115.000000	97.802	168.9710
117.199997	97.737	168.7406
118.000000	97.715	168.6096
120.599998	97.684	168.4444
122.000000	97.603	168.4166
124.099998	97.556	168.1984
125.000000	97.540	168.1250
126.500000	97.495	168.0503
128.000000	97.450	167.9205
131.500000	97.359	167.7195
132.000000	97.342	167.7000
134.000000	97.298	167.5893
136.000000	97.238	167.5323
138.000000	97.179	167.4098
140.000000	97.130	167.3277
143.000000	97.042	167.2559
145.000000	96.982	167.2531
