* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 14, 2024 4:44:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: nozS R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.449	-146.7157
20.600000	99.483	-147.3981
20.900000	99.507	-148.0266
21.200001	99.526	-148.6412
21.400000	99.536	-149.0371
21.799999	99.553	-149.7842
22.000000	99.562	-150.1330
22.400000	99.580	-150.7858
22.700001	99.596	-151.2485
23.000000	99.617	-151.7045
23.299999	99.641	-152.1690
23.600000	99.666	-152.6538
24.000000	99.700	-153.3370
24.299999	99.722	-153.8664
24.700001	99.743	-154.5641
25.000000	99.753	-155.0570
25.400000	99.759	-155.6518
25.799999	99.763	-156.1792
26.200001	99.770	-156.6724
26.500000	99.776	-157.0453
26.900000	99.786	-157.5662
27.200001	99.792	-157.9737
27.600000	99.797	-158.5176
28.000000	99.802	-159.0350
28.500000	99.810	-159.6233
29.000000	99.822	-160.1696
29.500000	99.835	-160.7114
30.000000	99.841	-161.2558
30.400000	99.842	-161.6775
30.700001	99.841	-161.9804
31.100000	99.844	-162.3729
31.500000	99.852	-162.7729
32.000000	99.867	-163.3074
32.500000	99.877	-163.8614
33.000000	99.879	-164.3679
33.500000	99.878	-164.7832
34.000000	99.882	-165.1421
34.500000	99.889	-165.5231
35.000000	99.891	-165.9667
35.500000	99.882	-166.4433
36.000000	99.867	-166.9045
36.500000	99.858	-167.3434
37.000000	99.857	-167.7866
37.500000	99.861	-168.2414
38.200001	99.866	-168.8420
38.700001	99.868	-169.2195
39.500000	99.866	-169.7780
40.000000	99.860	-170.1250
40.599998	99.852	-170.5420
41.200001	99.845	-170.9610
41.799999	99.839	-171.3787
42.500000	99.833	-171.8480
43.099998	99.827	-172.2400
43.700001	99.819	-172.6298
44.400002	99.807	-173.0480
45.000000	99.799	-173.3734
45.500000	99.794	-173.6601
46.200001	99.782	-174.1039
46.799999	99.766	-174.4721
47.500000	99.754	-174.8670
48.200001	99.749	-175.2675
48.700001	99.739	-175.5203
49.400002	99.724	-175.7677
50.000000	99.721	-175.9927
50.799999	99.711	-176.4908
51.500000	99.682	-176.9259
52.200001	99.663	-177.2082
53.000000	99.663	-177.5807
53.799999	99.639	-178.0222
54.500000	99.610	-178.2671
55.200001	99.602	-178.4913
56.000000	99.591	-178.8860
57.000000	99.547	-179.3918
58.000000	99.523	-179.8201
59.000000	99.553	179.7714
60.000000	99.562	179.2602
60.799999	99.506	179.0193
61.500000	99.463	178.9075
62.200001	99.445	178.6388
63.000000	99.427	178.2544
64.000000	99.411	177.9753
65.000000	99.385	177.6470
66.000000	99.346	177.2719
67.000000	99.325	176.9359
68.000000	99.307	176.6716
69.000000	99.272	176.3552
70.000000	99.247	176.0894
71.000000	99.248	175.6765
72.000000	99.192	175.2891
73.000000	99.147	175.2074
74.000000	99.139	174.8735
75.000000	99.110	174.5734
76.199997	99.081	174.3193
77.500000	99.043	173.9830
78.800003	99.010	173.6479
80.000000	98.965	173.4058
81.199997	98.927	173.0408
82.500000	98.888	172.7353
83.800003	98.862	172.5084
85.000000	98.825	172.3136
86.199997	98.795	172.0926
87.500000	98.756	171.7818
88.500000	98.723	171.5935
90.000000	98.693	171.3338
91.199997	98.656	171.1188
92.500000	98.611	170.9191
93.800003	98.568	170.6765
95.000000	98.534	170.4965
96.199997	98.507	170.3104
97.500000	98.456	170.1220
98.800003	98.423	169.8860
100.000000	98.384	169.6399
101.500000	98.353	169.6007
103.000000	98.302	169.3694
104.400002	98.262	169.1765
106.000000	98.214	169.0084
107.500000	98.171	168.7970
109.000000	98.129	168.6512
110.599998	98.076	168.4916
112.000000	98.062	168.4662
113.800003	97.964	168.2679
115.000000	97.921	168.1818
117.199997	97.881	168.0233
118.000000	97.856	168.0674
120.599998	97.709	167.8653
122.000000	97.758	167.6222
124.099998	97.684	167.6464
125.000000	97.650	167.4941
126.500000	97.617	167.5508
128.000000	97.580	167.6249
131.500000	97.481	167.4142
132.000000	97.465	167.4577
134.000000	97.431	167.5006
136.000000	97.397	167.3201
138.000000	97.360	167.4687
140.000000	97.297	167.2243
143.000000	97.265	167.3754
145.000000	97.171	167.3075
147.500000	97.140	167.3375
150.000000	97.051	167.4206
152.500000	97.043	167.4014
155.000000	96.990	167.4334
157.500000	96.962	167.4137
160.000000	96.923	167.5060
