* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 25, 2025 8:57:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: pop L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.640	-156.3984
20.600000	99.651	-157.0150
20.900000	99.653	-157.5618
21.200001	99.653	-158.0814
21.400000	99.655	-158.4119
21.799999	99.664	-159.0453
22.000000	99.673	-159.3554
22.400000	99.696	-159.9790
22.700001	99.714	-160.4610
23.000000	99.729	-160.9550
23.299999	99.739	-161.4524
23.600000	99.743	-161.9399
24.000000	99.742	-162.5533
24.299999	99.740	-162.9814
24.700001	99.741	-163.5220
25.000000	99.746	-163.9216
25.400000	99.756	-164.4635
25.799999	99.763	-165.0119
26.200001	99.764	-165.5385
26.500000	99.761	-165.9017
26.900000	99.757	-166.3416
27.200001	99.755	-166.6526
27.600000	99.757	-167.0789
28.000000	99.762	-167.5460
28.500000	99.765	-168.1801
29.000000	99.761	-168.8027
29.500000	99.756	-169.3637
30.000000	99.755	-169.8837
30.400000	99.756	-170.3018
30.700001	99.754	-170.6208
31.100000	99.747	-171.0386
31.500000	99.738	-171.4243
32.000000	99.730	-171.8553
32.500000	99.732	-172.2720
33.000000	99.737	-172.7254
33.500000	99.735	-173.2105
34.000000	99.724	-173.6780
34.500000	99.709	-174.1038
35.000000	99.698	-174.5178
35.500000	99.691	-174.9598
36.000000	99.681	-175.4239
36.500000	99.668	-175.8648
37.000000	99.655	-176.2529
37.500000	99.647	-176.6089
38.200001	99.640	-177.1340
38.700001	99.631	-177.5313
39.500000	99.607	-178.1009
40.000000	99.598	-178.4067
40.599998	99.593	-178.7926
41.200001	99.585	-179.2296
41.799999	99.568	-179.6676
42.500000	99.546	179.8680
43.099998	99.533	179.4697
43.700001	99.518	179.0495
44.400002	99.496	178.5918
45.000000	99.478	178.2550
45.500000	99.466	177.9876
46.200001	99.451	177.5947
46.799999	99.436	177.2447
47.500000	99.416	176.8483
48.200001	99.397	176.4754
48.700001	99.383	176.2118
49.400002	99.362	175.8185
50.000000	99.340	175.4619
50.799999	99.310	175.0049
51.500000	99.293	174.6246
52.200001	99.280	174.2429
53.000000	99.258	173.8521
53.799999	99.228	173.5439
54.500000	99.203	173.2875
55.200001	99.183	172.9824
56.000000	99.160	172.5573
57.000000	99.120	172.0901
58.000000	99.096	171.7485
59.000000	99.066	171.2004
60.000000	99.007	170.7879
