* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 25, 2025 8:52:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: pop R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.535	-155.9508
20.600000	99.555	-156.5407
20.900000	99.568	-157.0477
21.200001	99.578	-157.5387
21.400000	99.584	-157.8646
21.799999	99.591	-158.5174
22.000000	99.593	-158.8421
22.400000	99.592	-159.4782
22.700001	99.591	-159.9388
23.000000	99.592	-160.3893
23.299999	99.597	-160.8404
23.600000	99.606	-161.3033
24.000000	99.623	-161.9482
24.299999	99.636	-162.4444
24.700001	99.649	-163.0957
25.000000	99.654	-163.5544
25.400000	99.654	-164.1070
25.799999	99.650	-164.5921
26.200001	99.645	-165.0322
26.500000	99.641	-165.3529
26.900000	99.640	-165.7938
27.200001	99.641	-166.1465
27.600000	99.643	-166.6496
28.000000	99.646	-167.1758
28.500000	99.646	-167.8203
29.000000	99.643	-168.3998
29.500000	99.641	-168.9109
30.000000	99.641	-169.4007
30.400000	99.642	-169.8052
30.700001	99.640	-170.1168
31.100000	99.636	-170.5298
31.500000	99.631	-170.9226
32.000000	99.627	-171.3811
32.500000	99.626	-171.8279
33.000000	99.623	-172.2879
33.500000	99.616	-172.7549
34.000000	99.606	-173.2101
34.500000	99.599	-173.6565
35.000000	99.596	-174.1119
35.500000	99.592	-174.5723
36.000000	99.585	-175.0063
36.500000	99.577	-175.3992
37.000000	99.572	-175.7799
37.500000	99.566	-176.1825
38.200001	99.549	-176.7436
38.700001	99.534	-177.0785
39.500000	99.522	-177.5398
40.000000	99.520	-177.8830
40.599998	99.506	-178.3666
41.200001	99.481	-178.8264
41.799999	99.460	-179.2056
42.500000	99.454	-179.6307
43.099998	99.450	179.9481
43.700001	99.432	179.5217
44.400002	99.400	179.1245
45.000000	99.385	178.8341
45.500000	99.381	178.5348
46.200001	99.369	177.9997
46.799999	99.340	177.5745
47.500000	99.310	177.2410
48.200001	99.305	176.9135
48.700001	99.303	176.5948
49.400002	99.278	176.1480
50.000000	99.248	175.8688
50.799999	99.223	175.5185
51.500000	99.212	175.0942
52.200001	99.200	174.6245
53.000000	99.180	174.1586
53.799999	99.146	173.8458
54.500000	99.115	173.6597
55.200001	99.091	173.4095
56.000000	99.066	173.0026
57.000000	99.043	172.5136
58.000000	99.017	172.0782
59.000000	98.967	171.6933
60.000000	98.923	171.3126
60.799999	98.903	170.9736
61.500000	98.895	170.6880
62.200001	98.890	170.3815
63.000000	98.871	169.9730
64.000000	98.816	169.5386
65.000000	98.772	169.2446
66.000000	98.744	168.8922
67.000000	98.708	168.5580
68.000000	98.675	168.2345
69.000000	98.632	167.8812
70.000000	98.594	167.5992
71.000000	98.571	167.2523
72.000000	98.536	166.8846
73.000000	98.499	166.5693
74.000000	98.464	166.2363
75.000000	98.431	165.9464
76.199997	98.394	165.6000
77.500000	98.343	165.2395
78.800003	98.294	164.8698
80.000000	98.253	164.5362
81.199997	98.207	164.2100
82.500000	98.157	163.9158
83.800003	98.111	163.5922
85.000000	98.069	163.3079
86.199997	98.027	163.0423
87.500000	97.986	162.7175
88.500000	97.941	162.4784
90.000000	97.886	162.2154
91.199997	97.840	161.8997
92.500000	97.793	161.6434
93.800003	97.749	161.4080
95.000000	97.708	161.1804
96.199997	97.662	160.9385
97.500000	97.612	160.7206
98.800003	97.562	160.5219
100.000000	97.517	160.2909
101.500000	97.462	159.9917
103.000000	97.413	159.7186
104.400002	97.363	159.5193
106.000000	97.303	159.2904
