* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 25, 2025 8:40:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ref L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.447	-157.1746
20.600000	96.447	-157.7149
20.900000	96.440	-158.1792
21.200001	96.436	-158.6234
21.400000	96.438	-158.9171
21.799999	96.453	-159.5211
22.000000	96.465	-159.8367
22.400000	96.492	-160.4905
22.700001	96.509	-160.9826
23.000000	96.522	-161.4553
23.299999	96.529	-161.8932
23.600000	96.531	-162.2905
24.000000	96.529	-162.7675
24.299999	96.526	-163.1036
24.700001	96.524	-163.5485
25.000000	96.525	-163.8902
25.400000	96.530	-164.3625
25.799999	96.541	-164.8566
26.200001	96.556	-165.3759
26.500000	96.567	-165.7802
26.900000	96.577	-166.3210
27.200001	96.578	-166.7077
27.600000	96.572	-167.1652
28.000000	96.561	-167.5422
28.500000	96.551	-167.9351
29.000000	96.547	-168.3354
29.500000	96.544	-168.8025
30.000000	96.534	-169.3076
30.400000	96.523	-169.6962
30.700001	96.517	-169.9682
31.100000	96.514	-170.3139
31.500000	96.515	-170.6614
32.000000	96.519	-171.1133
32.500000	96.517	-171.5640
33.000000	96.509	-171.9821
33.500000	96.500	-172.3733
34.000000	96.492	-172.7717
34.500000	96.482	-173.1900
35.000000	96.470	-173.5996
35.500000	96.459	-173.9682
36.000000	96.454	-174.3059
36.500000	96.454	-174.6570
37.000000	96.451	-175.0470
37.500000	96.439	-175.4486
38.200001	96.412	-175.9330
38.700001	96.399	-176.2142
39.500000	96.396	-176.6766
40.000000	96.391	-177.0036
40.599998	96.376	-177.3830
41.200001	96.358	-177.7285
41.799999	96.344	-178.0957
42.500000	96.328	-178.5797
43.099998	96.313	-178.9601
43.700001	96.303	-179.2633
44.400002	96.298	-179.6023
45.000000	96.286	-179.9256
45.500000	96.266	179.8155
46.200001	96.237	179.4999
46.799999	96.222	179.2214
47.500000	96.209	178.8439
48.200001	96.192	178.4796
48.700001	96.180	178.2518
49.400002	96.164	177.9283
50.000000	96.145	177.6277
50.799999	96.117	177.2602
51.500000	96.102	176.9738
52.200001	96.095	176.6411
53.000000	96.070	176.2301
53.799999	96.026	175.9322
54.500000	95.993	175.7410
55.200001	95.975	175.4809
56.000000	95.959	175.0851
57.000000	95.939	174.6808
58.000000	95.916	174.3927
59.000000	95.869	174.0900
60.000000	95.827	173.7767
60.799999	95.815	173.4495
61.500000	95.806	173.1401
62.200001	95.789	172.8796
63.000000	95.761	172.6299
64.000000	95.721	172.3174
65.000000	95.688	172.0125
66.000000	95.660	171.7017
67.000000	95.625	171.4291
68.000000	95.597	171.1575
69.000000	95.566	170.8625
70.000000	95.534	170.6202
71.000000	95.497	170.3419
72.000000	95.460	170.1367
73.000000	95.440	169.8617
74.000000	95.403	169.5788
75.000000	95.379	169.3569
76.199997	95.345	168.9491
77.500000	95.281	168.6562
78.800003	95.240	168.4762
80.000000	95.209	168.2515
81.199997	95.184	168.0466
82.500000	95.122	167.6726
83.800003	95.075	167.5249
85.000000	95.037	167.2538
86.199997	94.996	167.0820
87.500000	94.953	166.8381
88.500000	94.922	166.6660
90.000000	94.870	166.4267
91.199997	94.836	166.2472
92.500000	94.790	166.0339
93.800003	94.748	165.8593
95.000000	94.707	165.7050
96.199997	94.667	165.5208
97.500000	94.625	165.3653
98.800003	94.587	165.1748
100.000000	94.542	165.0324
101.500000	94.494	164.8352
103.000000	94.446	164.6833
104.400002	94.401	164.5281
106.000000	94.347	164.3628
107.500000	94.300	164.2058
109.000000	94.251	164.0826
110.599998	94.200	163.9299
112.000000	94.157	163.8123
113.800003	94.099	163.6718
115.000000	94.060	163.5902
117.199997	93.989	163.4338
118.000000	93.968	163.3962
120.599998	93.883	163.2413
122.000000	93.842	163.1422
124.099998	93.779	163.0339
125.000000	93.753	162.9965
126.500000	93.710	162.9201
128.000000	93.666	162.8661
131.500000	93.559	162.7057
132.000000	93.543	162.6839
134.000000	93.487	162.6307
136.000000	93.426	162.5549
138.000000	93.363	162.5164
140.000000	93.303	162.5116
143.000000	93.217	162.4579
145.000000	93.159	162.4724
147.500000	93.091	162.4924
150.000000	93.016	162.5868
152.500000	92.942	162.5988
155.000000	92.879	162.6321
157.500000	92.818	162.7160
160.000000	92.756	162.7971
162.500000	92.688	163.0148
165.000000	92.618	163.1820
167.500000	92.567	163.4465
170.000000	92.524	163.6738
172.500000	92.509	163.9260
175.000000	92.497	164.0641
177.500000	92.486	164.1126
180.000000	92.481	164.1456
182.500000	92.432	163.9796
185.000000	92.395	163.8870
187.500000	92.357	163.7835
190.000000	92.308	163.7552
192.500000	92.260	163.7155
195.000000	92.210	163.7567
197.500000	92.162	163.7748
200.000000	92.108	163.8228
203.000000	92.050	163.8197
206.000000	91.992	163.9174
209.000000	91.935	164.0123
212.000000	91.881	164.0978
214.000000	91.842	164.1733
