* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 25, 2025 8:43:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ref R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.390	-156.4320
20.600000	96.412	-156.8459
20.900000	96.427	-157.2587
21.200001	96.439	-157.7257
21.400000	96.444	-158.0680
21.799999	96.449	-158.7914
22.000000	96.450	-159.1516
22.400000	96.452	-159.8294
22.700001	96.459	-160.2825
23.000000	96.473	-160.6967
23.299999	96.491	-161.0926
23.600000	96.511	-161.4906
24.000000	96.531	-162.0362
24.299999	96.536	-162.4429
24.700001	96.530	-162.9516
25.000000	96.522	-163.2996
25.400000	96.514	-163.7386
25.799999	96.514	-164.1946
26.200001	96.517	-164.6933
26.500000	96.519	-165.0806
26.900000	96.515	-165.5665
27.200001	96.509	-165.8819
27.600000	96.503	-166.2369
28.000000	96.501	-166.5592
28.500000	96.501	-167.0014
29.000000	96.497	-167.5162
29.500000	96.489	-168.0525
30.000000	96.487	-168.5639
30.400000	96.494	-168.9622
30.700001	96.502	-169.2633
31.100000	96.511	-169.6655
31.500000	96.515	-170.0494
32.000000	96.511	-170.4785
32.500000	96.502	-170.8622
33.000000	96.494	-171.2452
33.500000	96.486	-171.6528
34.000000	96.478	-172.0715
34.500000	96.472	-172.4761
35.000000	96.467	-172.8551
35.500000	96.464	-173.2164
36.000000	96.461	-173.5807
36.500000	96.458	-173.9625
37.000000	96.449	-174.3451
37.500000	96.438	-174.6852
38.200001	96.430	-175.0566
38.700001	96.434	-175.3041
39.500000	96.435	-175.8018
40.000000	96.421	-176.1558
40.599998	96.393	-176.5660
41.200001	96.365	-176.9635
41.799999	96.343	-177.3716
42.500000	96.327	-177.8543
43.099998	96.320	-178.2587
43.700001	96.316	-178.6373
44.400002	96.308	-179.0155
45.000000	96.301	-179.3052
45.500000	96.294	-179.5525
46.200001	96.276	-179.8912
46.799999	96.263	179.8599
47.500000	96.253	179.5750
48.200001	96.235	179.2587
48.700001	96.212	179.0476
49.400002	96.182	178.7554
50.000000	96.162	178.4327
50.799999	96.135	178.0045
51.500000	96.127	177.8138
52.200001	96.140	177.6483
53.000000	96.127	177.2994
53.799999	96.074	177.0148
54.500000	96.055	176.8015
55.200001	96.056	176.4188
56.000000	96.032	175.9679
57.000000	95.992	175.6653
58.000000	95.972	175.2322
59.000000	95.968	174.8968
60.000000	95.988	174.6860
60.799999	95.958	174.4241
61.500000	95.899	174.2348
62.200001	95.852	174.0497
63.000000	95.826	173.7076
64.000000	95.792	173.2715
65.000000	95.763	173.0009
66.000000	95.742	172.6704
67.000000	95.715	172.3801
68.000000	95.682	172.1246
69.000000	95.638	171.8816
70.000000	95.621	171.6043
71.000000	95.616	171.2816
72.000000	95.596	171.0145
73.000000	95.547	170.7898
74.000000	95.507	170.6044
75.000000	95.483	170.2398
76.199997	95.430	169.9517
77.500000	95.404	169.7755
78.800003	95.354	169.4176
80.000000	95.325	169.1418
81.199997	95.288	168.7646
82.500000	95.236	168.6641
83.800003	95.203	168.4406
85.000000	95.161	168.2099
86.199997	95.133	168.0003
87.500000	95.089	167.6958
88.500000	95.059	167.5364
90.000000	95.004	167.3100
91.199997	94.969	167.1406
92.500000	94.928	166.8896
93.800003	94.895	166.7243
95.000000	94.852	166.5565
96.199997	94.809	166.3596
97.500000	94.765	166.1903
98.800003	94.735	166.0196
100.000000	94.697	165.8919
101.500000	94.650	165.6844
103.000000	94.603	165.5480
104.400002	94.566	165.3706
106.000000	94.512	165.1917
107.500000	94.478	164.9962
109.000000	94.425	164.8952
110.599998	94.382	164.7036
112.000000	94.333	164.5436
113.800003	94.280	164.4117
115.000000	94.251	164.3282
117.199997	94.178	164.1234
118.000000	94.157	164.0601
120.599998	94.100	163.9171
122.000000	94.034	163.7987
124.099998	93.974	163.6222
125.000000	93.944	163.6088
126.500000	93.906	163.4988
128.000000	93.857	163.4102
131.500000	93.751	163.2626
132.000000	93.736	163.2470
134.000000	93.676	163.1247
136.000000	93.622	163.0754
138.000000	93.561	163.0423
140.000000	93.501	163.0025
143.000000	93.426	162.9841
145.000000	93.369	162.9915
147.500000	93.303	162.9656
150.000000	93.248	163.0125
152.500000	93.164	163.0125
155.000000	93.111	162.9922
157.500000	93.039	163.0198
160.000000	92.979	163.0634
162.500000	92.911	163.0980
165.000000	92.841	163.2467
167.500000	92.769	163.3798
170.000000	92.715	163.6470
172.500000	92.663	163.9644
175.000000	92.655	164.2429
177.500000	92.644	164.3809
180.000000	92.704	164.8450
182.500000	92.635	164.3750
185.000000	92.612	164.2582
187.500000	92.569	164.0928
190.000000	92.528	164.0299
192.500000	92.471	163.9496
195.000000	92.427	163.9076
197.500000	92.380	163.8835
200.000000	92.325	163.9459
203.000000	92.264	163.9615
206.000000	92.210	164.0069
209.000000	92.151	164.0623
212.000000	92.093	164.1554
214.000000	92.050	164.2190
218.000000	91.987	164.3193
220.000000	91.953	164.4365
