* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 16, 2025 9:01:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: reference L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.039	-174.0218
20.600000	102.035	-174.4471
20.900000	102.024	-174.8088
21.200001	102.012	-175.1536
21.400000	102.004	-175.3812
21.799999	101.991	-175.8483
22.000000	101.985	-176.0934
22.400000	101.970	-176.6086
22.700001	101.956	-177.0098
23.000000	101.938	-177.4108
23.299999	101.918	-177.7991
23.600000	101.898	-178.1656
24.000000	101.875	-178.6180
24.299999	101.863	-178.9387
24.700001	101.853	-179.3589
25.000000	101.849	-179.6756
25.400000	101.841	179.9039
25.799999	101.830	179.5018
26.200001	101.816	179.1296
26.500000	101.804	178.8652
26.900000	101.788	178.5111
27.200001	101.777	178.2311
27.600000	101.760	177.8356
28.000000	101.740	177.4337
28.500000	101.713	176.9701
29.000000	101.690	176.5707
29.500000	101.674	176.1958
30.000000	101.661	175.7890
30.400000	101.645	175.4350
30.700001	101.630	175.1651
31.100000	101.606	174.8167
31.500000	101.581	174.4901
32.000000	101.553	174.1047
32.500000	101.529	173.7318
33.000000	101.504	173.3744
33.500000	101.478	173.0402
34.000000	101.453	172.7188
34.500000	101.431	172.3889
35.000000	101.410	172.0436
35.500000	101.390	171.6964
36.000000	101.371	171.3621
36.500000	101.350	171.0439
37.000000	101.325	170.7406
37.500000	101.295	170.4547
38.200001	101.250	170.0758
38.700001	101.222	169.7981
39.500000	101.182	169.3226
40.000000	101.158	169.0320
40.599998	101.128	168.7127
41.200001	101.098	168.4062
41.799999	101.065	168.0914
42.500000	101.024	167.7251
43.099998	100.992	167.4221
43.700001	100.963	167.1165
44.400002	100.927	166.7590
45.000000	100.893	166.4766
45.500000	100.866	166.2601
46.200001	100.830	165.9570
46.799999	100.800	165.6788
47.500000	100.761	165.3503
48.200001	100.719	165.0517
48.700001	100.690	164.8597
49.400002	100.656	164.5901
50.000000	100.626	164.3419
50.799999	100.582	164.0274
51.500000	100.544	163.7830
52.200001	100.507	163.5126
53.000000	100.458	163.1881
53.799999	100.413	162.9082
54.500000	100.377	162.6586
55.200001	100.336	162.4394
56.000000	100.294	162.2639
57.000000	100.246	161.8996
58.000000	100.172	161.5719
59.000000	100.139	161.2662
60.000000	100.084	160.7595
60.799999	100.020	160.6761
61.500000	99.993	160.6779
62.200001	99.967	160.5040
63.000000	99.918	160.2288
64.000000	99.861	159.9180
65.000000	99.806	159.6266
66.000000	99.752	159.4188
67.000000	99.698	159.1732
68.000000	99.642	158.9601
69.000000	99.594	158.7565
70.000000	99.538	158.5488
71.000000	99.480	158.3657
72.000000	99.429	158.1653
73.000000	99.378	157.9752
74.000000	99.329	157.8107
75.000000	99.279	157.6208
76.199997	99.212	157.4035
77.500000	99.146	157.2153
78.800003	99.081	157.0136
80.000000	99.019	156.8353
81.199997	98.954	156.6642
82.500000	98.898	156.5216
83.800003	98.833	156.3297
85.000000	98.775	156.2043
86.199997	98.714	156.0578
87.500000	98.653	155.9136
88.500000	98.602	155.7952
90.000000	98.533	155.6854
91.199997	98.475	155.5770
92.500000	98.412	155.4780
93.800003	98.351	155.3563
95.000000	98.290	155.2668
96.199997	98.244	155.1954
97.500000	98.187	155.1092
98.800003	98.126	155.0629
100.000000	98.066	154.9739
101.500000	98.007	154.8802
103.000000	97.940	154.8380
104.400002	97.881	154.7696
106.000000	97.810	154.6998
107.500000	97.745	154.6513
109.000000	97.686	154.6053
110.599998	97.616	154.5930
112.000000	97.555	154.5652
113.800003	97.479	154.4894
115.000000	97.437	154.4456
117.199997	97.346	154.4931
118.000000	97.301	154.4357
120.599998	97.266	154.2012
122.000000	97.164	154.6335
124.099998	97.081	154.5142
125.000000	97.054	154.5565
126.500000	96.992	154.5760
128.000000	96.939	154.5547
131.500000	96.815	154.6585
132.000000	96.798	154.6648
134.000000	96.725	154.7559
136.000000	96.651	154.8103
138.000000	96.590	154.8820
140.000000	96.517	154.9793
143.000000	96.431	155.1326
145.000000	96.362	155.2544
147.500000	96.289	155.3524
150.000000	96.210	155.4708
152.500000	96.140	155.5921
155.000000	96.067	155.7019
157.500000	95.997	155.8654
160.000000	95.930	156.0005
162.500000	95.859	156.1131
165.000000	95.796	156.2724
167.500000	95.734	156.4465
170.000000	95.659	156.6372
172.500000	95.594	156.6907
175.000000	95.538	156.9631
177.500000	95.459	157.2557
180.000000	95.335	156.4337
182.500000	95.374	157.5172
185.000000	95.306	157.6785
187.500000	95.244	157.9610
190.000000	95.193	158.1768
192.500000	95.139	158.3544
195.000000	95.091	158.5737
197.500000	95.042	158.7820
200.000000	94.994	159.0226
203.000000	94.942	159.2512
206.000000	94.895	159.4699
209.000000	94.843	159.7459
212.000000	94.792	159.9582
214.000000	94.756	160.1313
218.000000	94.691	160.4306
220.000000	94.660	160.5920
224.000000	94.595	160.9077
227.000000	94.544	161.1276
230.000000	94.494	161.4179
233.000000	94.446	161.6588
236.000000	94.403	161.9105
240.000000	94.280	161.6729
243.000000	94.264	162.6562
247.000000	94.203	163.1178
250.000000	94.157	163.5679
254.000000	94.101	164.2791
258.000000	94.101	165.0325
262.000000	94.149	165.4929
265.000000	94.171	165.5418
269.000000	94.158	165.5281
272.000000	94.128	165.5713
276.000000	94.078	165.7228
280.000000	94.034	165.9180
285.000000	93.977	166.2736
290.000000	93.920	166.6131
295.000000	93.873	166.9980
300.000000	93.838	167.4236
304.000000	93.790	167.7086
307.000000	93.768	167.9483
311.000000	93.731	168.2646
315.000000	93.704	168.6051
320.000000	93.667	169.0006
325.000000	93.628	169.4119
330.000000	93.597	169.8112
335.000000	93.568	170.2131
340.000000	93.542	170.6528
345.000000	93.515	171.0181
350.000000	93.490	171.3933
355.000000	93.467	171.8064
360.000000	93.451	172.1552
365.000000	93.427	172.5236
370.000000	93.411	172.9136
375.000000	93.390	173.2538
382.000000	93.363	173.7890
387.000000	93.353	174.1346
395.000000	93.331	174.7068
400.000000	93.317	175.0245
406.000000	93.303	175.4259
412.000000	93.283	175.8279
418.000000	93.274	176.2334
425.000000	93.250	176.6509
431.000000	93.244	177.0190
437.000000	93.228	177.4104
444.000000	93.218	177.8469
450.000000	93.208	178.1838
455.000000	93.201	178.5050
462.000000	93.189	178.9433
468.000000	93.178	179.2805
475.000000	93.167	179.6655
482.000000	93.157	-179.8250
487.000000	93.157	-179.6195
494.000000	93.147	-179.2084
500.000000	93.143	-178.8695
508.000000	93.134	-178.4048
515.000000	93.130	-178.0413
522.000000	93.126	-177.6797
530.000000	93.120	-177.2480
538.000000	93.112	-176.8223
545.000000	93.116	-176.4506
552.000000	93.111	-176.1007
560.000000	93.105	-175.6824
570.000000	93.105	-175.1888
580.000000	93.098	-174.6865
590.000000	93.102	-174.2162
600.000000	93.125	-173.8436
608.000000	93.095	-173.3370
615.000000	93.092	-173.0063
622.000000	93.095	-172.6909
630.000000	93.092	-172.3189
640.000000	93.090	-171.8592
650.000000	93.091	-171.3941
660.000000	93.082	-170.9910
670.000000	93.087	-170.4756
680.000000	93.089	-170.0548
690.000000	93.088	-169.5851
700.000000	93.084	-169.1427
710.000000	93.088	-168.7181
720.000000	93.093	-168.1811
730.000000	93.088	-167.8410
740.000000	93.087	-167.4123
750.000000	93.086	-166.9759
762.000000	93.083	-166.4517
775.000000	93.079	-165.8710
788.000000	93.070	-165.2933
800.000000	93.064	-164.7122
812.000000	93.061	-164.1348
825.000000	93.056	-163.4825
838.000000	93.064	-162.8065
850.000000	93.066	-162.2157
862.000000	93.072	-161.5841
875.000000	93.086	-160.9100
885.000000	93.098	-160.3977
900.000000	93.105	-159.5041
912.000000	93.130	-159.0545
925.000000	93.150	-158.4239
938.000000	93.169	-157.7591
950.000000	93.188	-157.1962
962.000000	93.215	-156.5969
975.000000	93.236	-155.9833
988.000000	93.264	-155.3717
1000.000000	93.283	-154.8099
1015.000000	93.316	-154.1003
1030.000000	93.346	-153.4062
1044.000000	93.370	-152.7720
1060.000000	93.402	-152.0459
1075.000000	93.437	-151.3598
1090.000000	93.470	-150.6602
1106.000000	93.504	-149.9221
1120.000000	93.532	-149.2412
1138.000000	93.574	-148.3886
1150.000000	93.606	-147.7794
1172.000000	93.661	-146.7042
1180.000000	93.686	-146.3249
1206.000000	93.754	-145.0780
1220.000000	93.807	-144.4233
1241.000000	93.887	-143.3791
1250.000000	93.924	-142.9240
1265.000000	93.992	-142.2378
1280.000000	94.065	-141.4872
1315.000000	94.256	-139.8682
1320.000000	94.281	-139.6501
1340.000000	94.412	-138.7902
1360.000000	94.545	-137.9942
1380.000000	94.690	-137.2936
1400.000000	94.827	-136.5883
1430.000000	95.047	-135.6956
1450.000000	95.197	-135.2114
1475.000000	95.383	-134.6665
1500.000000	95.560	-134.2595
1525.000000	95.746	-133.8254
1550.000000	95.924	-133.5266
1575.000000	96.093	-133.2726
1600.000000	96.261	-133.0705
1625.000000	96.417	-132.9079
1650.000000	96.569	-132.7982
1675.000000	96.718	-132.7003
1700.000000	96.857	-132.6173
1725.000000	96.997	-132.5468
1750.000000	97.134	-132.4865
1775.000000	97.263	-132.4261
1800.000000	97.395	-132.3722
1825.000000	97.529	-132.3016
1850.000000	97.668	-132.2515
1875.000000	97.808	-132.2464
1900.000000	97.949	-132.3104
1925.000000	98.089	-132.4045
