* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 16, 2025 8:57:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: reference R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.891	-175.9379
20.600000	101.882	-176.3492
20.900000	101.868	-176.7176
21.200001	101.854	-177.0894
21.400000	101.845	-177.3419
21.799999	101.827	-177.8512
22.000000	101.818	-178.1033
22.400000	101.800	-178.5931
22.700001	101.786	-178.9441
23.000000	101.773	-179.2836
23.299999	101.760	-179.6168
23.600000	101.747	-179.9482
24.000000	101.728	179.6102
24.299999	101.714	179.2818
24.700001	101.694	178.8526
25.000000	101.679	178.5393
25.400000	101.662	178.1329
25.799999	101.644	177.7380
26.200001	101.627	177.3554
26.500000	101.613	177.0776
26.900000	101.594	176.7185
27.200001	101.579	176.4548
27.600000	101.560	176.1039
28.000000	101.540	175.7490
28.500000	101.513	175.3018
29.000000	101.485	174.8649
29.500000	101.456	174.4509
30.000000	101.428	174.0603
30.400000	101.406	173.7587
30.700001	101.390	173.5355
31.100000	101.369	173.2391
31.500000	101.349	172.9431
32.000000	101.324	172.5748
32.500000	101.298	172.2137
33.000000	101.272	171.8661
33.500000	101.244	171.5332
34.000000	101.217	171.2076
34.500000	101.188	170.8805
35.000000	101.159	170.5503
35.500000	101.130	170.2225
36.000000	101.101	169.9035
36.500000	101.074	169.5950
37.000000	101.047	169.2948
37.500000	101.020	169.0009
38.200001	100.979	168.6006
38.700001	100.949	168.3239
39.500000	100.900	167.8942
40.000000	100.870	167.6313
40.599998	100.836	167.3198
41.200001	100.802	167.0120
41.799999	100.767	166.7077
42.500000	100.726	166.3627
43.099998	100.690	166.0824
43.700001	100.655	165.8110
44.400002	100.614	165.4908
45.000000	100.577	165.2198
45.500000	100.546	165.0081
46.200001	100.505	164.7264
46.799999	100.472	164.4779
47.500000	100.432	164.1870
48.200001	100.390	163.9169
48.700001	100.361	163.7250
49.400002	100.319	163.4432
50.000000	100.282	163.2161
50.799999	100.236	162.9478
51.500000	100.196	162.6995
52.200001	100.145	162.4632
53.000000	100.086	162.2669
53.799999	100.046	162.0181
54.500000	100.012	161.6996
55.200001	99.969	161.4342
56.000000	99.923	161.2681
57.000000	99.870	160.9908
58.000000	99.800	160.6522
59.000000	99.763	160.3310
60.000000	99.719	159.9241
60.799999	99.653	159.8144
61.500000	99.606	159.8124
62.200001	99.569	159.6734
63.000000	99.517	159.4193
64.000000	99.457	159.2268
65.000000	99.409	159.0290
66.000000	99.349	158.8178
67.000000	99.293	158.6223
68.000000	99.238	158.4258
69.000000	99.182	158.2525
70.000000	99.127	158.0817
71.000000	99.074	157.9085
72.000000	99.019	157.7471
73.000000	98.963	157.6026
74.000000	98.909	157.4448
75.000000	98.854	157.3047
76.199997	98.792	157.1439
77.500000	98.719	156.9847
78.800003	98.655	156.8425
80.000000	98.590	156.6835
81.199997	98.528	156.5698
82.500000	98.461	156.4400
83.800003	98.398	156.3169
85.000000	98.337	156.2090
86.199997	98.278	156.1188
87.500000	98.215	156.0308
88.500000	98.165	155.9531
90.000000	98.091	155.8698
91.199997	98.035	155.7785
92.500000	97.970	155.7399
93.800003	97.910	155.6559
95.000000	97.853	155.5858
96.199997	97.799	155.5358
97.500000	97.740	155.5183
98.800003	97.684	155.4589
100.000000	97.625	155.4184
101.500000	97.558	155.3922
103.000000	97.493	155.3673
104.400002	97.431	155.3783
106.000000	97.362	155.3051
107.500000	97.298	155.3445
109.000000	97.236	155.3535
110.599998	97.172	155.3394
112.000000	97.114	155.3707
113.800003	97.038	155.3641
115.000000	96.999	155.4186
117.199997	96.908	155.4517
118.000000	96.882	155.3248
120.599998	96.840	155.7969
122.000000	96.704	155.6243
124.099998	96.647	155.6208
125.000000	96.614	155.7254
126.500000	96.559	155.7170
128.000000	96.510	155.8078
131.500000	96.387	155.9640
132.000000	96.369	155.9879
134.000000	96.299	156.0922
136.000000	96.233	156.1704
138.000000	96.173	156.3063
140.000000	96.103	156.4170
143.000000	96.013	156.6082
145.000000	95.953	156.7484
