* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 13, 2025 7:04:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.623	4.8623
20.600000	101.597	4.2512
20.900000	101.564	3.7115
21.200001	101.531	3.1894
21.400000	101.512	2.8477
21.799999	101.483	2.1751
22.000000	101.473	1.8440
22.400000	101.459	1.1932
22.700001	101.452	0.7142
23.000000	101.446	0.2403
23.299999	101.438	-0.2306
23.600000	101.425	-0.6968
24.000000	101.399	-1.2989
24.299999	101.374	-1.7247
24.700001	101.336	-2.2515
25.000000	101.308	-2.6264
25.400000	101.275	-3.1291
25.799999	101.244	-3.6685
26.200001	101.211	-4.2494
26.500000	101.182	-4.6929
26.900000	101.139	-5.2549
27.200001	101.106	-5.6346
27.600000	101.066	-6.0839
28.000000	101.036	-6.4940
28.500000	101.008	-7.0055
29.000000	100.979	-7.5369
29.500000	100.941	-8.0575
30.000000	100.896	-8.5356
30.400000	100.859	-8.8956
30.700001	100.832	-9.1678
31.100000	100.799	-9.5504
31.500000	100.768	-9.9608
32.000000	100.729	-10.4926
32.500000	100.688	-11.0032
33.000000	100.647	-11.4581
33.500000	100.607	-11.8568
34.000000	100.565	-12.2271
34.500000	100.520	-12.5943
35.000000	100.471	-12.9656
35.500000	100.421	-13.3395
36.000000	100.375	-13.7195
36.500000	100.331	-14.1054
37.000000	100.290	-14.4776
37.500000	100.249	-14.8136
38.200001	100.195	-15.2519
38.700001	100.154	-15.5950
39.500000	100.071	-16.1826
40.000000	100.013	-16.4992
40.599998	99.954	-16.8135
41.200001	99.907	-17.1222
41.799999	99.860	-17.4476
42.500000	99.799	-17.8179
43.099998	99.747	-18.1510
43.700001	99.693	-18.5177
44.400002	99.632	-18.9073
45.000000	99.585	-19.1701
45.500000	99.546	-19.3728
46.200001	99.479	-19.6600
46.799999	99.408	-19.8824
47.500000	99.336	-20.1238
48.200001	99.294	-20.4255
48.700001	99.274	-20.6968
49.400002	99.229	-21.0776
50.000000	99.163	-21.2687
50.799999	99.072	-21.3113
51.500000	99.027	-21.5276
52.200001	98.972	-22.0340
53.000000	98.876	-22.3496
53.799999	98.816	-22.2748
54.500000	98.780	-22.3977
55.200001	98.724	-22.6437
56.000000	98.680	-22.8625
57.000000	98.628	-23.2690
58.000000	98.509	-23.2690
59.000000	98.445	-23.4015
60.000000	98.360	-24.1111
60.799999	98.273	-24.3165
61.500000	98.222	-24.2429
62.200001	98.190	-24.2687
63.000000	98.141	-24.5647
64.000000	98.051	-24.7481
65.000000	98.022	-24.6566
66.000000	97.962	-24.9808
67.000000	97.859	-25.1397
68.000000	97.795	-25.3863
69.000000	97.694	-25.5051
70.000000	97.625	-25.4531
71.000000	97.560	-25.6925
72.000000	97.490	-25.8277
73.000000	97.434	-25.8625
74.000000	97.384	-25.9113
75.000000	97.311	-26.0229
76.199997	97.227	-25.9788
77.500000	97.140	-26.1618
78.800003	97.072	-26.1461
80.000000	97.008	-26.2899
81.199997	96.927	-26.2593
82.500000	96.848	-26.2790
83.800003	96.779	-26.3062
85.000000	96.704	-26.3524
86.199997	96.631	-26.3535
87.500000	96.557	-26.3659
88.500000	96.506	-26.3458
90.000000	96.424	-26.3237
91.199997	96.352	-26.3537
92.500000	96.283	-26.2787
93.800003	96.219	-26.2248
95.000000	96.155	-26.2339
96.199997	96.091	-26.2155
97.500000	96.051	-26.0596
98.800003	95.988	-26.1273
100.000000	95.911	-26.0561
101.500000	95.842	-25.9931
103.000000	95.766	-25.9101
104.400002	95.705	-25.8424
106.000000	95.632	-25.7109
107.500000	95.564	-25.6991
109.000000	95.506	-25.6027
110.599998	95.412	-25.3999
112.000000	95.386	-25.3343
113.800003	95.285	-25.1635
115.000000	95.254	-25.1508
117.199997	95.156	-24.9479
118.000000	95.120	-24.9180
120.599998	95.055	-24.8143
122.000000	94.958	-24.4288
124.099998	94.881	-24.3298
125.000000	94.848	-24.2091
126.500000	94.797	-24.0270
128.000000	94.750	-23.8915
131.500000	94.613	-23.4805
132.000000	94.598	-23.4120
134.000000	94.533	-23.2945
136.000000	94.466	-23.0013
138.000000	94.393	-22.7119
140.000000	94.316	-22.4302
143.000000	94.212	-21.8831
145.000000	94.156	-21.5094
147.500000	94.095	-21.0399
150.000000	94.071	-20.4788
152.500000	94.054	-20.1792
155.000000	94.033	-19.9219
157.500000	93.986	-19.7367
160.000000	93.938	-19.4550
162.500000	93.889	-19.3382
165.000000	93.837	-18.9768
167.500000	93.787	-18.6952
170.000000	93.757	-18.3992
172.500000	93.720	-18.0442
175.000000	93.697	-17.8437
177.500000	93.665	-17.6405
180.000000	93.618	-17.4317
182.500000	93.593	-17.3498
185.000000	93.544	-17.1635
187.500000	93.511	-16.9793
190.000000	93.459	-16.6738
192.500000	93.417	-16.4994
195.000000	93.372	-16.2254
197.500000	93.330	-15.9784
200.000000	93.293	-15.6886
203.000000	93.247	-15.3716
206.000000	93.205	-15.0557
209.000000	93.168	-14.7035
212.000000	93.128	-14.3121
214.000000	93.106	-14.1716
218.000000	93.073	-13.6899
220.000000	93.053	-13.4961
224.000000	93.019	-13.0661
227.000000	92.984	-12.8467
230.000000	92.953	-12.5171
233.000000	92.919	-12.2313
