* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 13, 2025 7:07:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.635	3.4800
20.600000	101.615	2.9348
20.900000	101.592	2.4520
21.200001	101.570	1.9595
21.400000	101.557	1.6142
21.799999	101.533	0.8802
22.000000	101.520	0.5001
22.400000	101.490	-0.2496
22.700001	101.465	-0.7644
23.000000	101.441	-1.2193
23.299999	101.419	-1.6165
23.600000	101.401	-1.9764
24.000000	101.384	-2.4508
24.299999	101.370	-2.8323
24.700001	101.345	-3.3861
25.000000	101.319	-3.8182
25.400000	101.273	-4.3806
25.799999	101.223	-4.8987
26.200001	101.177	-5.3760
26.500000	101.147	-5.7242
26.900000	101.114	-6.1965
27.200001	101.090	-6.5596
27.600000	101.057	-7.0368
28.000000	101.022	-7.4770
28.500000	100.981	-7.9503
29.000000	100.950	-8.3827
29.500000	100.928	-8.8631
30.000000	100.898	-9.4301
30.400000	100.861	-9.9013
30.700001	100.826	-10.2233
31.100000	100.776	-10.5779
31.500000	100.734	-10.8603
32.000000	100.698	-11.2078
32.500000	100.671	-11.6461
33.000000	100.633	-12.1489
33.500000	100.582	-12.5989
34.000000	100.532	-12.9455
34.500000	100.495	-13.2730
35.000000	100.462	-13.6817
35.500000	100.415	-14.1442
36.000000	100.356	-14.5418
36.500000	100.300	-14.8268
37.000000	100.260	-15.0837
37.500000	100.228	-15.4062
38.200001	100.168	-15.9225
38.700001	100.117	-16.2447
39.500000	100.039	-16.7017
40.000000	99.992	-17.0007
40.599998	99.934	-17.3283
41.200001	99.884	-17.6041
41.799999	99.844	-17.9065
42.500000	99.791	-18.3187
43.099998	99.733	-18.6278
43.700001	99.678	-18.8884
44.400002	99.617	-19.2439
45.000000	99.558	-19.5868
45.500000	99.506	-19.8414
46.200001	99.444	-20.1294
46.799999	99.403	-20.3409
47.500000	99.366	-20.5737
48.200001	99.330	-20.8609
48.700001	99.292	-21.1249
49.400002	99.216	-21.4654
50.000000	99.151	-21.6327
50.799999	99.104	-21.8393
51.500000	99.072	-22.2110
52.200001	99.003	-22.5828
53.000000	98.906	-22.6916
53.799999	98.851	-22.7283
54.500000	98.817	-22.9967
55.200001	98.761	-23.3323
56.000000	98.686	-23.5810
57.000000	98.592	-23.8462
58.000000	98.508	-23.9795
59.000000	98.473	-24.1243
60.000000	98.395	-24.4358
60.799999	98.302	-24.4599
61.500000	98.255	-24.4910
62.200001	98.223	-24.7586
63.000000	98.166	-25.1126
64.000000	98.087	-25.2175
65.000000	98.026	-25.3274
66.000000	97.947	-25.5368
67.000000	97.879	-25.6647
68.000000	97.816	-25.8459
69.000000	97.738	-25.9647
70.000000	97.671	-26.0185
71.000000	97.612	-26.1501
72.000000	97.548	-26.3194
73.000000	97.486	-26.4885
74.000000	97.416	-26.5714
75.000000	97.350	-26.5300
76.199997	97.280	-26.6461
77.500000	97.185	-26.8752
78.800003	97.079	-26.8985
80.000000	97.011	-26.9096
81.199997	96.955	-27.0471
82.500000	96.883	-27.1541
83.800003	96.793	-27.1324
85.000000	96.729	-27.1731
86.199997	96.664	-27.1924
87.500000	96.594	-27.2702
88.500000	96.530	-27.2766
90.000000	96.450	-27.2808
91.199997	96.380	-27.2784
92.500000	96.307	-27.3093
93.800003	96.240	-27.2746
95.000000	96.175	-27.2560
96.199997	96.108	-27.1915
97.500000	96.048	-27.2005
98.800003	95.976	-27.1656
100.000000	95.916	-27.0895
101.500000	95.842	-27.1194
103.000000	95.767	-26.9624
104.400002	95.700	-26.9283
106.000000	95.624	-27.0162
107.500000	95.550	-26.7699
109.000000	95.477	-26.7814
110.599998	95.403	-26.5760
112.000000	95.335	-26.5477
113.800003	95.268	-26.2703
115.000000	95.206	-26.2199
117.199997	95.126	-26.0947
118.000000	95.083	-25.9084
120.599998	94.942	-25.9946
122.000000	94.958	-25.6128
124.099998	94.866	-25.4277
125.000000	94.831	-25.4529
126.500000	94.775	-25.1610
128.000000	94.712	-25.1080
131.500000	94.576	-24.8023
132.000000	94.555	-24.7609
134.000000	94.482	-24.5299
136.000000	94.409	-24.2901
138.000000	94.339	-23.9726
140.000000	94.264	-23.7223
143.000000	94.167	-23.3252
145.000000	94.112	-23.0352
147.500000	94.044	-22.6014
150.000000	93.988	-22.2237
152.500000	93.941	-21.8592
155.000000	93.908	-21.5341
157.500000	93.853	-21.2258
160.000000	93.816	-20.8590
162.500000	93.744	-20.6879
165.000000	93.697	-20.4872
167.500000	93.651	-20.1470
170.000000	93.599	-19.8017
172.500000	93.561	-19.5405
175.000000	93.526	-19.2721
177.500000	93.483	-19.0359
180.000000	93.435	-18.8337
182.500000	93.404	-18.5998
