* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 14, 2024 6:01:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: standard L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.325	-163.2147
20.600000	100.324	-163.8048
20.900000	100.320	-164.3564
21.200001	100.315	-164.9277
21.400000	100.312	-165.3159
21.799999	100.306	-166.0845
22.000000	100.306	-166.4543
22.400000	100.311	-167.1515
22.700001	100.318	-167.6341
23.000000	100.327	-168.0847
23.299999	100.332	-168.5050
23.600000	100.330	-168.8937
24.000000	100.314	-169.3571
24.299999	100.293	-169.6642
24.700001	100.259	-170.0346
25.000000	100.235	-170.3052
25.400000	100.211	-170.6920
25.799999	100.198	-171.1388
26.200001	100.193	-171.6457
26.500000	100.190	-172.0455
26.900000	100.182	-172.5616
27.200001	100.172	-172.9087
27.600000	100.152	-173.2970
28.000000	100.128	-173.6094
28.500000	100.098	-173.9557
29.000000	100.070	-174.3441
29.500000	100.041	-174.8159
30.000000	100.011	-175.3354
30.400000	99.985	-175.7369
30.700001	99.966	-176.0078
31.100000	99.942	-176.3169
31.500000	99.922	-176.5735
32.000000	99.901	-176.8589
32.500000	99.884	-177.1581
33.000000	99.869	-177.5061
33.500000	99.853	-177.8962
34.000000	99.836	-178.2926
34.500000	99.819	-178.6610
35.000000	99.802	-178.9828
35.500000	99.786	-179.2543
36.000000	99.772	-179.4889
36.500000	99.760	-179.7166
37.000000	99.750	-179.9653
37.500000	99.736	179.7684
38.200001	99.708	179.4325
38.700001	99.688	179.2350
39.500000	99.665	178.8838
40.000000	99.650	178.6039
40.599998	99.632	178.2736
41.200001	99.624	178.0179
41.799999	99.630	177.8124
42.500000	99.636	177.5790
43.099998	99.625	177.4117
43.700001	99.604	177.2758
44.400002	99.577	177.0437
45.000000	99.545	176.7619
45.500000	99.514	176.5504
46.200001	99.484	176.3557
46.799999	99.478	176.1921
47.500000	99.479	175.9200
48.200001	99.473	175.6835
48.700001	99.474	175.5803
49.400002	99.486	175.4280
50.000000	99.489	175.2564
50.799999	99.474	175.1171
51.500000	99.468	175.0905
52.200001	99.473	174.9680
53.000000	99.461	174.6744
53.799999	99.428	174.3859
54.500000	99.405	174.1318
55.200001	99.386	173.8406
56.000000	99.372	173.5841
57.000000	99.390	173.3412
58.000000	99.394	172.9116
59.000000	99.351	172.7138
60.000000	99.338	172.5466
60.799999	99.302	172.2506
61.500000	99.265	172.2684
62.200001	99.289	172.4269
63.000000	99.358	172.2199
64.000000	99.355	171.7593
65.000000	99.304	171.7724
66.000000	99.260	171.6371
67.000000	99.220	171.4022
68.000000	99.256	171.0903
69.000000	99.287	170.5166
70.000000	99.251	170.2278
71.000000	99.239	170.1722
72.000000	99.255	169.9542
73.000000	99.258	169.8484
74.000000	99.248	169.8456
75.000000	99.225	169.6447
76.199997	99.192	169.1929
77.500000	99.201	168.9572
78.800003	99.217	168.7318
80.000000	99.149	168.3900
81.199997	99.110	168.1665
82.500000	99.113	167.7336
83.800003	99.088	167.8162
85.000000	99.054	167.4325
86.199997	99.016	167.3585
87.500000	99.060	167.0975
88.500000	99.056	166.8433
90.000000	99.075	166.1642
91.199997	98.997	166.1318
92.500000	98.986	166.0841
93.800003	98.975	165.9505
95.000000	98.972	165.6432
96.199997	98.913	165.4153
97.500000	98.909	164.9827
98.800003	98.847	165.1151
100.000000	98.859	164.7218
101.500000	98.826	164.1820
103.000000	98.817	163.8610
104.400002	98.709	163.9666
106.000000	98.693	163.4615
107.500000	98.682	162.9946
109.000000	98.630	162.8356
110.599998	98.568	162.4775
112.000000	98.519	162.1525
113.800003	98.545	161.9095
115.000000	98.474	161.5537
117.199997	98.446	161.1574
118.000000	98.428	161.0506
120.599998	98.394	160.5351
122.000000	98.391	159.9980
124.099998	98.292	160.1488
125.000000	98.277	159.8927
126.500000	98.218	159.8116
128.000000	98.159	159.7255
131.500000	98.096	158.6251
132.000000	98.083	158.6385
134.000000	97.990	158.2996
136.000000	97.995	158.1979
138.000000	97.960	157.8477
140.000000	97.860	157.2662
143.000000	97.765	157.2424
145.000000	97.707	157.0783
147.500000	97.656	156.4888
150.000000	97.568	156.6406
152.500000	97.462	156.4632
155.000000	97.404	156.1827
157.500000	97.287	156.0682
160.000000	97.297	155.7565
162.500000	97.235	155.7454
165.000000	97.089	155.0302
167.500000	96.982	154.6370
170.000000	97.020	154.8704
172.500000	96.865	155.5415
175.000000	96.865	154.7744
177.500000	96.797	154.9575
180.000000	96.684	155.1060
182.500000	96.596	155.0455
185.000000	96.553	154.6127
187.500000	96.518	154.6430
190.000000	96.432	154.6682
192.500000	96.352	154.7304
195.000000	96.279	155.1044
197.500000	96.177	154.6456
200.000000	96.151	154.8028
203.000000	96.098	154.8965
206.000000	96.047	155.1409
209.000000	95.917	155.1720
212.000000	95.825	156.0350
214.000000	95.827	156.1861
218.000000	95.760	156.2219
220.000000	95.739	156.4174
224.000000	95.699	156.8327
227.000000	95.651	156.9438
230.000000	95.693	157.2740
233.000000	95.630	156.9878
236.000000	95.550	157.1019
240.000000	95.514	157.3929
243.000000	95.558	157.6295
247.000000	95.484	157.7878
250.000000	95.432	157.9644
254.000000	95.372	158.1421
258.000000	95.388	158.4684
262.000000	95.348	158.8950
265.000000	95.351	159.2220
269.000000	95.292	159.4324
272.000000	95.306	159.2407
276.000000	95.348	160.2064
280.000000	95.380	160.1704
285.000000	95.421	160.7990
290.000000	95.445	160.0370
295.000000	95.484	160.6722
300.000000	95.498	160.3560
304.000000	95.466	160.1761
307.000000	95.527	160.4231
311.000000	95.545	160.7222
315.000000	95.580	160.4586
320.000000	95.586	160.3077
325.000000	95.636	160.1396
330.000000	95.599	160.3642
335.000000	95.612	160.7905
340.000000	95.724	160.4097
345.000000	95.685	160.3027
350.000000	95.652	159.8811
355.000000	95.713	159.7184
360.000000	95.731	159.5440
365.000000	95.729	159.6207
370.000000	95.752	159.1321
375.000000	95.806	159.0499
382.000000	95.833	158.5901
387.000000	95.781	158.1550
395.000000	95.787	158.0530
400.000000	95.838	157.7372
406.000000	95.782	157.3736
412.000000	95.803	157.0829
418.000000	95.825	156.4300
425.000000	95.837	156.3088
431.000000	95.815	155.8389
437.000000	95.785	155.8292
444.000000	95.780	155.7953
450.000000	95.739	155.5826
455.000000	95.660	155.1897
462.000000	95.748	155.5851
468.000000	95.740	155.6088
475.000000	95.713	155.7975
482.000000	95.753	155.7426
487.000000	95.668	155.5070
494.000000	95.697	155.4871
500.000000	95.718	155.8170
508.000000	95.704	156.1859
