* Measurement data measured by REW V5.40 beta 125
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 29, 2026, 6:26:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: anc off R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.075	-164.5318
20.299999	105.074	-164.9803
20.600000	105.073	-165.4156
20.900000	105.071	-165.8356
21.200001	105.070	-166.2396
21.400000	105.069	-166.5012
21.799999	105.072	-167.0153
22.000000	105.074	-167.2729
22.400000	105.079	-167.7970
22.700001	105.082	-168.1983
23.000000	105.082	-168.5990
23.299999	105.080	-168.9883
23.600000	105.077	-169.3564
24.000000	105.072	-169.8099
24.299999	105.072	-170.1314
24.700001	105.074	-170.5576
25.000000	105.077	-170.8867
25.400000	105.078	-171.3373
25.799999	105.076	-171.7802
26.200001	105.071	-172.1933
26.500000	105.069	-172.4821
26.900000	105.068	-172.8562
27.200001	105.070	-173.1427
27.600000	105.072	-173.5430
28.000000	105.071	-173.9564
28.500000	105.066	-174.4622
29.000000	105.059	-174.9391
29.500000	105.053	-175.4001
30.000000	105.047	-175.8543
30.400000	105.043	-176.2043
30.700001	105.040	-176.4561
31.100000	105.040	-176.7856
31.500000	105.043	-177.1291
32.000000	105.046	-177.5986
32.500000	105.041	-178.0897
33.000000	105.029	-178.5413
33.500000	105.017	-178.9253
34.000000	105.011	-179.2776
34.500000	105.011	-179.6490
35.000000	105.009	179.9484
35.500000	105.001	179.5392
36.000000	104.990	179.1474
36.500000	104.977	178.7805
37.000000	104.964	178.4391
37.500000	104.955	178.1138
38.200001	104.950	177.6183
38.700001	104.945	177.1946
39.500000	104.915	176.4939
40.000000	104.888	176.1479
40.599998	104.869	175.8130
41.200001	104.866	175.4291
41.799999	104.860	174.9482
42.500000	104.835	174.4074
43.099998	104.814	174.0421
43.700001	104.803	173.6960
44.400002	104.793	173.2350
45.000000	104.776	172.8340
45.500000	104.759	172.5278
46.200001	104.736	172.1232
46.799999	104.716	171.7713
47.500000	104.688	171.3555
48.200001	104.657	170.9551
48.700001	104.636	170.6855
49.400002	104.613	170.3017
50.000000	104.596	169.9192
50.799999	104.563	169.3571
51.500000	104.528	168.9341
52.200001	104.505	168.5611
53.000000	104.487	168.0403
53.799999	104.450	167.4936
54.500000	104.410	167.1466
55.200001	104.380	166.8802
56.000000	104.353	166.5666
57.000000	104.323	166.1467
58.000000	104.283	165.6087
59.000000	104.210	165.1464
60.000000	104.160	164.8466
60.799999	104.135	164.4520
61.500000	104.100	164.0520
62.200001	104.063	163.6943
63.000000	104.024	163.2665
64.000000	103.962	162.8062
65.000000	103.927	162.5089
66.000000	103.900	161.9885
67.000000	103.835	161.5393
68.000000	103.783	161.2239
69.000000	103.722	160.8346
70.000000	103.658	160.5528
71.000000	103.603	160.1867
72.000000	103.535	159.8514
73.000000	103.485	159.5595
74.000000	103.433	159.1501
75.000000	103.371	158.8388
76.199997	103.313	158.4355
77.500000	103.223	158.0698
78.800003	103.176	157.7402
80.000000	103.089	157.1518
81.199997	102.993	156.9715
82.500000	102.930	156.6307
83.800003	102.846	156.3315
85.000000	102.786	156.1367
86.199997	102.733	155.8610
87.500000	102.654	155.4987
88.500000	102.589	155.2906
90.000000	102.488	154.9284
91.199997	102.402	154.7226
92.500000	102.322	154.4915
93.800003	102.237	154.3000
95.000000	102.169	154.1216
96.199997	102.088	153.9677
97.500000	102.018	153.8584
98.800003	101.942	153.6304
100.000000	101.865	153.4486
101.500000	101.768	153.2705
103.000000	101.672	153.1494
104.400002	101.590	153.1420
106.000000	101.507	153.0620
107.500000	101.416	152.9419
109.000000	101.321	152.8448
110.599998	101.214	152.8336
112.000000	101.146	152.8793
113.800003	101.055	152.7524
115.000000	100.978	152.7480
117.199997	100.851	152.7468
118.000000	100.810	152.6965
120.599998	100.633	152.9374
122.000000	100.572	152.8993
124.099998	100.468	153.0712
125.000000	100.422	153.1290
126.500000	100.345	153.2142
128.000000	100.261	153.3041
131.500000	100.072	153.4793
132.000000	100.042	153.5102
134.000000	99.940	153.7242
