* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 2, 2024 4:14:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	92.543045	147.3351
20.600000	92.460037	147.2583
20.900000	92.375183	147.1925
21.200001	92.292442	147.1146
21.400000	92.238892	147.0530
21.799999	92.134918	146.9167
22.000000	92.084106	146.8498
22.400000	91.984512	146.7364
22.700001	91.911880	146.6801
23.000000	91.841568	146.6470
23.299999	91.773796	146.6273
23.600000	91.708237	146.6070
24.000000	91.622704	146.5561
24.299999	91.558517	146.4920
24.700001	91.471252	146.3753
25.000000	91.404182	146.2766
25.400000	91.313141	146.1536
25.799999	91.221771	146.0669
26.200001	91.132072	146.0353
26.500000	91.067024	146.0501
26.900000	90.984482	146.1100
27.200001	90.926071	146.1712
27.600000	90.852364	146.2492
28.000000	90.781891	146.3007
28.500000	90.695061	146.3146
29.000000	90.606918	146.2940
29.500000	90.517502	146.2825
30.000000	90.429993	146.3232
30.400000	90.364601	146.4032
30.700001	90.320015	146.4822
31.100000	90.267395	146.5872
31.500000	90.220261	146.6551
32.000000	90.159210	146.6592
32.500000	90.084343	146.6215
33.000000	89.997322	146.6604
33.500000	89.916641	146.8279
34.000000	89.858627	147.0140
34.500000	89.814102	147.0586
35.000000	89.755142	146.9584
35.500000	89.670273	146.8962
36.000000	89.583443	147.0318
36.500000	89.527161	147.2935
37.000000	89.500748	147.4547
37.500000	89.470078	147.4230
38.200001	89.378571	147.3637
38.700001	89.301514	147.5153
39.500000	89.223747	147.8395
40.000000	89.189888	147.8782
40.599998	89.133514	147.8525
41.200001	89.067780	147.9389
41.799999	89.012573	148.1107
42.500000	88.955154	148.2318
43.099998	88.895042	148.2584
43.700001	88.828506	148.3044
44.400002	88.762726	148.4259
45.000000	88.722710	148.5468
45.500000	88.694153	148.6246
46.200001	88.646347	148.7050
46.799999	88.595947	148.7945
47.500000	88.539093	148.9220
48.200001	88.486809	149.0224
48.700001	88.448051	149.1021
49.400002	88.397804	149.2527
50.000000	88.360817	149.3302
50.799999	88.300201	149.3338
51.500000	88.246002	149.4680
52.200001	88.228378	149.7169
53.000000	88.223206	149.8123
53.799999	88.161507	149.8127
54.500000	88.082947	149.9384
55.200001	88.023315	150.0233
56.000000	87.969307	149.9673
57.000000	87.908813	150.0543
58.000000	87.869080	150.2493
59.000000	87.796181	150.2727
60.000000	87.714897	150.4429
60.799999	87.692215	150.6017
61.500000	87.679077	150.6325
62.200001	87.648651	150.6357
63.000000	87.598061	150.6667
64.000000	87.531479	150.7411
65.000000	87.477043	150.8739
66.000000	87.427788	151.0095
67.000000	87.381989	151.0562
68.000000	87.324448	151.0768
69.000000	87.275627	151.3681
70.000000	87.233795	151.4671
71.000000	87.152328	151.4223
72.000000	87.120003	151.3922
73.000000	87.089859	151.2848
74.000000	87.047043	151.5876
75.000000	87.030617	151.7291
76.199997	86.976204	151.7372
77.500000	86.929558	151.7853
78.800003	86.842308	151.8508
80.000000	86.800003	151.9363
81.199997	86.753746	152.0358
82.500000	86.703140	152.1335
83.800003	86.636520	152.1686
85.000000	86.593796	152.2126
86.199997	86.545998	152.3168
87.500000	86.495552	152.4045
88.500000	86.452850	152.4441
90.000000	86.396591	152.5696
91.199997	86.346733	152.6358
92.500000	86.284737	152.7243
93.800003	86.248528	152.8125
95.000000	86.194687	152.7276
96.199997	86.147202	152.8239
97.500000	86.119637	152.9749
98.800003	86.053978	153.1341
100.000000	85.995872	153.1912
101.500000	85.950684	153.2868
103.000000	85.893295	153.3991
104.400002	85.834671	153.4123
106.000000	85.773392	153.5757
107.500000	85.718689	153.7164
109.000000	85.657356	153.8350
110.599998	85.606812	153.9085
112.000000	85.549423	154.0067
113.800003	85.482918	154.0778
115.000000	85.431015	154.2082
117.199997	85.364998	154.4341
118.000000	85.339218	154.4980
120.599998	85.232697	154.7162
122.000000	85.186607	154.8857
124.099998	85.119385	155.0397
125.000000	85.087753	155.1155
126.500000	85.030670	155.3270
128.000000	84.962204	155.4154
131.500000	84.852531	155.9280
132.000000	84.839218	155.9589
134.000000	84.765167	156.1799
136.000000	84.703606	156.3315
138.000000	84.638191	156.5298
140.000000	84.579956	156.9846
143.000000	84.482841	157.3750
145.000000	84.408333	157.6107
147.500000	84.351257	157.9921
150.000000	84.254478	158.3392
152.500000	84.182182	158.6843
155.000000	84.126099	159.0905
157.500000	84.036888	159.5149
160.000000	83.991470	159.9042
162.500000	83.930328	160.4006
165.000000	83.769791	161.1586
167.500000	83.801170	161.2587
170.000000	83.750397	161.7099
172.500000	83.692184	162.2896
175.000000	83.647530	162.6144
177.500000	83.604141	163.1950
180.000000	83.573463	163.5397
182.500000	83.529106	164.0558
185.000000	83.490997	164.5764
187.500000	83.456589	165.0370
190.000000	83.424782	165.3805
192.500000	83.410843	165.9555
195.000000	83.379745	166.3649
197.500000	83.348999	166.8667
200.000000	83.340363	167.3158
203.000000	83.300827	167.8506
206.000000	83.290016	168.4738
209.000000	83.305229	168.8168
212.000000	83.252838	169.5334
214.000000	83.257904	169.7876
218.000000	83.256866	170.4198
220.000000	83.248825	170.6957
224.000000	83.259911	171.3047
227.000000	83.250038	171.7448
230.000000	83.247917	172.1217
233.000000	83.258972	172.5851
236.000000	83.257751	172.9231
240.000000	83.275940	173.4358
243.000000	83.265091	173.8315
247.000000	83.287163	174.2025
250.000000	83.293480	174.5670
254.000000	83.300690	174.9698
258.000000	83.320107	175.3392
262.000000	83.323402	175.7195
265.000000	83.324364	176.0413
269.000000	83.328224	176.4306
272.000000	83.341782	176.7851
