* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 2, 2024 4:13:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	92.146416	154.3038
20.600000	92.079330	154.1339
20.900000	92.008186	153.9619
21.200001	91.935593	153.7678
21.400000	91.886658	153.6306
21.799999	91.789047	153.3656
22.000000	91.741608	153.2500
22.400000	91.652512	153.0653
22.700001	91.592834	152.9648
23.000000	91.539131	152.8838
23.299999	91.489494	152.8098
23.600000	91.441063	152.7363
24.000000	91.374046	152.6428
24.299999	91.320724	152.5839
24.700001	91.246323	152.5248
25.000000	91.189415	152.4878
25.400000	91.113113	152.4306
25.799999	91.035934	152.3490
26.200001	90.957611	152.2450
26.500000	90.899017	152.1614
26.900000	90.823853	152.0534
27.200001	90.771385	151.9778
27.600000	90.707451	151.8824
28.000000	90.648849	151.7944
28.500000	90.578659	151.7078
29.000000	90.508125	151.6651
29.500000	90.436569	151.6604
30.000000	90.364075	151.6607
30.400000	90.305191	151.6462
30.700001	90.260780	151.6250
31.100000	90.202286	151.5879
31.500000	90.146317	151.5484
32.000000	90.081482	151.5049
32.500000	90.021454	151.4752
33.000000	89.963425	151.4669
33.500000	89.905533	151.4818
34.000000	89.847595	151.5080
34.500000	89.789848	151.5268
35.000000	89.732040	151.5286
35.500000	89.674301	151.5213
36.000000	89.618095	151.5204
36.500000	89.565170	151.5305
37.000000	89.515182	151.5429
37.500000	89.465416	151.5519
38.200001	89.393127	151.5804
38.700001	89.342720	151.6229
39.500000	89.270828	151.6736
40.000000	89.226845	151.6644
40.599998	89.168839	151.6499
41.200001	89.110275	151.6852
41.799999	89.059799	151.7499
42.500000	89.007767	151.7836
43.099998	88.959076	151.7808
43.700001	88.906364	151.7967
44.400002	88.847565	151.8400
45.000000	88.800659	151.8712
45.500000	88.762741	151.8889
46.200001	88.710640	151.9058
46.799999	88.665970	151.9195
47.500000	88.614822	151.9533
48.200001	88.568367	151.9893
48.700001	88.535835	151.9923
49.400002	88.485130	151.9880
50.000000	88.441483	152.0180
50.799999	88.393929	152.0600
51.500000	88.352257	152.0494
52.200001	88.303101	152.0769
53.000000	88.255081	152.1714
53.799999	88.213440	152.1821
54.500000	88.164368	152.1643
55.200001	88.112411	152.2250
56.000000	88.066689	152.3014
57.000000	88.012276	152.2749
58.000000	87.955200	152.2800
59.000000	87.907585	152.3389
60.000000	87.854530	152.3801
60.799999	87.804688	152.4048
61.500000	87.763550	152.4386
62.200001	87.730217	152.4646
63.000000	87.692314	152.4655
64.000000	87.635307	152.5147
65.000000	87.582581	152.5614
66.000000	87.525993	152.5667
67.000000	87.484093	152.6150
68.000000	87.444237	152.5821
69.000000	87.392662	152.6279
70.000000	87.339905	152.6797
71.000000	87.287918	152.7878
72.000000	87.256546	152.7067
73.000000	87.185715	152.6035
74.000000	87.144302	152.8065
75.000000	87.114807	152.7525
76.199997	87.043404	152.8096
77.500000	86.992294	152.7974
78.800003	86.938843	152.9023
80.000000	86.884888	152.8829
81.199997	86.825790	152.9847
82.500000	86.779465	152.9758
83.800003	86.718040	153.0374
85.000000	86.663971	153.0711
86.199997	86.618851	153.1078
87.500000	86.564598	153.0557
88.500000	86.516396	153.1615
90.000000	86.460556	153.2411
91.199997	86.406670	153.2820
92.500000	86.356041	153.2644
93.800003	86.299911	153.3412
95.000000	86.246826	153.3539
96.199997	86.205276	153.3790
97.500000	86.155380	153.4099
98.800003	86.101921	153.5585
100.000000	86.051384	153.5654
101.500000	85.982101	153.6372
103.000000	85.923035	153.7788
104.400002	85.878845	153.7588
106.000000	85.805183	153.8839
107.500000	85.749992	153.9336
109.000000	85.689354	154.0414
110.599998	85.629135	154.1845
112.000000	85.572777	154.1697
113.800003	85.495354	154.3315
115.000000	85.445671	154.4570
117.199997	85.377449	154.5449
118.000000	85.342621	154.5829
120.599998	85.247665	154.8768
122.000000	85.183601	154.9921
124.099998	85.108879	155.0834
125.000000	85.077881	155.1465
126.500000	85.008759	155.2890
128.000000	84.950584	155.5434
131.500000	84.843636	155.8501
132.000000	84.822502	155.9090
134.000000	84.742302	156.0965
136.000000	84.668282	156.3361
138.000000	84.599968	156.5198
140.000000	84.538902	156.8368
143.000000	84.425179	157.1292
145.000000	84.359138	157.4362
147.500000	84.284668	157.8384
150.000000	84.199478	158.1903
152.500000	84.135666	158.4825
155.000000	84.059875	158.9078
157.500000	83.984230	159.4250
160.000000	83.908936	159.5888
162.500000	83.832253	160.2179
165.000000	83.839539	159.8529
167.500000	83.736076	161.2209
170.000000	83.678024	161.4907
172.500000	83.620071	162.0128
175.000000	83.565201	162.5406
177.500000	83.510269	162.9899
180.000000	83.473152	163.2978
182.500000	83.445259	163.8583
185.000000	83.402870	164.3834
187.500000	83.367401	164.8028
190.000000	83.329102	165.2989
192.500000	83.299042	165.7952
195.000000	83.272301	166.2107
197.500000	83.242989	166.6667
200.000000	83.237480	167.1580
203.000000	83.208595	167.7581
206.000000	83.172409	168.2184
209.000000	83.152504	168.6896
212.000000	83.157570	169.2179
214.000000	83.144569	169.5701
218.000000	83.144226	170.2438
220.000000	83.130173	170.5563
224.000000	83.122215	171.1332
227.000000	83.121628	171.5631
230.000000	83.120895	171.9905
233.000000	83.124908	172.4474
236.000000	83.119904	172.8198
240.000000	83.115601	173.3307
243.000000	83.131714	173.6291
247.000000	83.133797	174.2089
250.000000	83.145363	174.5321
254.000000	83.161705	174.8179
258.000000	83.164062	175.3272
262.000000	83.178452	175.7295
265.000000	83.174919	176.0006
269.000000	83.185196	176.3897
272.000000	83.198029	176.6864
276.000000	83.203712	177.0461
280.000000	83.218285	177.3935
285.000000	83.240570	178.0143
290.000000	83.276489	178.4267
295.000000	83.327042	178.8460
300.000000	83.367508	179.0436
304.000000	83.388084	179.1490
307.000000	83.400742	179.2356
311.000000	83.395981	179.4357
315.000000	83.396225	179.5104
320.000000	83.413750	179.7125
325.000000	83.416000	-179.9987
330.000000	83.418121	-179.7168
335.000000	83.429276	-179.5452
340.000000	83.430115	-179.2821
345.000000	83.441963	-179.1143
350.000000	83.450401	-178.9334
355.000000	83.459068	-178.7163
360.000000	83.468536	-178.4958
365.000000	83.473442	-178.3502
370.000000	83.477188	-178.1598
375.000000	83.471664	-177.9547
382.000000	83.464211	-177.7435
387.000000	83.478569	-177.5647
395.000000	83.479225	-177.2827
400.000000	83.479279	-177.0479
406.000000	83.487411	-176.8268
412.000000	83.488831	-176.6038
418.000000	83.484230	-176.4727
425.000000	83.485710	-176.2170
431.000000	83.480049	-175.9479
437.000000	83.485298	-175.8038
444.000000	83.468742	-175.5468
450.000000	83.465256	-175.3335
455.000000	83.471939	-175.1967
462.000000	83.466789	-174.9584
468.000000	83.452103	-174.8491
475.000000	83.459991	-174.5030
482.000000	83.458084	-174.2953
487.000000	83.452835	-174.1487
494.000000	83.446228	-173.8800
500.000000	83.446434	-173.7045
508.000000	83.431900	-173.4028
515.000000	83.433243	-173.1692
522.000000	83.420685	-172.8928
530.000000	83.412346	-172.6152
538.000000	83.408051	-172.3610
545.000000	83.400467	-172.1384
552.000000	83.397736	-171.8591
560.000000	83.392120	-171.5971
570.000000	83.381897	-171.2374
580.000000	83.380898	-170.8677
590.000000	83.369339	-170.5944
600.000000	83.352112	-170.3084
608.000000	83.339531	-169.9901
615.000000	83.331192	-169.7299
622.000000	83.320892	-169.4868
630.000000	83.299164	-169.1356
640.000000	83.292854	-168.7447
650.000000	83.280434	-168.2379
660.000000	83.280190	-167.8855
670.000000	83.275002	-167.3910
680.000000	83.265732	-166.9973
690.000000	83.266281	-166.6348
700.000000	83.257141	-166.2426
710.000000	83.259247	-165.7824
720.000000	83.250641	-165.4019
730.000000	83.244949	-164.9767
740.000000	83.254608	-164.5153
750.000000	83.251740	-164.1411
762.000000	83.253075	-163.5944
775.000000	83.248848	-163.0182
788.000000	83.246040	-162.4578
800.000000	83.256508	-162.0114
812.000000	83.252975	-161.4039
825.000000	83.253998	-160.8193
838.000000	83.258438	-160.1796
850.000000	83.279884	-159.6800
862.000000	83.272842	-159.1772
875.000000	83.291992	-158.5726
885.000000	83.294617	-158.0667
900.000000	83.315674	-157.4335
912.000000	83.329323	-156.8512
925.000000	83.337387	-156.2457
938.000000	83.356438	-155.6445
950.000000	83.364960	-155.0540
962.000000	83.373322	-154.5574
975.000000	83.403328	-153.9753
988.000000	83.422241	-153.3007
1000.000000	83.428986	-152.6357
1015.000000	83.458458	-151.9212
1030.000000	83.485786	-151.1706
1044.000000	83.508774	-150.4423
1060.000000	83.547180	-149.5637
1075.000000	83.575439	-148.7184
1090.000000	83.630920	-147.8218
1106.000000	83.678383	-146.8261
1120.000000	83.725693	-145.9834
1138.000000	83.816620	-144.8755
1150.000000	83.875801	-144.0753
1172.000000	84.019623	-142.7544
1180.000000	84.077599	-142.3021
1206.000000	84.287727	-140.8790
1220.000000	84.407295	-140.2468
1241.000000	84.588287	-139.3882
1250.000000	84.677498	-138.9869
1265.000000	84.813370	-138.5460
1280.000000	84.948746	-138.1334
1315.000000	85.274078	-137.4234
1320.000000	85.326637	-137.3437
1340.000000	85.487900	-137.0597
1360.000000	85.651360	-136.8417
1380.000000	85.806763	-136.7165
1400.000000	85.949402	-136.6488
1430.000000	86.148438	-136.5673
1450.000000	86.270302	-136.5186
1475.000000	86.418602	-136.5443
