* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 14, 2025 2:35:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: default R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.501	-176.7113
20.600000	96.484	-176.7008
20.900000	96.471	-176.6519
21.200001	96.468	-176.6247
21.400000	96.469	-176.6421
21.799999	96.472	-176.7765
22.000000	96.469	-176.8829
22.400000	96.448	-177.1167
22.700001	96.421	-177.2459
23.000000	96.389	-177.2988
23.299999	96.361	-177.2740
23.600000	96.345	-177.2027
24.000000	96.344	-177.1272
24.299999	96.357	-177.1431
24.700001	96.379	-177.2906
25.000000	96.392	-177.4676
25.400000	96.399	-177.7188
25.799999	96.397	-177.9066
26.200001	96.391	-177.9944
26.500000	96.388	-178.0060
26.900000	96.386	-177.9893
27.200001	96.386	-177.9797
27.600000	96.385	-177.9970
28.000000	96.381	-178.0544
28.500000	96.371	-178.1599
29.000000	96.363	-178.2566
29.500000	96.363	-178.3177
30.000000	96.376	-178.3630
30.400000	96.390	-178.4149
30.700001	96.400	-178.4699
31.100000	96.409	-178.5569
31.500000	96.410	-178.6407
32.000000	96.408	-178.7242
32.500000	96.409	-178.8005
33.000000	96.413	-178.8987
33.500000	96.417	-179.0134
34.000000	96.421	-179.1140
34.500000	96.428	-179.1960
35.000000	96.439	-179.2897
35.500000	96.449	-179.4117
36.000000	96.457	-179.5389
36.500000	96.464	-179.6467
37.000000	96.475	-179.7484
37.500000	96.486	-179.8724
38.200001	96.494	179.9284
38.700001	96.497	179.8026
39.500000	96.505	179.6243
40.000000	96.513	179.5150
40.599998	96.523	179.4200
41.200001	96.538	179.3605
41.799999	96.558	179.2526
42.500000	96.570	179.0104
43.099998	96.565	178.7815
43.700001	96.560	178.5894
44.400002	96.564	178.3681
45.000000	96.571	178.1643
45.500000	96.576	178.0057
46.200001	96.583	177.8041
46.799999	96.586	177.6366
47.500000	96.585	177.4669
48.200001	96.588	177.3132
48.700001	96.595	177.1703
49.400002	96.599	176.9222
50.000000	96.597	176.7249
50.799999	96.599	176.5032
51.500000	96.603	176.2939
52.200001	96.604	176.0854
53.000000	96.607	175.8772
53.799999	96.611	175.6481
54.500000	96.609	175.4359
55.200001	96.603	175.2448
56.000000	96.601	175.0175
57.000000	96.598	174.6846
58.000000	96.592	174.3835
59.000000	96.584	174.1487
60.000000	96.579	173.8972
60.799999	96.575	173.6188
61.500000	96.566	173.3732
62.200001	96.559	173.1790
63.000000	96.557	172.9702
64.000000	96.544	172.6796
65.000000	96.527	172.4312
66.000000	96.517	172.1617
67.000000	96.504	171.8632
68.000000	96.485	171.5980
69.000000	96.474	171.3824
70.000000	96.468	171.0760
71.000000	96.449	170.7730
72.000000	96.445	170.4935
73.000000	96.426	170.1762
