* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 25, 2025 8:41:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: standard R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.362	176.5903
20.600000	106.348	175.9191
20.900000	106.323	175.3048
21.200001	106.298	174.7045
21.400000	106.285	174.3151
21.799999	106.269	173.5591
22.000000	106.268	173.1881
22.400000	106.274	172.4489
22.700001	106.282	171.8905
23.000000	106.288	171.3313
23.299999	106.287	170.7788
23.600000	106.280	170.2415
24.000000	106.262	169.5537
24.299999	106.247	169.0512
24.700001	106.227	168.3791
25.000000	106.214	167.8638
25.400000	106.200	167.1661
25.799999	106.186	166.4834
26.200001	106.173	165.8448
26.500000	106.165	165.3988
26.900000	106.154	164.8300
27.200001	106.145	164.4059
27.600000	106.129	163.8281
28.000000	106.107	163.2405
28.500000	106.077	162.5206
29.000000	106.054	161.8302
29.500000	106.043	161.1406
30.000000	106.038	160.4288
30.400000	106.028	159.8643
30.700001	106.016	159.4655
31.100000	105.996	158.9810
31.500000	105.977	158.5361
32.000000	105.958	157.9726
32.500000	105.940	157.3468
33.000000	105.917	156.6835
33.500000	105.888	156.0570
34.000000	105.860	155.5002
34.500000	105.837	154.9714
35.000000	105.814	154.4148
35.500000	105.785	153.8315
36.000000	105.751	153.2651
36.500000	105.724	152.7314
37.000000	105.707	152.1960
37.500000	105.696	151.6269
38.200001	105.671	150.8230
38.700001	105.643	150.3061
39.500000	105.593	149.5685
40.000000	105.562	149.1017
40.599998	105.526	148.5057
41.200001	105.491	147.8770
41.799999	105.456	147.2255
42.500000	105.411	146.4874
43.099998	105.375	145.9187
43.700001	105.348	145.3672
44.400002	105.319	144.6719
45.000000	105.284	144.1050
45.500000	105.249	143.7259
46.200001	105.208	143.2871
46.799999	105.176	142.8676
47.500000	105.131	142.2811
48.200001	105.085	141.6226
48.700001	105.054	141.1054
49.400002	105.005	140.3893
50.000000	104.959	139.9042
50.799999	104.912	139.4170
51.500000	104.881	138.9328
52.200001	104.839	138.3569
53.000000	104.785	137.7004
53.799999	104.733	137.0533
54.500000	104.682	136.5048
55.200001	104.626	136.0094
56.000000	104.573	135.4582
57.000000	104.518	134.6922
58.000000	104.449	133.9732
59.000000	104.371	133.3458
60.000000	104.285	132.6983
60.799999	104.228	132.2498
61.500000	104.198	131.8609
62.200001	104.170	131.4208
63.000000	104.123	130.9240
64.000000	104.058	130.2992
65.000000	103.987	129.6436
66.000000	103.922	129.0936
67.000000	103.857	128.5447
68.000000	103.778	128.0323
69.000000	103.710	127.4926
70.000000	103.643	126.8351
71.000000	103.572	126.1742
72.000000	103.496	125.5799
73.000000	103.414	125.0444
74.000000	103.325	124.4568
75.000000	103.236	123.8112
76.199997	103.152	122.9725
77.500000	103.070	122.2210
78.800003	102.983	121.5647
80.000000	102.888	121.0075
81.199997	102.810	120.2641
82.500000	102.703	119.5005
83.800003	102.623	118.8088
85.000000	102.537	118.1710
86.199997	102.454	117.5934
87.500000	102.371	117.0494
88.500000	102.314	116.6518
90.000000	102.193	115.9901
91.199997	102.093	115.3925
92.500000	102.004	114.8444
93.800003	101.917	114.3168
95.000000	101.834	113.7733
96.199997	101.757	113.1744
97.500000	101.661	112.7017
98.800003	101.570	112.3218
100.000000	101.500	111.7254
101.500000	101.400	111.1095
103.000000	101.309	110.8027
104.400002	101.207	110.3408
106.000000	101.098	109.6906
107.500000	101.038	109.1839
109.000000	100.950	108.7875
110.599998	100.846	108.3353
112.000000	100.762	107.8542
113.800003	100.659	107.2938
115.000000	100.583	106.9272
117.199997	100.458	106.4594
118.000000	100.422	106.2147
120.599998	100.259	105.5596
122.000000	100.210	105.1171
124.099998	100.117	104.7487
125.000000	100.066	104.5379
126.500000	99.981	104.1980
128.000000	99.907	103.8159
