* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2025 3:46:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; anc on, med gain, max vol
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.505	19.2078
20.600000	98.511	18.6682
20.900000	98.511	18.1723
21.200001	98.514	17.6814
21.400000	98.522	17.3526
21.799999	98.550	16.6803
22.000000	98.570	16.3370
22.400000	98.611	15.6526
22.700001	98.638	15.1676
23.000000	98.657	14.7284
23.299999	98.668	14.3438
23.600000	98.672	14.0075
24.000000	98.672	13.5967
24.299999	98.670	13.2809
24.700001	98.668	12.8074
25.000000	98.668	12.4023
25.400000	98.671	11.8069
25.799999	98.678	11.1866
26.200001	98.688	10.5900
26.500000	98.697	10.1832
26.900000	98.707	9.7131
27.200001	98.715	9.4153
27.600000	98.725	9.0679
28.000000	98.734	8.7323
28.500000	98.745	8.2473
29.000000	98.747	7.6474
29.500000	98.736	6.9904
30.000000	98.719	6.3977
30.400000	98.710	6.0141
30.700001	98.711	5.7674
31.100000	98.720	5.4522
31.500000	98.733	5.1102
32.000000	98.739	4.6357
32.500000	98.730	4.1603
33.000000	98.714	3.7292
33.500000	98.702	3.3188
34.000000	98.697	2.8830
34.500000	98.694	2.4279
35.000000	98.688	2.0018
35.500000	98.684	1.6208
36.000000	98.681	1.2513
36.500000	98.673	0.8716
37.000000	98.657	0.5041
37.500000	98.643	0.1615
38.200001	98.635	-0.3672
38.700001	98.631	-0.8216
39.500000	98.606	-1.4829
40.000000	98.594	-1.7517
40.599998	98.597	-2.0408
41.200001	98.603	-2.4514
41.799999	98.586	-2.9407
42.500000	98.550	-3.4275
43.099998	98.531	-3.7813
43.700001	98.522	-4.1623
44.400002	98.508	-4.6065
45.000000	98.494	-4.9385
45.500000	98.483	-5.2137
46.200001	98.462	-5.6401
46.799999	98.440	-6.0020
47.500000	98.423	-6.3764
48.200001	98.419	-6.7498
48.700001	98.413	-7.0274
49.400002	98.392	-7.3794
50.000000	98.369	-7.6340
50.799999	98.343	-7.9847
51.500000	98.327	-8.3465
52.200001	98.311	-8.7251
53.000000	98.285	-9.1220
53.799999	98.248	-9.4297
54.500000	98.227	-9.6680
55.200001	98.222	-10.0073
56.000000	98.208	-10.4823
57.000000	98.169	-10.8350
58.000000	98.147	-11.0605
59.000000	98.132	-11.4716
60.000000	98.117	-12.0025
