* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2025 3:55:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.317	12.5208
20.600000	99.317	12.2070
20.900000	99.316	11.9154
21.200001	99.323	11.5732
21.400000	99.332	11.2987
21.799999	99.357	10.6355
22.000000	99.370	10.2600
22.400000	99.392	9.4788
22.700001	99.401	8.9289
23.000000	99.406	8.4491
23.299999	99.407	8.0509
23.600000	99.407	7.7212
24.000000	99.406	7.3346
24.299999	99.405	7.0436
24.700001	99.399	6.6194
25.000000	99.392	6.2726
25.400000	99.382	5.7862
25.799999	99.374	5.2914
26.200001	99.373	4.7989
26.500000	99.374	4.4352
26.900000	99.377	3.9701
27.200001	99.378	3.6474
27.600000	99.376	3.2653
28.000000	99.371	2.9373
28.500000	99.365	2.5715
29.000000	99.362	2.2005
29.500000	99.358	1.7909
30.000000	99.352	1.3414
30.400000	99.345	0.9637
30.700001	99.339	0.6771
31.100000	99.331	0.2996
31.500000	99.324	-0.0655
32.000000	99.321	-0.5048
32.500000	99.322	-0.9396
33.000000	99.322	-1.3806
33.500000	99.314	-1.8129
34.000000	99.295	-2.2059
34.500000	99.271	-2.5488
35.000000	99.251	-2.8658
35.500000	99.237	-3.1939
36.000000	99.228	-3.5521
36.500000	99.221	-3.9289
37.000000	99.209	-4.2866
37.500000	99.193	-4.5839
38.200001	99.173	-4.8897
38.700001	99.166	-5.0954
39.500000	99.159	-5.5535
40.000000	99.145	-5.8988
40.599998	99.118	-6.2706
41.200001	99.094	-6.5644
41.799999	99.082	-6.8455
42.500000	99.074	-7.2384
43.099998	99.061	-7.6026
43.700001	99.038	-7.9184
44.400002	99.010	-8.1923
45.000000	98.993	-8.4046
45.500000	98.984	-8.6172
46.200001	98.968	-8.9590
46.799999	98.948	-9.2147
47.500000	98.925	-9.4312
48.200001	98.907	-9.6519
48.700001	98.891	-9.8574
49.400002	98.861	-10.1820
50.000000	98.834	-10.4470
50.799999	98.810	-10.7867
51.500000	98.795	-11.1115
52.200001	98.775	-11.4056
53.000000	98.752	-11.5758
53.799999	98.745	-11.6699
54.500000	98.735	-11.8908
55.200001	98.698	-12.2421
56.000000	98.639	-12.6287
57.000000	98.599	-12.9303
58.000000	98.601	-13.1398
59.000000	98.568	-13.4856
60.000000	98.488	-13.8026
60.799999	98.461	-13.9839
61.500000	98.470	-14.1760
62.200001	98.473	-14.3485
63.000000	98.447	-14.4555
64.000000	98.385	-14.6031
65.000000	98.332	-14.8560
66.000000	98.319	-15.0646
67.000000	98.325	-15.2142
68.000000	98.303	-15.3966
69.000000	98.252	-15.6532
70.000000	98.198	-15.9794
71.000000	98.162	-16.2764
72.000000	98.142	-16.5037
73.000000	98.121	-16.6131
74.000000	98.098	-16.6805
75.000000	98.059	-16.7271
76.199997	98.023	-16.7402
77.500000	97.985	-16.9808
78.800003	97.949	-17.0044
80.000000	97.932	-17.1160
81.199997	97.873	-17.3811
82.500000	97.833	-17.4430
83.800003	97.823	-17.6861
85.000000	97.797	-17.7653
86.199997	97.781	-17.9576
87.500000	97.723	-18.0577
88.500000	97.704	-18.1455
90.000000	97.660	-18.4412
91.199997	97.624	-18.4960
92.500000	97.591	-18.7095
93.800003	97.567	-18.9655
95.000000	97.542	-19.0046
96.199997	97.517	-18.9423
97.500000	97.490	-19.1197
98.800003	97.447	-19.2332
100.000000	97.412	-19.3882
101.500000	97.402	-19.7851
103.000000	97.366	-19.7862
104.400002	97.295	-19.8205
106.000000	97.264	-20.0514
107.500000	97.257	-20.1822
109.000000	97.250	-20.3555
110.599998	97.205	-20.4079
112.000000	97.163	-20.5817
113.800003	97.132	-20.8400
115.000000	97.119	-20.8901
117.199997	97.072	-21.1056
118.000000	97.056	-21.0491
120.599998	96.971	-21.4643
122.000000	97.008	-21.4246
124.099998	96.945	-21.6263
125.000000	96.953	-21.7889
126.500000	96.930	-21.6347
