* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 29, 2024 7:06:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: club L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.222588	163.3159
20.600000	96.169632	163.4240
20.900000	96.114006	163.5007
21.200001	96.059120	163.5488
21.400000	96.023331	163.5682
21.799999	95.954964	163.6059
22.000000	95.923569	163.6388
22.400000	95.870445	163.7525
22.700001	95.843445	163.8773
23.000000	95.829819	164.0122
23.299999	95.829193	164.1244
23.600000	95.838425	164.1837
24.000000	95.856918	164.1570
24.299999	95.868858	164.0737
24.700001	95.876862	163.9353
25.000000	95.878044	163.8564
25.400000	95.879402	163.8192
25.799999	95.888550	163.8388
26.200001	95.907677	163.8379
26.500000	95.924599	163.7731
26.900000	95.941299	163.5709
27.200001	95.944397	163.3408
27.600000	95.934853	162.9769
28.000000	95.915833	162.5982
28.500000	95.893646	162.1413
29.000000	95.882187	161.6903
29.500000	95.876060	161.2455
30.000000	95.866905	160.8532
30.400000	95.857460	160.5939
30.700001	95.850670	160.4156
31.100000	95.842278	160.1626
31.500000	95.831940	159.8600
32.000000	95.812012	159.4186
32.500000	95.786674	158.9636
33.000000	95.765038	158.5321
33.500000	95.750244	158.1034
34.000000	95.733986	157.6598
34.500000	95.707718	157.2323
35.000000	95.673080	156.8572
35.500000	95.637497	156.5140
36.000000	95.603157	156.1453
36.500000	95.566101	155.7324
37.000000	95.525314	155.3155
37.500000	95.486649	154.9349
38.200001	95.445236	154.4458
38.700001	95.419464	154.0985
39.500000	95.365540	153.5869
40.000000	95.323837	153.3250
40.599998	95.273933	153.0293
41.200001	95.228104	152.6879
41.799999	95.185722	152.2955
42.500000	95.140648	151.8497
43.099998	95.104774	151.5242
43.700001	95.064651	151.2515
44.400002	95.006393	151.0019
45.000000	94.955460	150.8335
45.500000	94.920212	150.6757
46.200001	94.876564	150.3665
46.799999	94.830147	150.0679
47.500000	94.763748	149.7996
48.200001	94.701080	149.5960
48.700001	94.663063	149.4247
49.400002	94.614120	149.1470
50.000000	94.573868	148.9509
50.799999	94.526115	148.8032
51.500000	94.487534	148.6684
52.200001	94.435890	148.4108
53.000000	94.350090	148.0898
53.799999	94.270180	147.9527
54.500000	94.227905	147.8912
55.200001	94.193573	147.7909
56.000000	94.154335	147.7061
57.000000	94.109634	147.5539
58.000000	94.028702	147.3490
59.000000	93.937798	147.1511
60.000000	93.856705	146.9504
60.799999	93.825455	147.0043
61.500000	93.815628	147.0035
62.200001	93.774261	146.8984
63.000000	93.701210	146.8589
64.000000	93.653603	146.7312
65.000000	93.600960	146.5109
66.000000	93.535263	146.7135
67.000000	93.492661	146.7759
68.000000	93.431557	146.5539
69.000000	93.377937	146.4523
70.000000	93.336365	146.4145
71.000000	93.294319	146.3625
72.000000	93.244713	146.2868
73.000000	93.190567	146.3421
74.000000	93.143456	146.3470
75.000000	93.101448	146.3308
76.199997	93.068176	146.2024
77.500000	92.984451	146.2817
78.800003	92.952675	146.1196
80.000000	92.890900	146.0020
81.199997	92.859772	146.0669
82.500000	92.795654	146.0172
83.800003	92.749641	146.0917
85.000000	92.721054	146.1439
86.199997	92.675751	146.1363
87.500000	92.633629	146.1287
88.500000	92.600990	146.1050
90.000000	92.557442	146.0689
91.199997	92.510361	146.0526
92.500000	92.467293	146.0968
93.800003	92.427032	146.0935
95.000000	92.392471	146.0946
96.199997	92.354683	146.0945
97.500000	92.329155	146.1028
98.800003	92.292465	146.1025
100.000000	92.261734	146.1510
101.500000	92.225159	146.0545
103.000000	92.186493	146.0036
104.400002	92.149353	145.9842
106.000000	92.098236	145.9075
107.500000	92.064529	145.7792
109.000000	92.017502	145.6756
110.599998	91.969742	145.5535
112.000000	91.925819	145.4699
113.800003	91.860802	145.2975
115.000000	91.824371	145.1010
117.199997	91.752892	144.8483
118.000000	91.713852	144.8252
120.599998	91.619301	144.2235
122.000000	91.630463	144.3051
124.099998	91.559036	144.0820
125.000000	91.534210	143.9509
126.500000	91.495041	143.9176
128.000000	91.442978	143.6669
131.500000	91.344536	143.3718
132.000000	91.331779	143.3143
134.000000	91.270699	143.1444
136.000000	91.214638	143.0130
138.000000	91.149063	142.8614
140.000000	91.102646	142.6070
143.000000	91.014275	142.4969
145.000000	90.953583	142.3027
147.500000	90.886856	142.1764
150.000000	90.823456	142.0232
152.500000	90.755585	141.9296
155.000000	90.691635	141.7910
157.500000	90.627785	141.6319
160.000000	90.567551	141.5867
162.500000	90.494225	141.4298
165.000000	90.484940	141.3610
167.500000	90.381569	141.2966
170.000000	90.334740	141.2737
172.500000	90.275429	141.0692
175.000000	90.216934	141.0789
177.500000	90.178787	141.0351
180.000000	90.067398	140.8115
182.500000	90.072281	140.9032
185.000000	90.019615	140.7961
187.500000	89.968925	140.8621
