* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 29, 2024 7:24:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: club R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.038513	166.1238
20.600000	95.996506	166.3065
20.900000	95.965057	166.4426
21.200001	95.944733	166.5501
21.400000	95.937210	166.6037
21.799999	95.930893	166.6519
22.000000	95.927994	166.6424
22.400000	95.912827	166.5695
22.700001	95.886444	166.5056
23.000000	95.847443	166.4792
23.299999	95.801926	166.5220
23.600000	95.759537	166.6384
24.000000	95.723480	166.8511
24.299999	95.715324	166.9860
24.700001	95.722244	167.0640
25.000000	95.730949	167.0533
25.400000	95.738434	167.0142
25.799999	95.744469	167.0266
26.200001	95.762039	167.0835
26.500000	95.788101	167.0914
26.900000	95.834663	166.9517
27.200001	95.868858	166.7021
27.600000	95.897644	166.2281
28.000000	95.900078	165.7244
28.500000	95.877831	165.2681
29.000000	95.859932	165.0609
29.500000	95.864288	164.9297
30.000000	95.875504	164.6638
30.400000	95.871788	164.3398
30.700001	95.858025	164.0813
31.100000	95.831085	163.7850
31.500000	95.808449	163.5708
32.000000	95.801613	163.3354
32.500000	95.810272	162.9887
33.000000	95.803482	162.4990
33.500000	95.763527	162.0031
34.000000	95.705307	161.6410
34.500000	95.656296	161.3868
35.000000	95.624718	161.1011
35.500000	95.596054	160.7370
36.000000	95.560738	160.4043
36.500000	95.531502	160.1986
37.000000	95.525719	160.0384
37.500000	95.536827	159.7446
38.200001	95.525558	159.0401
38.700001	95.477798	158.5237
39.500000	95.378044	157.9895
40.000000	95.330910	157.7486
40.599998	95.284958	157.4237
41.200001	95.234070	157.1420
41.799999	95.184311	157.0265
42.500000	95.150940	156.9962
43.099998	95.137794	156.8110
43.700001	95.112083	156.4096
44.400002	95.054085	155.9041
45.000000	95.000610	155.6118
45.500000	94.962410	155.4311
46.200001	94.899727	155.1729
46.799999	94.825592	155.0152
47.500000	94.755249	154.9781
48.200001	94.739937	154.8012
48.700001	94.735428	154.4412
49.400002	94.678902	153.8642
50.000000	94.590500	153.6368
50.799999	94.495064	153.7070
51.500000	94.467491	153.6895
52.200001	94.458725	153.3837
53.000000	94.411858	152.9453
53.799999	94.333565	152.8434
54.500000	94.292747	152.8747
55.200001	94.264427	152.6468
