* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 5, 2025 2:54:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.448	-169.5951
20.600000	105.440	-170.1500
20.900000	105.429	-170.6348
21.200001	105.421	-171.1229
21.400000	105.417	-171.4588
21.799999	105.410	-172.1530
22.000000	105.406	-172.5045
22.400000	105.396	-173.1966
22.700001	105.386	-173.6935
23.000000	105.375	-174.1725
23.299999	105.364	-174.6434
23.600000	105.352	-175.1180
24.000000	105.333	-175.7684
24.299999	105.315	-176.2649
24.700001	105.288	-176.9195
25.000000	105.267	-177.3911
25.400000	105.241	-177.9856
25.799999	105.219	-178.5473
26.200001	105.201	-179.0901
26.500000	105.188	-179.4901
26.900000	105.170	179.9865
27.200001	105.154	179.6036
27.600000	105.132	179.1076
28.000000	105.110	178.6247
28.500000	105.083	178.0307
29.000000	105.057	177.4437
29.500000	105.029	176.8692
30.000000	105.000	176.3118
30.400000	104.976	175.8764
30.700001	104.956	175.5544
31.100000	104.930	175.1313
31.500000	104.903	174.7177
32.000000	104.869	174.2189
32.500000	104.838	173.7381
33.000000	104.809	173.2640
33.500000	104.779	172.7870
34.000000	104.746	172.3115
34.500000	104.710	171.8514
35.000000	104.675	171.4134
35.500000	104.642	170.9882
36.000000	104.612	170.5637
36.500000	104.580	170.1421
37.000000	104.546	169.7363
37.500000	104.512	169.3475
38.200001	104.467	168.7950
38.700001	104.435	168.3809
39.500000	104.377	167.7480
40.000000	104.339	167.4099
40.599998	104.298	167.0465
41.200001	104.259	166.6801
41.799999	104.219	166.2880
42.500000	104.169	165.8183
43.099998	104.125	165.4311
43.700001	104.082	165.0654
44.400002	104.034	164.6511
45.000000	103.993	164.2932
45.500000	103.959	163.9968
46.200001	103.910	163.5991
46.799999	103.870	163.2764
47.500000	103.822	162.9128
48.200001	103.772	162.5589
48.700001	103.737	162.3076
49.400002	103.687	161.9518
50.000000	103.644	161.6534
50.799999	103.589	161.2792
51.500000	103.544	160.9523
52.200001	103.496	160.6173
53.000000	103.439	160.2617
53.799999	103.385	159.9333
54.500000	103.340	159.6404
55.200001	103.291	159.3574
56.000000	103.236	159.0577
57.000000	103.169	158.6730
58.000000	103.100	158.3249
59.000000	103.038	158.0020
60.000000	102.969	157.6426
60.799999	102.912	157.3816
61.500000	102.868	157.1552
62.200001	102.823	156.9224
63.000000	102.772	156.6816
64.000000	102.709	156.3849
65.000000	102.639	156.0933
66.000000	102.575	155.8442
67.000000	102.512	155.5654
68.000000	102.448	155.3149
69.000000	102.389	155.0585
70.000000	102.324	154.8145
71.000000	102.262	154.6019
72.000000	102.198	154.3707
73.000000	102.133	154.1849
74.000000	102.075	154.0047
75.000000	102.016	153.7856
76.199997	101.940	153.5283
77.500000	101.865	153.3239
