* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 5, 2025 2:47:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.791	-173.1109
20.600000	105.782	-173.7061
20.900000	105.766	-174.2440
21.200001	105.749	-174.7772
21.400000	105.739	-175.1319
21.799999	105.720	-175.8405
22.000000	105.711	-176.1935
22.400000	105.695	-176.8921
22.700001	105.681	-177.4026
23.000000	105.665	-177.8950
23.299999	105.646	-178.3646
23.600000	105.627	-178.8103
24.000000	105.601	-179.3748
24.299999	105.583	-179.7871
24.700001	105.562	179.6607
25.000000	105.547	179.2388
25.400000	105.527	178.6697
25.799999	105.505	178.1109
26.200001	105.479	177.5801
26.500000	105.460	177.2029
26.900000	105.433	176.7184
27.200001	105.414	176.3596
27.600000	105.387	175.8790
28.000000	105.359	175.3976
28.500000	105.323	174.8094
29.000000	105.289	174.2448
29.500000	105.258	173.6926
30.000000	105.228	173.1399
30.400000	105.200	172.7019
30.700001	105.178	172.3822
31.100000	105.146	171.9724
31.500000	105.115	171.5782
32.000000	105.079	171.0943
32.500000	105.045	170.6107
33.000000	105.010	170.1348
33.500000	104.974	169.6791
34.000000	104.937	169.2448
34.500000	104.901	168.8206
35.000000	104.865	168.3955
35.500000	104.828	167.9677
36.000000	104.790	167.5452
36.500000	104.752	167.1392
37.000000	104.715	166.7555
37.500000	104.678	166.3881
38.200001	104.626	165.8758
38.700001	104.587	165.5054
39.500000	104.522	164.9341
40.000000	104.484	164.5980
40.599998	104.442	164.1969
41.200001	104.401	163.7883
41.799999	104.355	163.3915
42.500000	104.300	162.9660
43.099998	104.254	162.6174
43.700001	104.209	162.2642
44.400002	104.156	161.8528
45.000000	104.110	161.5140
45.500000	104.072	161.2426
46.200001	104.020	160.8749
46.799999	103.976	160.5653
47.500000	103.923	160.2070
48.200001	103.868	159.8587
48.700001	103.829	159.6190
49.400002	103.777	159.2868
50.000000	103.733	159.0005
50.799999	103.674	158.6323
51.500000	103.622	158.3285
52.200001	103.571	158.0317
53.000000	103.511	157.6998
53.799999	103.453	157.3709
54.500000	103.402	157.0849
55.200001	103.351	156.8176
56.000000	103.294	156.5321
57.000000	103.222	156.1840
58.000000	103.150	155.8529
59.000000	103.080	155.5068
60.000000	103.008	155.1862
60.799999	102.954	154.9427
61.500000	102.906	154.7245
62.200001	102.855	154.5193
63.000000	102.798	154.3019
64.000000	102.729	154.0356
65.000000	102.662	153.7563
66.000000	102.593	153.4931
67.000000	102.527	153.2647
68.000000	102.461	153.0211
69.000000	102.397	152.8028
70.000000	102.336	152.5664
71.000000	102.263	152.3704
72.000000	102.197	152.1933
73.000000	102.132	151.9583
74.000000	102.068	151.7815
75.000000	102.008	151.6009
76.199997	101.924	151.3813
77.500000	101.848	151.2058
78.800003	101.771	150.9908
80.000000	101.697	150.8247
81.199997	101.624	150.6434
82.500000	101.549	150.4780
83.800003	101.475	150.3167
85.000000	101.402	150.1797
86.199997	101.333	150.0459
87.500000	101.258	149.9042
88.500000	101.202	149.8118
90.000000	101.117	149.6760
91.199997	101.050	149.5614
92.500000	100.976	149.4634
93.800003	100.909	149.3678
95.000000	100.845	149.2705
96.199997	100.781	149.1901
97.500000	100.714	149.1115
98.800003	100.648	149.0291
100.000000	100.582	148.9764
101.500000	100.505	148.8944
103.000000	100.431	148.8360
104.400002	100.362	148.7971
106.000000	100.284	148.7145
107.500000	100.211	148.6937
109.000000	100.139	148.6472
110.599998	100.066	148.6073
112.000000	100.002	148.6074
113.800003	99.912	148.5546
115.000000	99.864	148.5641
117.199997	99.762	148.5615
118.000000	99.724	148.5295
120.599998	99.628	148.4861
122.000000	99.554	148.6168
124.099998	99.461	148.5972
125.000000	99.427	148.6185
126.500000	99.360	148.6307
128.000000	99.303	148.6995
131.500000	99.166	148.7864
132.000000	99.146	148.7856
134.000000	99.067	148.9203
136.000000	98.985	148.8388
138.000000	98.936	148.9656
140.000000	98.849	149.1097
143.000000	98.736	149.1584
145.000000	98.681	149.2556
147.500000	98.593	149.3453
150.000000	98.502	149.4677
152.500000	98.395	149.4788
155.000000	98.342	149.6554
157.500000	98.258	149.8093
160.000000	98.178	149.9497
162.500000	98.095	150.1171
165.000000	98.021	150.2994
167.500000	97.943	150.4985
170.000000	97.876	150.7064
172.500000	97.809	150.8698
175.000000	97.750	151.0544
177.500000	97.689	151.2165
180.000000	97.626	151.3256
182.500000	97.565	151.5237
185.000000	97.503	151.7227
187.500000	97.442	151.9289
190.000000	97.386	152.1185
192.500000	97.332	152.3033
195.000000	97.282	152.4416
197.500000	97.233	152.5842
