* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 20, 2026 2:39:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: off L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.092	-165.5615
20.299999	105.086	-166.0783
20.600000	105.080	-166.5918
20.900000	105.074	-167.1032
21.200001	105.067	-167.6089
21.400000	105.062	-167.9403
21.799999	105.051	-168.5879
22.000000	105.046	-168.9057
22.400000	105.036	-169.5358
22.700001	105.027	-170.0079
23.000000	105.016	-170.4778
23.299999	105.003	-170.9390
23.600000	104.988	-171.3831
24.000000	104.965	-171.9387
24.299999	104.948	-172.3284
24.700001	104.926	-172.8202
25.000000	104.911	-173.1745
25.400000	104.892	-173.6305
25.799999	104.874	-174.0669
26.200001	104.858	-174.4893
26.500000	104.849	-174.8072
26.900000	104.837	-175.2486
27.200001	104.827	-175.5970
27.600000	104.809	-176.0722
28.000000	104.785	-176.5323
28.500000	104.749	-177.0501
29.000000	104.717	-177.5164
29.500000	104.690	-177.9845
30.000000	104.660	-178.4787
30.400000	104.629	-178.8637
30.700001	104.603	-179.1216
31.100000	104.569	-179.4083
31.500000	104.542	-179.6442
32.000000	104.523	-179.9367
32.500000	104.513	179.6986
33.000000	104.498	179.2549
33.500000	104.472	178.7981
34.000000	104.438	178.3970
34.500000	104.408	178.0550
35.000000	104.385	177.7166
35.500000	104.362	177.3404
36.000000	104.332	176.9478
36.500000	104.294	176.5959
37.000000	104.255	176.3167
37.500000	104.222	176.0917
38.200001	104.189	175.7860
38.700001	104.171	175.5333
39.500000	104.137	175.0590
40.000000	104.106	174.7596
40.599998	104.064	174.4621
41.200001	104.028	174.2237
41.799999	103.999	173.9673
42.500000	103.959	173.6295
43.099998	103.919	173.3988
43.700001	103.890	173.2158
44.400002	103.867	172.9019
45.000000	103.834	172.5569
45.500000	103.797	172.3230
46.200001	103.751	172.0993
46.799999	103.722	171.8801
47.500000	103.678	171.5893
48.200001	103.630	171.4208
48.700001	103.609	171.3364
49.400002	103.591	171.0949
50.000000	103.561	170.8140
50.799999	103.506	170.5576
51.500000	103.471	170.4012
52.200001	103.440	170.1749
53.000000	103.390	169.9106
53.799999	103.340	169.7464
54.500000	103.307	169.6258
55.200001	103.278	169.4567
56.000000	103.240	169.2293
57.000000	103.186	168.9998
58.000000	103.132	168.7941
59.000000	103.080	168.6918
60.000000	103.051	168.5572
60.799999	103.019	168.3329
61.500000	102.980	168.1839
62.200001	102.944	168.0836
63.000000	102.906	167.9651
64.000000	102.862	167.8351
65.000000	102.822	167.6760
66.000000	102.775	167.5210
67.000000	102.733	167.4156
68.000000	102.695	167.2894
69.000000	102.651	167.1546
70.000000	102.605	167.0775
71.000000	102.568	166.9881
72.000000	102.522	166.8553
73.000000	102.476	166.8044
74.000000	102.443	166.7176
75.000000	102.399	166.5780
76.199997	102.350	166.5436
77.500000	102.313	166.4285
78.800003	102.262	166.3242
80.000000	102.221	166.2893
81.199997	102.174	166.1868
82.500000	102.123	166.2756
83.800003	102.100	166.1269
85.000000	102.042	166.0359
86.199997	102.006	166.0138
87.500000	101.962	165.9434
88.500000	101.930	165.9203
90.000000	101.884	165.8759
91.199997	101.847	165.8521
92.500000	101.808	165.8094
93.800003	101.766	165.7975
95.000000	101.733	165.7638
96.199997	101.694	165.7356
97.500000	101.656	165.7634
98.800003	101.625	165.7485
100.000000	101.587	165.7242
101.500000	101.542	165.7487
103.000000	101.497	165.7263
