* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 20, 2026 2:34:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: off R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.101	-165.6907
20.299999	105.102	-166.1547
20.600000	105.107	-166.6337
20.900000	105.113	-167.1440
21.200001	105.116	-167.6874
21.400000	105.113	-168.0595
21.799999	105.098	-168.7847
22.000000	105.086	-169.1194
22.400000	105.059	-169.7132
22.700001	105.042	-170.1005
23.000000	105.032	-170.4670
23.299999	105.027	-170.8442
23.600000	105.024	-171.2533
24.000000	105.015	-171.8452
24.299999	105.001	-172.2940
24.700001	104.974	-172.8470
25.000000	104.952	-173.2100
25.400000	104.928	-173.6404
25.799999	104.913	-174.0631
26.200001	104.902	-174.5245
26.500000	104.891	-174.8969
26.900000	104.869	-175.3944
27.200001	104.848	-175.7414
27.600000	104.820	-176.1493
28.000000	104.796	-176.5089
28.500000	104.776	-176.9509
29.000000	104.761	-177.4371
29.500000	104.740	-177.9557
30.000000	104.714	-178.4581
30.400000	104.690	-178.8318
30.700001	104.673	-179.0980
31.100000	104.650	-179.4410
31.500000	104.627	-179.7731
32.000000	104.598	179.8326
32.500000	104.571	179.4633
33.000000	104.546	179.1007
33.500000	104.523	178.7242
34.000000	104.496	178.3387
34.500000	104.465	177.9713
35.000000	104.432	177.6382
35.500000	104.402	177.3280
36.000000	104.374	177.0200
36.500000	104.346	176.7086
37.000000	104.318	176.3979
37.500000	104.289	176.0868
38.200001	104.245	175.6580
38.700001	104.211	175.3845
39.500000	104.164	175.0103
40.000000	104.141	174.7581
40.599998	104.108	174.4239
41.200001	104.067	174.1475
41.799999	104.035	173.9574
42.500000	104.016	173.6805
43.099998	103.994	173.3308
43.700001	103.955	173.0036
44.400002	103.912	172.7039
45.000000	103.874	172.3970
45.500000	103.828	172.1393
46.200001	103.750	172.0023
46.799999	103.716	172.0463
47.500000	103.712	171.8673
48.200001	103.677	171.4471
48.700001	103.631	171.2712
49.400002	103.596	171.2195
50.000000	103.597	171.0320
50.799999	103.573	170.5328
51.500000	103.531	170.2035
52.200001	103.500	169.8884
53.000000	103.436	169.4615
53.799999	103.352	169.4199
54.500000	103.332	169.5461
55.200001	103.333	169.3888
56.000000	103.292	169.0813
57.000000	103.232	168.9883
58.000000	103.198	168.8208
59.000000	103.148	168.5485
60.000000	103.085	168.3384
60.799999	103.041	168.2501
61.500000	103.012	168.1506
62.200001	102.980	168.0035
63.000000	102.937	167.8888
64.000000	102.898	167.8022
65.000000	102.860	167.6363
66.000000	102.816	167.4930
67.000000	102.774	167.3592
68.000000	102.730	167.2290
69.000000	102.686	167.1234
70.000000	102.648	167.0570
71.000000	102.617	166.9437
72.000000	102.576	166.8419
73.000000	102.543	166.7781
74.000000	102.503	166.6437
75.000000	102.456	166.5883
76.199997	102.407	166.5142
77.500000	102.356	166.4472
78.800003	102.307	166.3248
80.000000	102.266	166.2406
81.199997	102.220	166.1443
82.500000	102.180	166.1053
83.800003	102.135	166.0305
85.000000	102.094	165.9958
86.199997	102.054	165.9783
87.500000	102.012	165.9091
88.500000	101.976	165.8988
90.000000	101.932	165.8665
91.199997	101.894	165.8209
92.500000	101.851	165.7960
93.800003	101.816	165.7699
95.000000	101.778	165.7283
96.199997	101.743	165.7145
97.500000	101.705	165.7106
98.800003	101.671	165.7082
100.000000	101.636	165.6968
101.500000	101.590	165.7010
103.000000	101.548	165.7101
104.400002	101.511	165.7091
106.000000	101.467	165.7126
107.500000	101.432	165.7359
109.000000	101.394	165.7745
110.599998	101.351	165.7997
112.000000	101.320	165.8442
113.800003	101.273	165.8615
115.000000	101.254	165.9000
117.199997	101.208	166.0077
118.000000	101.187	165.9681
120.599998	101.165	166.1328
122.000000	101.096	166.1107
124.099998	101.052	166.1444
125.000000	101.037	166.1765
126.500000	101.007	166.1976
128.000000	100.982	166.2502
131.500000	100.913	166.3871
132.000000	100.905	166.4030
134.000000	100.867	166.4631
136.000000	100.832	166.5040
138.000000	100.800	166.5987
140.000000	100.763	166.7003
143.000000	100.715	166.8197
145.000000	100.680	166.8852
