* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 29, 2025 1:23:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: S2 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.873	-159.7718
20.600000	103.883	-160.5696
20.900000	103.883	-161.3192
21.200001	103.878	-162.0796
21.400000	103.873	-162.5843
21.799999	103.860	-163.5589
22.000000	103.854	-164.0189
22.400000	103.848	-164.8805
22.700001	103.851	-165.4893
23.000000	103.859	-166.0872
23.299999	103.869	-166.6923
23.600000	103.878	-167.3135
24.000000	103.880	-168.1591
24.299999	103.872	-168.7860
24.700001	103.850	-169.5770
25.000000	103.828	-170.1184
25.400000	103.797	-170.7651
25.799999	103.773	-171.3504
26.200001	103.761	-171.9291
26.500000	103.760	-172.3974
26.900000	103.763	-173.1035
27.200001	103.764	-173.6982
27.600000	103.754	-174.5397
28.000000	103.728	-175.3637
28.500000	103.679	-176.2448
29.000000	103.632	-176.9052
29.500000	103.602	-177.4282
30.000000	103.590	-177.9747
30.400000	103.583	-178.4943
30.700001	103.575	-178.9319
31.100000	103.556	-179.5514
31.500000	103.531	179.8271
32.000000	103.496	179.0887
32.500000	103.461	178.4049
33.000000	103.428	177.7713
33.500000	103.394	177.1871
34.000000	103.359	176.6486
34.500000	103.326	176.1337
35.000000	103.296	175.6067
35.500000	103.267	175.0465
36.000000	103.235	174.4655
36.500000	103.200	173.8937
37.000000	103.164	173.3474
37.500000	103.128	172.8188
38.200001	103.074	172.0883
38.700001	103.033	171.5807
39.500000	102.967	170.8104
40.000000	102.928	170.3394
40.599998	102.881	169.7791
41.200001	102.836	169.2527
41.799999	102.795	168.7651
42.500000	102.754	168.1845
43.099998	102.713	167.6533
43.700001	102.663	167.1397
44.400002	102.603	166.6068
45.000000	102.559	166.1796
45.500000	102.524	165.8384
46.200001	102.476	165.4250
46.799999	102.437	165.1354
47.500000	102.392	164.8044
48.200001	102.335	164.4607
48.700001	102.288	164.2375
49.400002	102.224	163.9400
50.000000	102.170	163.6349
50.799999	102.085	163.1541
51.500000	102.003	162.7429
52.200001	101.934	162.3334
53.000000	101.877	161.8209
53.799999	101.828	161.3354
54.500000	101.782	160.9827
55.200001	101.735	160.6574
56.000000	101.686	160.2681
57.000000	101.629	159.8846
58.000000	101.556	159.8439
59.000000	101.453	159.6333
60.000000	101.332	158.7580
60.799999	101.282	158.1026
61.500000	101.285	157.9093
62.200001	101.274	157.9821
63.000000	101.183	158.0438
64.000000	101.014	157.5914
65.000000	100.946	156.7526
66.000000	100.960	156.4277
67.000000	100.905	156.5593
68.000000	100.775	156.3557
69.000000	100.699	155.7825
70.000000	100.671	155.5153
71.000000	100.607	155.6057
72.000000	100.508	155.3981
73.000000	100.430	154.9800
74.000000	100.385	154.7492
75.000000	100.318	154.5908
76.199997	100.219	154.3350
77.500000	100.141	154.0834
78.800003	100.059	153.8823
80.000000	99.985	153.6566
81.199997	99.909	153.4826
82.500000	99.828	153.3441
83.800003	99.748	153.1081
85.000000	99.678	152.9722
86.199997	99.603	152.8189
87.500000	99.522	152.6562
88.500000	99.463	152.5604
90.000000	99.383	152.4197
91.199997	99.312	152.2915
92.500000	99.237	152.1948
93.800003	99.170	152.0856
95.000000	99.100	151.9955
96.199997	99.027	151.9558
97.500000	98.965	151.8440
98.800003	98.893	151.7493
100.000000	98.828	151.6930
101.500000	98.752	151.6312
103.000000	98.676	151.5687
104.400002	98.605	151.5527
106.000000	98.524	151.4597
107.500000	98.456	151.4401
109.000000	98.379	151.4133
110.599998	98.298	151.3967
112.000000	98.233	151.3890
113.800003	98.151	151.3749
115.000000	98.095	151.3859
117.199997	97.998	151.3625
118.000000	97.964	151.3793
120.599998	97.833	151.3829
122.000000	97.786	151.3923
