* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 21, 2023 6:42:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: (red) L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.990227	-131.4313
20.600000	104.045319	-132.2231
20.900000	104.090675	-132.9323
21.200001	104.133438	-133.6286
21.400000	104.162308	-134.0899
21.799999	104.222275	-135.0143
22.000000	104.253227	-135.4788
22.400000	104.315529	-136.4084
22.700001	104.360931	-137.0980
23.000000	104.404243	-137.7735
23.299999	104.445221	-138.4308
23.600000	104.483963	-139.0697
24.000000	104.532501	-139.8986
24.299999	104.566650	-140.5078
24.700001	104.609192	-141.3067
25.000000	104.639099	-141.8939
25.400000	104.677185	-142.6570
25.799999	104.714470	-143.3964
26.200001	104.751587	-144.1173
26.500000	104.778923	-144.6504
26.900000	104.813560	-145.3540
27.200001	104.837524	-145.8756
27.600000	104.866699	-146.5597
28.000000	104.893517	-147.2296
28.500000	104.925522	-148.0528
29.000000	104.956535	-148.8691
29.500000	104.985947	-149.6744
30.000000	105.014091	-150.4522
30.400000	105.036865	-151.0488
30.700001	105.054489	-151.4850
31.100000	105.078255	-152.0604
31.500000	105.100487	-152.6371
32.000000	105.123062	-153.3587
32.500000	105.139114	-154.0649
33.000000	105.152176	-154.7401
33.500000	105.167007	-155.3882
34.000000	105.185280	-156.0265
34.500000	105.204666	-156.6649
35.000000	105.221382	-157.2953
35.500000	105.233871	-157.9039
36.000000	105.243500	-158.4897
36.500000	105.252457	-159.0674
37.000000	105.261475	-159.6527
37.500000	105.269699	-160.2445
38.200001	105.278969	-161.0478
38.700001	105.284943	-161.5857
39.500000	105.293518	-162.4136
40.000000	105.295990	-162.9339
40.599998	105.296204	-163.5570
41.200001	105.298569	-164.1656
41.799999	105.306015	-164.7634
42.500000	105.314842	-165.4482
43.099998	105.315903	-166.0028
43.700001	105.311172	-166.5245
44.400002	105.301842	-167.1311
45.000000	105.291840	-167.6657
45.500000	105.283852	-168.1090
46.200001	105.277023	-168.7145
46.799999	105.274979	-169.2278
47.500000	105.271851	-169.8215
48.200001	105.264481	-170.3864
48.700001	105.257545	-170.7623
49.400002	105.249138	-171.2649
50.000000	105.243790	-171.7114
50.799999	105.232330	-172.3573
51.500000	105.214394	-172.9087
52.200001	105.196587	-173.3958
53.000000	105.183220	-173.9260
53.799999	105.171761	-174.4973
54.500000	105.156548	-175.0118
55.200001	105.135956	-175.4489
56.000000	105.120117	-175.8352
57.000000	105.098679	-176.4822
58.000000	105.045555	-177.1600
59.000000	105.058060	-177.7665
60.000000	105.049789	-178.5883
60.799999	104.987137	-178.7815
61.500000	104.960403	-178.8217
62.200001	104.942001	-179.1733
63.000000	104.898148	-179.6888
64.000000	104.880478	179.8694
65.000000	104.880516	179.3534
66.000000	104.859001	178.9356
67.000000	104.842842	178.4539
68.000000	104.816429	177.9247
69.000000	104.793213	177.4349
70.000000	104.767128	176.9431
71.000000	104.733269	176.4914
72.000000	104.697403	176.0612
73.000000	104.663635	175.6333
74.000000	104.637634	175.2252
75.000000	104.608131	174.7850
76.199997	104.554787	174.2796
77.500000	104.497673	173.7654
78.800003	104.455040	173.3326
80.000000	104.416199	172.9161
81.199997	104.373199	172.5223
82.500000	104.326935	172.0995
83.800003	104.281891	171.6921
85.000000	104.236969	171.3091
86.199997	104.194702	170.9280
87.500000	104.149117	170.5279
88.500000	104.111046	170.2319
90.000000	104.048897	169.7969
91.199997	103.998604	169.4634
92.500000	103.942818	169.1140
93.800003	103.881172	168.8110
95.000000	103.827026	168.5242
96.199997	103.766846	168.2812
97.500000	103.707153	168.0443
98.800003	103.635094	167.8726
100.000000	103.584320	167.7626
101.500000	103.512024	167.6745
103.000000	103.455811	167.6815
104.400002	103.410957	167.7294
106.000000	103.383881	167.7546
107.500000	103.370438	167.7489
109.000000	103.367310	167.6071
110.599998	103.369034	167.3784
112.000000	103.359482	167.0736
113.800003	103.342163	166.6989
115.000000	103.323029	166.4085
117.199997	103.275192	165.8826
118.000000	103.257370	165.6974
120.599998	103.178238	165.1533
122.000000	103.136688	164.8336
124.099998	103.069366	164.4480
125.000000	103.038704	164.3033
126.500000	102.988121	164.0581
128.000000	102.935921	163.8274
131.500000	102.813774	163.3566
132.000000	102.795715	163.2968
134.000000	102.725006	163.0709
136.000000	102.653648	162.8795
138.000000	102.584915	162.6915
140.000000	102.515251	162.5547
143.000000	102.407295	162.3960
145.000000	102.340874	162.3166
147.500000	102.260422	162.2823
150.000000	102.188896	162.2648
152.500000	102.126526	162.2905
155.000000	102.072708	162.2902
157.500000	102.028862	162.2550
160.000000	101.988205	162.1658
162.500000	101.944633	162.0137
165.000000	101.899109	161.8305
167.500000	101.843193	161.6628
170.000000	101.784805	161.4700
172.500000	101.721321	161.3011
175.000000	101.656815	161.1512
177.500000	101.588600	161.0238
180.000000	101.531960	160.9957
182.500000	101.441505	160.8764
185.000000	101.371132	160.8505
187.500000	101.294632	160.8514
190.000000	101.223541	160.9396
192.500000	101.158119	161.0884
195.000000	101.103348	161.2778
197.500000	101.070351	161.4476
200.000000	101.047012	161.5263
203.000000	101.018204	161.4960
206.000000	100.979164	161.3853
209.000000	100.928223	161.2491
212.000000	100.870438	161.1490
214.000000	100.826500	161.1155
218.000000	100.738983	161.0588
220.000000	100.696289	161.0330
224.000000	100.610062	161.0275
227.000000	100.544586	161.0454
230.000000	100.483704	161.0992
233.000000	100.417542	161.1153
236.000000	100.357391	161.2054
240.000000	100.272263	161.3369
243.000000	100.220161	161.3699
247.000000	100.143562	161.4930
250.000000	100.085083	161.5626
254.000000	100.011322	161.7120
258.000000	99.940063	161.8466
262.000000	99.867706	161.9997
265.000000	99.816254	162.1345
269.000000	99.748878	162.2961
272.000000	99.698799	162.4276
276.000000	99.633278	162.6135
280.000000	99.569580	162.7893
285.000000	99.490829	163.0313
290.000000	99.415283	163.2716
295.000000	99.341064	163.5272
300.000000	99.276939	163.7153
304.000000	99.210854	164.0022
307.000000	99.171471	164.1779
311.000000	99.115845	164.3805
315.000000	99.062729	164.6176
320.000000	98.998047	164.8886
325.000000	98.935722	165.1966
330.000000	98.870232	165.4746
335.000000	98.806679	165.7847
340.000000	98.752357	166.0869
345.000000	98.696953	166.3885
350.000000	98.639427	166.6910
355.000000	98.585472	167.0152
360.000000	98.528320	167.3215
365.000000	98.479546	167.6433
370.000000	98.428406	167.9704
375.000000	98.379395	168.2806
382.000000	98.313416	168.7336
387.000000	98.266174	169.0567
395.000000	98.194046	169.5978
400.000000	98.148796	169.9205
406.000000	98.100159	170.3313
412.000000	98.051361	170.7241
418.000000	98.003708	171.1397
425.000000	97.945259	171.6159
431.000000	97.901199	172.0179
437.000000	97.856300	172.4311
444.000000	97.808060	172.9073
450.000000	97.768066	173.3239
455.000000	97.732841	173.6660
462.000000	97.688461	174.1640
468.000000	97.650978	174.5760
475.000000	97.608711	175.0771
482.000000	97.570282	175.5593
487.000000	97.539032	175.9131
494.000000	97.498978	176.4393
500.000000	97.471718	176.8378
508.000000	97.435333	177.3868
515.000000	97.400940	177.8892
522.000000	97.370743	178.3902
530.000000	97.336777	178.9504
538.000000	97.303474	179.5118
545.000000	97.280434	-179.9945
552.000000	97.254608	-179.5043
560.000000	97.225433	-178.9560
570.000000	97.195045	-178.2682
580.000000	97.163055	-177.5967
590.000000	97.135880	-176.8946
600.000000	97.112465	-176.2136
608.000000	97.088577	-175.6675
615.000000	97.072990	-175.2025
622.000000	97.053719	-174.7338
630.000000	97.035400	-174.1709
640.000000	97.014847	-173.5231
650.000000	96.998558	-172.8198
660.000000	96.989273	-172.1595
670.000000	96.959183	-171.4507
680.000000	96.944595	-170.7647
690.000000	96.933853	-170.0793
700.000000	96.919876	-169.3787
710.000000	96.908592	-168.6847
720.000000	96.900146	-168.0072
730.000000	96.894882	-167.2725
740.000000	96.894119	-166.5659
750.000000	96.885689	-165.8587
762.000000	96.888672	-164.9977
775.000000	96.891876	-164.0654
788.000000	96.900269	-163.1506
800.000000	96.911713	-162.2821
812.000000	96.924156	-161.4096
825.000000	96.944931	-160.4905
838.000000	96.967133	-159.5414
850.000000	96.993942	-158.6908
862.000000	97.024261	-157.8499
875.000000	97.063095	-156.9304
885.000000	97.092133	-156.2392
900.000000	97.144539	-155.0321
912.000000	97.199799	-154.4293
925.000000	97.258820	-153.6127
938.000000	97.326195	-152.8579
950.000000	97.388786	-152.2893
962.000000	97.429306	-151.9588
975.000000	97.348869	-151.5336
988.000000	97.331497	-149.6480
1000.000000	97.458458	-148.4097
1015.000000	97.603279	-147.4094
1030.000000	97.732117	-146.5786
1044.000000	97.847420	-145.8479
1060.000000	97.974533	-145.0850
1075.000000	98.099007	-144.4376
1090.000000	98.219055	-143.8900
1106.000000	98.353127	-143.4775
1120.000000	98.451416	-143.3786
1138.000000	98.417213	-143.5037
1150.000000	98.349586	-142.0913
1172.000000	98.609184	-140.2470
1180.000000	98.697273	-139.9393
1206.000000	98.940109	-139.1986
1220.000000	99.050468	-138.8626
1241.000000	99.210251	-138.4046
1250.000000	99.274506	-138.2072
1265.000000	99.377884	-137.9291
1280.000000	99.476807	-137.6431
1315.000000	99.695168	-137.0338
1320.000000	99.723427	-136.9648
1340.000000	99.843719	-136.6347
1360.000000	99.953438	-136.3260
1380.000000	100.063782	-136.0438
1400.000000	100.166130	-135.7155
1430.000000	100.318176	-135.2641
1450.000000	100.415344	-134.9738
1475.000000	100.535797	-134.6051
1500.000000	100.656212	-134.1750
1525.000000	100.767334	-133.8467
1550.000000	100.881096	-133.4579
1575.000000	100.995949	-133.0494
1600.000000	101.110504	-132.6437
1625.000000	101.228134	-132.2133
1650.000000	101.351669	-131.7631
1675.000000	101.485428	-131.3749
1700.000000	101.621490	-131.0317
1725.000000	101.752701	-130.7444
1750.000000	101.884567	-130.4800
1775.000000	102.009628	-130.2105
1800.000000	102.137444	-129.9570
1825.000000	102.263435	-129.7082
1850.000000	102.390442	-129.4599
1875.000000	102.519524	-129.2178
1900.000000	102.654327	-128.9868
1925.000000	102.790375	-128.7719
1950.000000	102.934013	-128.5776
1975.000000	103.079834	-128.4212
2000.000000	103.228096	-128.3425
2030.000000	103.402710	-128.2863
2060.000000	103.579559	-128.2888
2090.000000	103.757217	-128.3455
2120.000000	103.934616	-128.4629
2140.000000	104.051773	-128.5940
2180.000000	104.284805	-128.9344
2200.000000	104.398727	-129.1532
2240.000000	104.620682	-129.7203
2270.000000	104.777397	-130.2218
2300.000000	104.923584	-130.7988
2330.000000	105.055557	-131.4227
2360.000000	105.177689	-132.0752
2400.000000	105.321426	-132.9866
2430.000000	105.416138	-133.6709
2470.000000	105.526871	-134.5879
2500.000000	105.600189	-135.2818
2540.000000	105.682076	-136.1790
2580.000000	105.753517	-137.0768
2620.000000	105.804970	-137.9261
2650.000000	105.836533	-138.5453
2690.000000	105.868690	-139.3331
2720.000000	105.887222	-139.8869
2760.000000	105.903984	-140.5676
2800.000000	105.913513	-141.1746
2850.000000	105.929787	-141.8400
2900.000000	105.954956	-142.4789
2950.000000	105.982101	-143.2045
3000.000000	105.993446	-144.0131
3040.000000	105.984947	-144.6618
3070.000000	105.971359	-145.1214
3110.000000	105.943069	-145.6989
3150.000000	105.905243	-146.2204
3200.000000	105.846680	-146.7880
3250.000000	105.778000	-147.2620
3300.000000	105.700844	-147.6214
3350.000000	105.619408	-147.8257
3400.000000	105.541969	-147.8821
3450.000000	105.475800	-147.7975
3500.000000	105.428780	-147.6444
3550.000000	105.398117	-147.4841
3600.000000	105.375565	-147.3409
3650.000000	105.359802	-147.2165
3700.000000	105.349617	-147.0649
3750.000000	105.344688	-146.9345
3820.000000	105.350067	-146.7879
3870.000000	105.353554	-146.7233
3950.000000	105.360634	-146.6175
4000.000000	105.365585	-146.5411
4060.000000	105.378136	-146.4356
4120.000000	105.403671	-146.3220
4180.000000	105.440933	-146.2888
4250.000000	105.486015	-146.3759
4310.000000	105.519806	-146.5384
4370.000000	105.546387	-146.7311
4440.000000	105.568031	-146.9992
4500.000000	105.583473	-147.2318
4550.000000	105.592216	-147.4242
4620.000000	105.603706	-147.6897
4680.000000	105.613510	-147.9360
4750.000000	105.625778	-148.2149
4820.000000	105.639732	-148.5510
4870.000000	105.649338	-148.8053
4940.000000	105.662048	-149.2146
5000.000000	105.666901	-149.6328
5080.000000	105.667023	-150.2318
5150.000000	105.657730	-150.7984
5220.000000	105.638084	-151.3972
5300.000000	105.603683	-152.0979
5380.000000	105.554314	-152.8001
5450.000000	105.499603	-153.4118
5520.000000	105.437134	-154.0119
5600.000000	105.353973	-154.6617
5700.000000	105.232666	-155.4383
5800.000000	105.093781	-156.1154
5900.000000	104.937119	-156.6726
6000.000000	104.763222	-157.1244
6080.000000	104.607468	-157.3553
6150.000000	104.451462	-157.4315
6220.000000	104.260536	-157.2665
6300.000000	103.987091	-156.0325
6400.000000	104.227539	-152.1761
6500.000000	104.627350	-153.8564
6600.000000	104.570709	-155.4213
6700.000000	104.491852	-155.8627
6800.000000	104.460434	-155.9865
6900.000000	104.475487	-156.0307
7000.000000	104.529343	-156.0618
7100.000000	104.627518	-156.1810
7200.000000	104.774109	-156.4365
7300.000000	104.977867	-156.9469
7400.000000	105.228203	-157.8504
7500.000000	105.518509	-159.2365
7620.000000	105.906586	-161.6784
7750.000000	106.348831	-165.5460
7880.000000	106.754326	-170.9553
8000.000000	107.025162	-177.4931
8120.000000	107.087410	174.5329
8250.000000	106.786896	164.8264
8380.000000	106.007126	155.3373
8500.000000	104.935089	148.1540
8620.000000	103.686340	143.0479
8750.000000	102.300522	139.8098
8850.000000	101.277443	138.6003
9000.000000	99.871658	138.2924
9120.000000	98.870003	138.9202
9250.000000	97.890640	140.1941
9380.000000	97.018761	141.8672
9500.000000	96.309563	143.7167
9620.000000	95.672478	145.6772
9750.000000	95.062775	147.9415
9880.000000	94.534409	150.2167
10000.000000	94.098618	152.2768
10150.000000	93.623795	154.8580
10300.000000	93.216133	157.4234
10440.000000	92.901535	159.8161
10600.000000	92.617950	162.5489
10750.000000	92.403992	165.0808
10900.000000	92.290497	167.4412
11060.000000	92.237366	169.8536
11200.000000	92.263344	171.8356
11380.000000	92.389175	174.1176
11500.000000	92.548531	175.5153
11720.000000	92.951683	177.6432
11800.000000	93.146912	178.2215
12060.000000	94.006676	179.5082
12200.000000	94.607048	179.6586
12410.000000	95.718307	178.7863
12500.000000	96.294319	177.9597
12650.000000	97.377548	175.5922
12800.000000	98.633743	171.6054
13150.000000	101.742683	153.2299
13200.000000	102.197563	150.2267
13400.000000	104.652779	132.0090
13600.000000	105.982529	98.1582
13800.000000	104.253601	62.6124
14000.000000	100.712753	41.0942
14300.000000	96.008812	35.7367
14500.000000	95.071342	43.1918
14750.000000	97.038200	41.3501
15000.000000	98.342384	21.4953
15250.000000	98.640869	-0.8010
15500.000000	98.937508	-21.6587
15750.000000	99.554962	-46.1334
16000.000000	100.039383	-77.6857
16250.000000	99.442337	-115.2649
16500.000000	97.500015	-151.1228
16750.000000	95.138817	178.4827
17000.000000	92.972603	151.4596
17250.000000	91.208138	124.7277
17500.000000	89.792465	96.2980
17750.000000	88.617554	63.9965
18000.000000	87.103706	25.5386
18250.000000	84.246895	-11.3981
18500.000000	82.748993	-39.7332
18750.000000	82.863213	-79.7141
19000.000000	82.778763	-133.9763
19250.000000	82.069977	159.5483
19500.000000	80.228012	83.0186
19750.000000	77.399551	-4.6174
