* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 21, 2023 6:50:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: (red) R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.955338	-132.3288
20.600000	104.004555	-133.1118
20.900000	104.045731	-133.8148
21.200001	104.085411	-134.5103
21.400000	104.112534	-134.9735
21.799999	104.169464	-135.9013
22.000000	104.199158	-136.3652
22.400000	104.259514	-137.2873
22.700001	104.303833	-137.9661
23.000000	104.346024	-138.6276
23.299999	104.385384	-139.2688
23.600000	104.421791	-139.8895
24.000000	104.466293	-140.6924
24.299999	104.497238	-141.2838
24.700001	104.536011	-142.0676
25.000000	104.563637	-142.6543
25.400000	104.599274	-143.4317
25.799999	104.634567	-144.1953
26.200001	104.670425	-144.9386
26.500000	104.697670	-145.4819
26.900000	104.733459	-146.1886
27.200001	104.758942	-146.7060
27.600000	104.789886	-147.3788
28.000000	104.816856	-148.0332
28.500000	104.845192	-148.8310
29.000000	104.868492	-149.6123
29.500000	104.888672	-150.3732
30.000000	104.909843	-151.1101
30.400000	104.929642	-151.6932
30.700001	104.945572	-152.1366
31.100000	104.965439	-152.7400
31.500000	104.980202	-153.3405
32.000000	104.991753	-154.0370
32.500000	105.005157	-154.6459
33.000000	105.030960	-155.2315
33.500000	105.064575	-155.8954
34.000000	105.087601	-156.6492
34.500000	105.089371	-157.3824
35.000000	105.081055	-157.9804
35.500000	105.083107	-158.4598
36.000000	105.101883	-158.9498
36.500000	105.124580	-159.5344
37.000000	105.137283	-160.1676
37.500000	105.140778	-160.7580
38.200001	105.148407	-161.4935
38.700001	105.156929	-162.0232
39.500000	105.156693	-162.8877
40.000000	105.150154	-163.3733
40.599998	105.148895	-163.9114
41.200001	105.154266	-164.4707
41.799999	105.156593	-165.0490
42.500000	105.155510	-165.6858
43.099998	105.157631	-166.2218
43.700001	105.158165	-166.7817
44.400002	105.151947	-167.3953
45.000000	105.149643	-167.8621
45.500000	105.151077	-168.2678
46.200001	105.144913	-168.8970
46.799999	105.131157	-169.4158
47.500000	105.125031	-169.9749
48.200001	105.123619	-170.5721
48.700001	105.110916	-170.9736
49.400002	105.087227	-171.4147
50.000000	105.077194	-171.8293
50.799999	105.055183	-172.5599
51.500000	105.034340	-172.9952
52.200001	105.070122	-173.2028
53.000000	105.129036	-173.7486
53.799999	105.081284	-174.4252
54.500000	105.003876	-174.7007
55.200001	104.977226	-174.9861
56.000000	104.975876	-175.6144
57.000000	104.950317	-176.2997
58.000000	104.927055	-176.7993
59.000000	104.917618	-177.6067
60.000000	104.876007	-178.4501
60.799999	104.844490	-178.6390
61.500000	104.848228	-178.7445
62.200001	104.841118	-179.0771
63.000000	104.806038	-179.4775
64.000000	104.796204	-179.9155
65.000000	104.778885	179.4975
66.000000	104.736305	179.1118
67.000000	104.717369	178.6700
68.000000	104.694794	178.1287
69.000000	104.670013	177.6597
70.000000	104.640373	177.2152
71.000000	104.608719	176.7885
72.000000	104.579002	176.3377
73.000000	104.543869	175.8875
74.000000	104.507225	175.4979
75.000000	104.473961	175.1197
76.199997	104.428711	174.6629
77.500000	104.386810	174.2036
78.800003	104.339020	173.7812
80.000000	104.301300	173.4374
81.199997	104.260620	173.0307
82.500000	104.220604	172.6255
83.800003	104.176849	172.2192
85.000000	104.136734	171.8466
86.199997	104.093109	171.4849
87.500000	104.048096	171.0925
88.500000	104.009605	170.7976
90.000000	103.945518	170.3967
91.199997	103.896301	170.0960
92.500000	103.841965	169.7866
93.800003	103.788712	169.5439
95.000000	103.741432	169.3275
96.199997	103.691887	169.1086
97.500000	103.632584	168.9138
98.800003	103.581795	168.7483
100.000000	103.535553	168.6195
101.500000	103.476318	168.5844
103.000000	103.446182	168.5541
104.400002	103.428864	168.5791
106.000000	103.416832	168.3648
107.500000	103.424316	168.1500
109.000000	103.419228	167.8196
110.599998	103.397499	167.3754
112.000000	103.369362	167.0019
113.800003	103.320053	166.5363
115.000000	103.286491	166.2551
117.199997	103.214348	165.7652
118.000000	103.189392	165.5965
120.599998	103.101913	165.1430
122.000000	103.050186	164.8732
124.099998	102.979088	164.5451
125.000000	102.947258	164.4017
126.500000	102.893211	164.1913
128.000000	102.842102	163.9987
131.500000	102.719223	163.5907
132.000000	102.701538	163.5308
134.000000	102.628166	163.3191
136.000000	102.560692	163.1389
138.000000	102.486389	162.9786
140.000000	102.416786	162.8250
143.000000	102.312157	162.6624
145.000000	102.241180	162.5830
147.500000	102.158478	162.5116
150.000000	102.076355	162.5144
152.500000	102.006500	162.5402
155.000000	101.946487	162.5518
157.500000	101.896896	162.5842
160.000000	101.852707	162.5115
162.500000	101.807091	162.4446
165.000000	101.759872	162.2803
167.500000	101.700523	162.0878
170.000000	101.634552	161.9282
172.500000	101.565735	161.7661
175.000000	101.487694	161.6362
177.500000	101.404114	161.5536
180.000000	101.330437	161.4435
182.500000	101.242218	161.5826
185.000000	101.155869	161.6656
187.500000	101.079277	161.8007
190.000000	101.008408	162.0515
192.500000	100.946976	162.2620
195.000000	100.895271	162.5395
197.500000	100.852493	162.7970
200.000000	100.823097	163.0449
203.000000	100.796623	163.3008
206.000000	100.781670	163.4449
209.000000	100.773132	163.5215
212.000000	100.750671	163.4677
214.000000	100.735886	163.4442
218.000000	100.689217	163.3241
220.000000	100.665237	163.2585
224.000000	100.604904	163.1488
227.000000	100.554810	163.0966
230.000000	100.500351	163.0673
233.000000	100.447891	163.0349
236.000000	100.393021	163.0223
240.000000	100.329277	163.0420
243.000000	100.261963	163.0638
247.000000	100.189262	163.1241
250.000000	100.133972	163.1761
254.000000	100.061790	163.2680
258.000000	99.993439	163.3905
262.000000	99.924896	163.5092
265.000000	99.871979	163.5521
269.000000	99.802307	163.7699
272.000000	99.755035	163.8873
276.000000	99.690086	164.0605
280.000000	99.628464	164.2117
285.000000	99.552277	164.4540
290.000000	99.477989	164.7042
295.000000	99.404060	164.9592
300.000000	99.319321	165.2629
304.000000	99.281487	165.4370
307.000000	99.240387	165.5739
311.000000	99.187485	165.7889
315.000000	99.136002	166.0309
320.000000	99.074448	166.3044
325.000000	99.013321	166.6004
330.000000	98.954788	166.8959
335.000000	98.899643	167.1779
340.000000	98.840973	167.5007
345.000000	98.785965	167.7976
350.000000	98.733864	168.1014
355.000000	98.681358	168.4175
360.000000	98.632591	168.7310
365.000000	98.580086	169.0479
370.000000	98.534439	169.3718
375.000000	98.487000	169.6829
382.000000	98.424377	170.1462
387.000000	98.379951	170.4789
395.000000	98.312195	171.0016
400.000000	98.273422	171.3371
406.000000	98.224480	171.7340
412.000000	98.177628	172.1337
418.000000	98.128471	172.5447
425.000000	98.082832	173.0026
431.000000	98.041389	173.3991
437.000000	98.001450	173.8239
444.000000	97.954422	174.3017
450.000000	97.916161	174.7175
455.000000	97.885910	175.0551
462.000000	97.845192	175.5505
468.000000	97.810501	175.9516
475.000000	97.773994	176.4409
482.000000	97.737183	176.9199
487.000000	97.710739	177.2645
494.000000	97.677803	177.7673
500.000000	97.650757	178.1788
508.000000	97.615776	178.7360
515.000000	97.585083	179.2378
522.000000	97.559044	179.7289
530.000000	97.528572	-179.7125
538.000000	97.502899	-179.1684
545.000000	97.476944	-178.6722
