* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 30, 2024 7:52:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.890	-147.8735
20.299999	103.915	-148.5952
20.600000	103.940	-149.3113
20.900000	103.966	-150.0316
21.200001	103.990	-150.7577
21.400000	104.004	-151.2414
21.799999	104.026	-152.1896
22.000000	104.035	-152.6465
22.400000	104.051	-153.5174
22.700001	104.063	-154.1354
23.000000	104.077	-154.7342
23.299999	104.093	-155.3263
23.600000	104.109	-155.9212
24.000000	104.129	-156.7218
24.299999	104.141	-157.3199
24.700001	104.152	-158.0976
25.000000	104.158	-158.6587
25.400000	104.166	-159.3778
25.799999	104.174	-160.0760
26.200001	104.181	-160.7655
26.500000	104.185	-161.2791
26.900000	104.189	-161.9549
27.200001	104.190	-162.4518
27.600000	104.189	-163.0986
28.000000	104.187	-163.7285
28.500000	104.184	-164.4933
29.000000	104.179	-165.2312
29.500000	104.175	-165.9454
30.000000	104.173	-166.6509
30.400000	104.172	-167.2182
30.700001	104.170	-167.6456
31.100000	104.167	-168.2126
31.500000	104.162	-168.7694
32.000000	104.155	-169.4472
32.500000	104.148	-170.1080
33.000000	104.139	-170.7546
33.500000	104.130	-171.3852
34.000000	104.121	-171.9997
34.500000	104.110	-172.6010
35.000000	104.097	-173.1862
35.500000	104.084	-173.7481
36.000000	104.070	-174.2884
36.500000	104.058	-174.8216
37.000000	104.045	-175.3586
37.500000	104.029	-175.8913
38.200001	104.003	-176.6010
38.700001	103.986	-177.0862
39.500000	103.959	-177.8675
40.000000	103.939	-178.3533
40.599998	103.914	-178.9060
41.200001	103.892	-179.4347
41.799999	103.873	-179.9770
42.500000	103.846	179.3656
43.099998	103.816	178.8250
43.700001	103.785	178.3323
44.400002	103.753	177.7984
45.000000	103.729	177.3488
45.500000	103.711	176.9653
46.200001	103.684	176.4085
46.799999	103.655	175.9411
47.500000	103.622	175.4508
48.200001	103.597	174.9667
48.700001	103.578	174.5806
49.400002	103.539	174.0493
50.000000	103.502	173.6855
50.799999	103.471	173.2215
51.500000	103.439	172.7049
52.200001	103.385	172.2544
53.000000	103.336	171.9490
53.799999	103.320	171.5307
54.500000	103.290	171.0075
55.200001	103.241	170.5785
56.000000	103.201	170.1977
57.000000	103.161	169.5703
58.000000	103.098	169.0073
59.000000	103.052	168.5547
60.000000	103.006	168.0359
60.799999	102.962	167.6585
61.500000	102.923	167.3554
62.200001	102.886	167.0718
63.000000	102.847	166.7533
64.000000	102.797	166.2886
65.000000	102.736	165.8619
66.000000	102.685	165.4583
67.000000	102.629	165.0193
68.000000	102.574	164.6472
69.000000	102.524	164.2699
70.000000	102.472	163.9159
71.000000	102.421	163.5565
72.000000	102.365	163.2187
73.000000	102.311	162.9126
