* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 28, 2025 6:47:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.590	-143.3875
20.299999	107.637	-144.2333
20.600000	107.677	-145.0807
20.900000	107.711	-145.9139
21.200001	107.738	-146.7174
21.400000	107.754	-147.2306
21.799999	107.782	-148.2004
22.000000	107.796	-148.6594
22.400000	107.826	-149.5394
22.700001	107.850	-150.1829
23.000000	107.876	-150.8256
23.299999	107.903	-151.4752
23.600000	107.928	-152.1339
24.000000	107.956	-153.0185
24.299999	107.974	-153.6760
24.700001	107.994	-154.5308
25.000000	108.007	-155.1519
25.400000	108.024	-155.9588
25.799999	108.041	-156.7555
26.200001	108.057	-157.5521
26.500000	108.068	-158.1474
26.900000	108.079	-158.9271
27.200001	108.085	-159.4951
27.600000	108.094	-160.2305
28.000000	108.104	-160.9534
28.500000	108.116	-161.8606
29.000000	108.123	-162.7650
29.500000	108.122	-163.6272
30.000000	108.121	-164.4216
30.400000	108.123	-165.0251
30.700001	108.127	-165.4780
31.100000	108.133	-166.0984
31.500000	108.137	-166.7368
32.000000	108.133	-167.5291
32.500000	108.124	-168.2788
33.000000	108.114	-168.9819
33.500000	108.106	-169.6639
34.000000	108.099	-170.3486
34.500000	108.090	-171.0379
35.000000	108.078	-171.7176
35.500000	108.063	-172.3730
36.000000	108.048	-173.0018
36.500000	108.036	-173.6176
37.000000	108.025	-174.2385
37.500000	108.011	-174.8663
38.200001	107.987	-175.7238
38.700001	107.969	-176.3111
39.500000	107.938	-177.2364
40.000000	107.915	-177.7913
40.599998	107.890	-178.4047
41.200001	107.872	-179.0195
41.799999	107.853	-179.7068
42.500000	107.811	179.4968
43.099998	107.771	178.9379
43.700001	107.745	178.4028
44.400002	107.711	177.6780
45.000000	107.665	177.1202
45.500000	107.634	176.7649
46.200001	107.619	176.2041
46.799999	107.597	175.5299
47.500000	107.533	174.8317
48.200001	107.483	174.3968
48.700001	107.471	174.0198
49.400002	107.435	173.2832
50.000000	107.373	172.7720
50.799999	107.322	172.3900
51.500000	107.318	171.8270
52.200001	107.273	171.0165
53.000000	107.174	170.4056
53.799999	107.113	170.1040
54.500000	107.084	169.6960
55.200001	107.037	169.2525
56.000000	106.992	168.9036
57.000000	106.962	168.1778
58.000000	106.852	167.4666
59.000000	106.796	167.2143
60.000000	106.749	166.3450
60.799999	106.640	165.9125
61.500000	106.596	165.8272
62.200001	106.585	165.4077
63.000000	106.513	164.7616
64.000000	106.418	164.4844
65.000000	106.382	164.0176
66.000000	106.300	163.4535
67.000000	106.226	163.1082
68.000000	106.157	162.7036
69.000000	106.086	162.3351
70.000000	106.014	161.9295
71.000000	105.931	161.5852
72.000000	105.863	161.2967
73.000000	105.798	160.9218
74.000000	105.722	160.5682
75.000000	105.648	160.2681
76.199997	105.560	159.9303
77.500000	105.466	159.6094
78.800003	105.377	159.2860
80.000000	105.288	158.9769
81.199997	105.196	158.7181
82.500000	105.103	158.4868
83.800003	105.015	158.2204
85.000000	104.930	157.9985
86.199997	104.846	157.7886
87.500000	104.755	157.5980
88.500000	104.686	157.4627
90.000000	104.584	157.2869
91.199997	104.504	157.1706
92.500000	104.419	157.0411
93.800003	104.332	156.9518
95.000000	104.255	156.8804
96.199997	104.180	156.8191
97.500000	104.098	156.7417
98.800003	104.016	156.7002
100.000000	103.944	156.6783
101.500000	103.855	156.6257
103.000000	103.764	156.6422
104.400002	103.687	156.6558
106.000000	103.594	156.7198
107.500000	103.517	156.8279
109.000000	103.442	156.9224
110.599998	103.366	157.0630
112.000000	103.302	157.1750
113.800003	103.227	157.3851
115.000000	103.188	157.5453
117.199997	103.145	157.9156
118.000000	103.147	158.1215
120.599998	103.273	158.7778
122.000000	103.498	158.5900
124.099998	103.956	151.3593
125.000000	103.227	147.6707
126.500000	102.274	150.8312
128.000000	102.094	153.3291
131.500000	102.000	156.0089
132.000000	101.987	156.1948
134.000000	101.927	156.9008
136.000000	101.867	157.4507
138.000000	101.810	157.9079
140.000000	101.747	158.3123
143.000000	101.654	158.9097
145.000000	101.593	159.2962
147.500000	101.514	159.7169
150.000000	101.443	160.1477
152.500000	101.371	160.5737
155.000000	101.300	161.0271
157.500000	101.229	161.4685
160.000000	101.161	161.8788
162.500000	101.103	162.3425
165.000000	101.037	162.7904
167.500000	100.967	163.2338
170.000000	100.901	163.7229
172.500000	100.837	164.2226
175.000000	100.763	164.8163
177.500000	100.704	165.4416
180.000000	100.596	166.2780
182.500000	100.592	167.0883
185.000000	100.587	167.5045
187.500000	100.436	168.7091
190.000000	100.530	170.4471
192.500000	100.701	171.2252
195.000000	100.843	171.3016
