* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 1, 2024 4:41:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.703644	175.9503
20.600000	102.693558	175.2246
20.900000	102.676773	174.5556
21.200001	102.656372	173.8789
21.400000	102.641006	173.4259
21.799999	102.606728	172.5364
22.000000	102.588547	172.1091
22.400000	102.552452	171.2999
22.700001	102.527916	170.7285
23.000000	102.506615	170.1718
23.299999	102.488312	169.6110
23.600000	102.471695	169.0307
24.000000	102.449020	168.2172
24.299999	102.429916	167.5861
24.700001	102.401222	166.7431
25.000000	102.378380	166.1304
25.400000	102.348488	165.3585
25.799999	102.321144	164.6417
26.200001	102.296181	163.9657
26.500000	102.277657	163.4723
26.900000	102.250679	162.8178
27.200001	102.227425	162.3241
27.600000	102.192177	161.6623
28.000000	102.153908	161.0009
28.500000	102.106796	160.1788
29.000000	102.064743	159.3565
29.500000	102.026718	158.5293
30.000000	101.987427	157.7104
30.400000	101.952469	157.0783
30.700001	101.924271	156.6247
31.100000	101.885384	156.0473
31.500000	101.847046	155.4917
32.000000	101.801788	154.8063
32.500000	101.759354	154.1151
33.000000	101.717896	153.4199
33.500000	101.675697	152.7332
34.000000	101.632034	152.0658
34.500000	101.587143	151.4187
35.000000	101.541779	150.7829
35.500000	101.496277	150.1467
36.000000	101.450180	149.5060
36.500000	101.402863	148.8693
37.000000	101.354805	148.2522
37.500000	101.307648	147.6638
38.200001	101.245651	146.8733
38.700001	101.203468	146.3103
39.500000	101.133652	145.3945
40.000000	101.087074	144.8263
40.599998	101.030350	144.1633
41.200001	100.975113	143.5155
41.799999	100.920677	142.8742
42.500000	100.855782	142.1442
43.099998	100.799965	141.5445
43.700001	100.745941	140.9531
44.400002	100.683517	140.2454
45.000000	100.627831	139.6311
45.500000	100.580406	139.1331
46.200001	100.515488	138.4681
46.799999	100.461685	137.9160
47.500000	100.398087	137.2794
48.200001	100.332764	136.6541
48.700001	100.286697	136.2142
49.400002	100.224518	135.5998
50.000000	100.172134	135.0749
50.799999	100.100739	134.3891
51.500000	100.036148	133.8060
52.200001	99.971748	133.2351
53.000000	99.901527	132.5843
53.799999	99.831406	131.9391
54.500000	99.768669	131.4067
55.200001	99.708405	130.8760
56.000000	99.637466	130.2300
57.000000	99.549606	129.5160
58.000000	99.476959	128.8002
59.000000	99.356094	128.0593
60.000000	99.249695	127.5876
60.799999	99.213272	126.9715
61.500000	99.165253	126.3003
62.200001	99.101906	125.8021
63.000000	99.039948	125.3532
64.000000	98.956726	124.6866
65.000000	98.869644	124.0439
66.000000	98.791122	123.4031
67.000000	98.706398	122.8110
68.000000	98.626892	122.2129
69.000000	98.546242	121.5948
70.000000	98.466209	121.0264
71.000000	98.385750	120.4458
72.000000	98.298241	119.8812
73.000000	98.220879	119.3692
74.000000	98.150284	118.7692
75.000000	98.069351	118.2228
76.199997	97.985115	117.6648
77.500000	97.879181	116.9882
78.800003	97.789413	116.2894
80.000000	97.691818	115.7449
81.199997	97.608841	115.3475
82.500000	97.512939	114.5567
83.800003	97.419800	113.8992
85.000000	97.334244	113.3721
86.199997	97.249268	112.8639
87.500000	97.162231	112.2463
88.500000	97.096642	111.8395
90.000000	96.986160	111.2357
91.199997	96.902908	110.7353
92.500000	96.812447	110.1688
93.800003	96.731178	109.6429
95.000000	96.648895	109.2288
96.199997	96.577339	108.7642
97.500000	96.484444	108.2414
98.800003	96.411453	107.7991
100.000000	96.332352	107.3172
101.500000	96.236488	106.7685
103.000000	96.146782	106.2606
104.400002	96.059937	105.7720
106.000000	95.963806	105.2317
107.500000	95.875137	104.7265
109.000000	95.790421	104.2343
110.599998	95.693390	103.7228
112.000000	95.615837	103.3035
113.800003	95.515320	102.7373
115.000000	95.446114	102.3703
117.199997	95.324905	101.7383
118.000000	95.281319	101.5111
120.599998	95.142990	100.7236
122.000000	95.073456	100.3627
124.099998	94.964211	99.7850
125.000000	94.914711	99.5680
126.500000	94.840256	99.1736
128.000000	94.765167	98.7816
131.500000	94.596603	97.9182
132.000000	94.571854	97.8059
134.000000	94.480591	97.3259
136.000000	94.382103	96.8063
138.000000	94.292122	96.3890
140.000000	94.199905	95.9313
143.000000	94.073273	95.2897
145.000000	93.974480	94.8766
147.500000	93.880821	94.3296
150.000000	93.769012	93.8872
152.500000	93.671631	93.4013
155.000000	93.560104	92.9000
157.500000	93.467804	92.3974
160.000000	93.338959	92.1881
162.500000	93.305252	90.3128
165.000000	93.193665	91.2157
167.500000	93.106941	90.7902
170.000000	93.008957	90.4409
172.500000	92.916412	90.0822
175.000000	92.834167	89.7003
177.500000	92.738220	89.3894
180.000000	92.637238	88.9831
182.500000	92.569519	88.7698
185.000000	92.484634	88.5066
187.500000	92.397552	88.3331
190.000000	92.315941	88.1407
192.500000	92.230827	88.0940
195.000000	92.162537	88.0213
197.500000	92.093987	88.0175
200.000000	92.066933	88.1035
203.000000	92.046829	88.1923
206.000000	92.050934	87.9776
209.000000	92.055428	87.6791
212.000000	92.027504	87.1105
214.000000	92.026711	86.7524
218.000000	91.975815	86.2220
220.000000	91.965210	85.8947
224.000000	91.912010	85.3064
227.000000	91.863647	84.8792
230.000000	91.808212	84.4273
233.000000	91.765450	84.0377
236.000000	91.714096	83.6885
240.000000	91.698593	83.3215
243.000000	91.622971	82.8019
247.000000	91.543625	82.4309
250.000000	91.502998	82.1922
254.000000	91.443985	81.7955
258.000000	91.392082	81.4528
262.000000	91.339874	81.1121
265.000000	91.302917	80.8807
269.000000	91.252144	80.5546
272.000000	91.222572	80.3223
276.000000	91.172112	80.0325
280.000000	91.130981	79.7642
285.000000	91.078102	79.4263
290.000000	91.032585	79.0947
295.000000	90.988037	78.8025
300.000000	90.943878	78.6592
304.000000	90.906570	78.2591
307.000000	90.883255	78.0911
311.000000	90.847542	77.9049
315.000000	90.829132	77.7418
320.000000	90.797119	77.4483
325.000000	90.770927	77.1807
330.000000	90.725624	76.9447
335.000000	90.699059	76.7277
340.000000	90.674583	76.5206
345.000000	90.647240	76.3313
350.000000	90.618690	76.1328
355.000000	90.596397	75.9828
360.000000	90.575813	75.8368
365.000000	90.552917	75.6828
370.000000	90.530777	75.5337
375.000000	90.512619	75.4002
382.000000	90.482864	75.2590
387.000000	90.469650	75.1424
395.000000	90.434509	75.0355
400.000000	90.418114	74.9804
