* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 30, 2024 8:04:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.509	-127.2477
20.299999	100.572	-127.9836
20.600000	100.630	-128.7000
20.900000	100.685	-129.3896
21.200001	100.739	-130.0541
21.400000	100.775	-130.4865
21.799999	100.846	-131.3344
22.000000	100.880	-131.7515
22.400000	100.948	-132.5696
22.700001	100.998	-133.1664
23.000000	101.048	-133.7498
23.299999	101.099	-134.3261
23.600000	101.149	-134.9037
24.000000	101.215	-135.6864
24.299999	101.261	-136.2791
24.700001	101.315	-137.0563
25.000000	101.351	-137.6120
25.400000	101.397	-138.3054
25.799999	101.445	-138.9580
26.200001	101.497	-139.6020
26.500000	101.536	-140.0942
26.900000	101.585	-140.7611
27.200001	101.618	-141.2582
27.600000	101.659	-141.9002
28.000000	101.699	-142.5172
28.500000	101.751	-143.2802
29.000000	101.799	-144.0586
29.500000	101.839	-144.8279
30.000000	101.873	-145.5422
30.400000	101.903	-146.0755
30.700001	101.927	-146.4714
31.100000	101.961	-147.0152
31.500000	101.993	-147.5783
32.000000	102.025	-148.2713
32.500000	102.053	-148.9113
33.000000	102.086	-149.5168
33.500000	102.124	-150.1430
34.000000	102.157	-150.8034
34.500000	102.182	-151.4529
35.000000	102.203	-152.0515
35.500000	102.227	-152.6144
36.000000	102.254	-153.1830
36.500000	102.278	-153.7642
37.000000	102.297	-154.3286
37.500000	102.315	-154.8590
38.200001	102.345	-155.5843
38.700001	102.366	-156.1198
39.500000	102.390	-156.9759
40.000000	102.401	-157.4794
40.599998	102.415	-158.0524
41.200001	102.431	-158.6105
41.799999	102.448	-159.1640
42.500000	102.468	-159.8126
43.099998	102.484	-160.3799
43.700001	102.495	-160.9466
44.400002	102.504	-161.5681
45.000000	102.514	-162.0660
45.500000	102.525	-162.4848
46.200001	102.538	-163.0919
46.799999	102.545	-163.5959
47.500000	102.554	-164.1487
48.200001	102.565	-164.7182
48.700001	102.570	-165.1386
49.400002	102.572	-165.7084
50.000000	102.571	-166.1885
50.799999	102.559	-166.7895
51.500000	102.549	-167.1558
52.200001	102.573	-167.4882
53.000000	102.614	-168.2022
53.799999	102.596	-169.0533
54.500000	102.557	-169.4922
55.200001	102.550	-169.7743
56.000000	102.562	-170.2343
57.000000	102.566	-170.8488
58.000000	102.581	-171.5202
59.000000	102.565	-172.2781
60.000000	102.541	-172.8135
60.799999	102.537	-173.2302
61.500000	102.532	-173.6301
62.200001	102.525	-174.0151
63.000000	102.518	-174.4596
64.000000	102.504	-175.0228
65.000000	102.491	-175.5305
66.000000	102.481	-176.0638
67.000000	102.465	-176.5886
68.000000	102.449	-177.0880
69.000000	102.432	-177.5698
70.000000	102.419	-178.0403
71.000000	102.400	-178.5330
72.000000	102.380	-178.9807
73.000000	102.363	-179.4389
74.000000	102.341	-179.8834
75.000000	102.321	179.6790
76.199997	102.292	179.1649
77.500000	102.266	178.6416
78.800003	102.237	178.1026
80.000000	102.210	177.6335
81.199997	102.183	177.1716
82.500000	102.153	176.6826
83.800003	102.123	176.2034
85.000000	102.093	175.7771
86.199997	102.064	175.3677
87.500000	102.034	174.9217
88.500000	102.009	174.5768
90.000000	101.969	174.0844
91.199997	101.938	173.7057
92.500000	101.904	173.3030
93.800003	101.869	172.9103
95.000000	101.836	172.5540
96.199997	101.805	172.2136
97.500000	101.770	171.8333
98.800003	101.734	171.4728
100.000000	101.701	171.1519
101.500000	101.659	170.7500
103.000000	101.615	170.3766
104.400002	101.575	170.0227
106.000000	101.528	169.6461
107.500000	101.485	169.2855
109.000000	101.442	168.9410
110.599998	101.393	168.5764
112.000000	101.353	168.2730
113.800003	101.298	167.8875
115.000000	101.261	167.6475
117.199997	101.193	167.2218
118.000000	101.167	167.0695
120.599998	101.089	166.6018
122.000000	101.039	166.3677
124.099998	100.971	166.0446
125.000000	100.943	165.9035
126.500000	100.894	165.6841
128.000000	100.847	165.4576
131.500000	100.727	165.0061
132.000000	100.709	164.9546
134.000000	100.633	164.7867
136.000000	100.560	164.7577
138.000000	100.503	164.8632
140.000000	100.496	164.9957
143.000000	100.516	164.6207
145.000000	100.495	164.1609
147.500000	100.440	163.6313
150.000000	100.372	163.1966
152.500000	100.301	162.8311
155.000000	100.229	162.5157
157.500000	100.157	162.2291
160.000000	100.086	161.9787
162.500000	100.017	161.7430
165.000000	99.944	161.5257
167.500000	99.878	161.3030
170.000000	99.809	161.1193
172.500000	99.742	160.9407
175.000000	99.676	160.7810
177.500000	99.608	160.6265
180.000000	99.542	160.4821
182.500000	99.478	160.3558
185.000000	99.412	160.2226
187.500000	99.347	160.1200
190.000000	99.284	160.0106
192.500000	99.223	159.9412
195.000000	99.160	159.8450
197.500000	99.098	159.7688
200.000000	99.037	159.6823
203.000000	98.965	159.6152
206.000000	98.892	159.5450
209.000000	98.817	159.4996
212.000000	98.748	159.4456
214.000000	98.702	159.4035
218.000000	98.608	159.3841
220.000000	98.562	159.3626
224.000000	98.471	159.3370
227.000000	98.404	159.3433
230.000000	98.338	159.3448
233.000000	98.272	159.3567
236.000000	98.204	159.3596
240.000000	98.129	159.4064
243.000000	98.058	159.4330
247.000000	97.972	159.4968
250.000000	97.910	159.5570
254.000000	97.827	159.6338
258.000000	97.749	159.7232
262.000000	97.670	159.8316
265.000000	97.612	159.9018
269.000000	97.537	160.0316
272.000000	97.481	160.1308
276.000000	97.409	160.2539
280.000000	97.340	160.4031
285.000000	97.255	160.5690
290.000000	97.170	160.7512
295.000000	97.088	160.9146
300.000000	97.004	161.1165
304.000000	96.939	161.2526
307.000000	96.890	161.3596
311.000000	96.827	161.5089
315.000000	96.761	161.6863
320.000000	96.683	161.8923
325.000000	96.607	162.1200
330.000000	96.526	162.3770
335.000000	96.455	162.6079
340.000000	96.380	162.8617
345.000000	96.307	163.1245
350.000000	96.237	163.3904
355.000000	96.167	163.6677
360.000000	96.100	163.9607
365.000000	96.032	164.2399
370.000000	95.967	164.5359
375.000000	95.902	164.8435
382.000000	95.813	165.2509
387.000000	95.752	165.5876
395.000000	95.658	166.0825
400.000000	95.598	166.3999
406.000000	95.530	166.7946
412.000000	95.464	167.1788
418.000000	95.398	167.5982
425.000000	95.327	168.0713
431.000000	95.260	168.4877
437.000000	95.204	168.9062
444.000000	95.134	169.4149
450.000000	95.075	169.8365
455.000000	95.033	170.1792
462.000000	94.968	170.7032
468.000000	94.914	171.1456
475.000000	94.856	171.6546
482.000000	94.797	172.1691
487.000000	94.756	172.5550
494.000000	94.702	173.0903
500.000000	94.657	173.5356
508.000000	94.600	174.1494
515.000000	94.550	174.7017
522.000000	94.503	175.2424
530.000000	94.449	175.8715
538.000000	94.399	176.4859
545.000000	94.356	177.0481
