* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 30, 2024 8:09:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.106	-128.0196
20.299999	100.167	-128.6843
20.600000	100.229	-129.3533
20.900000	100.289	-130.0365
21.200001	100.345	-130.7278
21.400000	100.379	-131.1834
21.799999	100.441	-132.0543
22.000000	100.470	-132.4623
22.400000	100.530	-133.2292
22.700001	100.580	-133.7843
23.000000	100.632	-134.3466
23.299999	100.684	-134.9302
23.600000	100.733	-135.5337
24.000000	100.791	-136.3390
24.299999	100.828	-136.9161
24.700001	100.876	-137.6309
25.000000	100.915	-138.1401
25.400000	100.973	-138.8269
25.799999	101.031	-139.5667
26.200001	101.080	-140.3553
26.500000	101.106	-140.9441
26.900000	101.130	-141.6647
27.200001	101.145	-142.1312
27.600000	101.170	-142.6668
28.000000	101.209	-143.1635
28.500000	101.272	-143.8429
29.000000	101.332	-144.6303
29.500000	101.375	-145.4520
30.000000	101.406	-146.2076
30.400000	101.430	-146.7510
30.700001	101.450	-147.1401
31.100000	101.480	-147.6589
31.500000	101.508	-148.1869
32.000000	101.540	-148.8408
32.500000	101.569	-149.4642
33.000000	101.600	-150.0701
33.500000	101.631	-150.6890
34.000000	101.657	-151.3171
34.500000	101.677	-151.9159
35.000000	101.696	-152.4642
35.500000	101.721	-152.9899
36.000000	101.749	-153.5381
36.500000	101.775	-154.1194
37.000000	101.794	-154.7045
37.500000	101.809	-155.2639
38.200001	101.828	-156.0028
38.700001	101.842	-156.5146
39.500000	101.861	-157.3177
40.000000	101.871	-157.8037
40.599998	101.881	-158.3517
41.200001	101.893	-158.8499
41.799999	101.915	-159.3391
42.500000	101.945	-159.9895
43.099998	101.960	-160.6011
43.700001	101.964	-161.1682
44.400002	101.971	-161.7481
45.000000	101.982	-162.2508
45.500000	101.988	-162.6823
46.200001	101.991	-163.2383
46.799999	102.000	-163.6800
47.500000	102.014	-164.2617
48.200001	102.011	-164.8653
48.700001	102.002	-165.2117
49.400002	102.004	-165.6118
50.000000	102.018	-166.0237
50.799999	102.018	-166.6581
51.500000	102.008	-167.0906
52.200001	102.018	-167.4703
53.000000	102.037	-168.0669
53.799999	102.033	-168.6974
54.500000	102.026	-169.1526
55.200001	102.025	-169.6054
56.000000	102.020	-170.1218
57.000000	102.018	-170.7047
58.000000	102.011	-171.3384
59.000000	101.996	-171.8287
60.000000	102.003	-172.3183
60.799999	102.002	-172.8071
61.500000	101.991	-173.2061
62.200001	101.980	-173.5803
63.000000	101.966	-173.9965
64.000000	101.951	-174.4907
65.000000	101.937	-175.0176
66.000000	101.918	-175.5069
67.000000	101.907	-175.9936
68.000000	101.892	-176.4851
69.000000	101.880	-176.9471
70.000000	101.863	-177.4254
71.000000	101.847	-177.8352
72.000000	101.836	-178.2973
73.000000	101.810	-178.7320
74.000000	101.792	-179.0947
75.000000	101.777	-179.5251
76.199997	101.750	179.9879
77.500000	101.727	179.4911
78.800003	101.701	178.9693
80.000000	101.675	178.5373
81.199997	101.650	178.0809
82.500000	101.617	177.6417
83.800003	101.589	177.1866
85.000000	101.558	176.7786
86.199997	101.530	176.3736
87.500000	101.495	175.9547
88.500000	101.472	175.6719
90.000000	101.439	175.1793
91.199997	101.403	174.8409
92.500000	101.372	174.5003
93.800003	101.338	174.1336
95.000000	101.307	173.8483
96.199997	101.281	173.5164
97.500000	101.241	173.2004
98.800003	101.216	172.9022
100.000000	101.187	172.5778
101.500000	101.148	172.1960
103.000000	101.111	171.8393
104.400002	101.074	171.4981
106.000000	101.030	171.1527
107.500000	100.993	170.8406
109.000000	100.952	170.5054
110.599998	100.906	170.1911
112.000000	100.868	169.9130
113.800003	100.820	169.5787
115.000000	100.783	169.3768
117.199997	100.720	169.0655
118.000000	100.707	168.9330
120.599998	100.631	168.6028
122.000000	100.604	168.2656
124.099998	100.559	167.9424
125.000000	100.537	167.7898
126.500000	100.500	167.5449
128.000000	100.463	167.3464
131.500000	100.371	166.8161
132.000000	100.359	166.7448
134.000000	100.306	166.4315
136.000000	100.254	166.1716
138.000000	100.197	165.9167
140.000000	100.143	165.7046
143.000000	100.058	165.3688
145.000000	100.006	165.1890
147.500000	99.939	164.9735
150.000000	99.880	164.7953
152.500000	99.824	164.5969
155.000000	99.769	164.3948
157.500000	99.716	164.1674
160.000000	99.656	163.9297
162.500000	99.599	163.7043
165.000000	99.542	163.5087
167.500000	99.475	163.2993
170.000000	99.414	163.1213
172.500000	99.351	162.9600
175.000000	99.290	162.8030
177.500000	99.230	162.6543
180.000000	99.170	162.5508
182.500000	99.107	162.4087
185.000000	99.048	162.3001
187.500000	98.991	162.1939
190.000000	98.928	162.0880
192.500000	98.869	161.9916
195.000000	98.810	161.9227
197.500000	98.751	161.8505
200.000000	98.693	161.7758
203.000000	98.626	161.6922
206.000000	98.558	161.6599
209.000000	98.492	161.6029
212.000000	98.426	161.5558
214.000000	98.383	161.5439
218.000000	98.297	161.5009
220.000000	98.255	161.4965
224.000000	98.169	161.4716
227.000000	98.108	161.4781
230.000000	98.044	161.4455
233.000000	97.979	161.4629
236.000000	97.917	161.4819
240.000000	97.833	161.4400
243.000000	97.774	161.5247
247.000000	97.695	161.5877
250.000000	97.638	161.6385
254.000000	97.559	161.7083
258.000000	97.482	161.8064
262.000000	97.408	161.8930
265.000000	97.349	161.9663
269.000000	97.274	162.0911
272.000000	97.219	162.1760
276.000000	97.149	162.3011
280.000000	97.080	162.4370
285.000000	96.994	162.6018
290.000000	96.908	162.8102
295.000000	96.826	162.9890
300.000000	96.746	163.2238
304.000000	96.683	163.3849
307.000000	96.640	163.5234
311.000000	96.577	163.7036
315.000000	96.517	163.8880
320.000000	96.444	164.1255
325.000000	96.372	164.3661
330.000000	96.304	164.5868
335.000000	96.234	164.8594
340.000000	96.167	165.0957
345.000000	96.100	165.3446
350.000000	96.035	165.6261
355.000000	95.969	165.8973
360.000000	95.906	166.1741
365.000000	95.843	166.4584
370.000000	95.782	166.7493
375.000000	95.719	167.0518
382.000000	95.638	167.4700
387.000000	95.580	167.7938
395.000000	95.487	168.2888
400.000000	95.436	168.6024
406.000000	95.367	168.9946
412.000000	95.306	169.3805
418.000000	95.243	169.7734
425.000000	95.177	170.2775
431.000000	95.118	170.6583
437.000000	95.058	171.0515
444.000000	94.991	171.5609
450.000000	94.938	172.0051
455.000000	94.897	172.3725
462.000000	94.839	172.8773
468.000000	94.788	173.3324
475.000000	94.733	173.8361
482.000000	94.676	174.3378
487.000000	94.639	174.6860
494.000000	94.590	175.1653
500.000000	94.551	175.6287
508.000000	94.492	176.2300
515.000000	94.446	176.7232
522.000000	94.403	177.2574
530.000000	94.354	177.8575
538.000000	94.307	178.4691
545.000000	94.268	179.0055
552.000000	94.229	179.5563
560.000000	94.185	-179.8406
570.000000	94.135	-179.0839
580.000000	94.086	-178.3109
590.000000	94.041	-177.5119
600.000000	94.003	-176.7586
608.000000	93.968	-176.0997
615.000000	93.940	-175.5584
622.000000	93.914	-174.9920
630.000000	93.887	-174.3741
640.000000	93.858	-173.5716
650.000000	93.823	-172.7660
660.000000	93.798	-171.9692
670.000000	93.767	-171.1468
680.000000	93.743	-170.3338
690.000000	93.718	-169.5264
700.000000	93.695	-168.7089
710.000000	93.677	-167.8759
720.000000	93.666	-167.0410
730.000000	93.654	-166.2481
740.000000	93.639	-165.4109
750.000000	93.636	-164.5953
762.000000	93.629	-163.6048
775.000000	93.626	-162.5302
788.000000	93.625	-161.4374
800.000000	93.631	-160.4166
812.000000	93.641	-159.3954
825.000000	93.652	-158.2717
838.000000	93.672	-157.1606
850.000000	93.692	-156.0891
862.000000	93.718	-155.0572
875.000000	93.748	-153.8980
885.000000	93.781	-153.0172
900.000000	93.831	-151.6819
912.000000	93.888	-150.5771
925.000000	93.953	-149.4176
938.000000	94.027	-148.2871
950.000000	94.105	-147.2540
962.000000	94.183	-146.2590
975.000000	94.281	-145.2214
988.000000	94.379	-144.2441
1000.000000	94.470	-143.3601
1015.000000	94.590	-142.3074
1030.000000	94.712	-141.2939
1044.000000	94.834	-140.3432
1060.000000	94.978	-139.3094
1075.000000	95.121	-138.3733
1090.000000	95.276	-137.5225
1106.000000	95.443	-136.7038
1120.000000	95.593	-136.0572
1138.000000	95.786	-135.3067
1150.000000	95.913	-134.8767
1172.000000	96.138	-134.2068
1180.000000	96.217	-133.9668
1206.000000	96.465	-133.3304
1220.000000	96.592	-133.0166
1241.000000	96.778	-132.6056
1250.000000	96.851	-132.4439
1265.000000	96.978	-132.1928
1280.000000	97.097	-131.9294
1315.000000	97.366	-131.3892
1320.000000	97.403	-131.2967
1340.000000	97.551	-131.0333
1360.000000	97.696	-130.7499
1380.000000	97.838	-130.4677
1400.000000	97.976	-130.2129
1430.000000	98.184	-129.8372
1450.000000	98.322	-129.5863
1475.000000	98.493	-129.2983
1500.000000	98.667	-129.0214
1525.000000	98.840	-128.7564
1550.000000	99.014	-128.5226
1575.000000	99.190	-128.3043
1600.000000	99.371	-128.1160
1625.000000	99.549	-127.9606
1650.000000	99.734	-127.8453
1675.000000	99.920	-127.7697
1700.000000	100.109	-127.7415
1725.000000	100.301	-127.7689
1750.000000	100.491	-127.8649
1775.000000	100.683	-128.0271
1800.000000	100.872	-128.2442
1825.000000	101.062	-128.5114
1850.000000	101.251	-128.8553
1875.000000	101.439	-129.2718
1900.000000	101.625	-129.7633
1925.000000	101.806	-130.3450
1950.000000	101.980	-131.0164
1975.000000	102.145	-131.7772
2000.000000	102.299	-132.6172
2030.000000	102.469	-133.7006
2060.000000	102.621	-134.8833
2090.000000	102.751	-136.1341
2120.000000	102.857	-137.4550
2140.000000	102.915	-138.3659
2180.000000	102.990	-140.1929
2200.000000	103.007	-141.1123
2240.000000	103.000	-142.8711
2270.000000	102.957	-144.0864
2300.000000	102.881	-145.1095
2330.000000	102.778	-145.9019
2360.000000	102.660	-146.3408
2400.000000	102.519	-146.2350
2430.000000	102.480	-145.6609
2470.000000	102.584	-144.8271
2500.000000	102.762	-144.7219
2540.000000	103.010	-145.6848
2580.000000	103.150	-147.4650
2620.000000	103.166	-149.3517
2650.000000	103.119	-150.6130
2690.000000	103.016	-151.9828
2720.000000	102.921	-152.8006
2760.000000	102.786	-153.6832
2800.000000	102.644	-154.3457
2850.000000	102.468	-154.8931
2900.000000	102.298	-155.2122
2950.000000	102.138	-155.3240
3000.000000	101.991	-155.2740
3040.000000	101.882	-155.1378
3070.000000	101.806	-154.9719
3110.000000	101.711	-154.6753
3150.000000	101.627	-154.3190
3200.000000	101.538	-153.7501
3250.000000	101.476	-153.1063
3300.000000	101.434	-152.3829
3350.000000	101.419	-151.6247
3400.000000	101.439	-150.8267
3450.000000	101.500	-150.1478
3500.000000	101.582	-149.6903
3550.000000	101.671	-149.4117
3600.000000	101.757	-149.2849
3650.000000	101.841	-149.2585
3700.000000	101.924	-149.3055
3750.000000	102.001	-149.4468
3820.000000	102.108	-149.7315
3870.000000	102.184	-149.9752
3950.000000	102.313	-150.5092
4000.000000	102.399	-150.9656
4060.000000	102.499	-151.6826
4120.000000	102.595	-152.5480
4180.000000	102.678	-153.6104
4250.000000	102.753	-155.0388
4310.000000	102.796	-156.4354
4370.000000	102.812	-157.9861
4440.000000	102.791	-159.9278
4500.000000	102.736	-161.6837
4550.000000	102.659	-163.1859
4620.000000	102.502	-165.2930
4680.000000	102.324	-167.0158
4750.000000	102.066	-168.8963
4820.000000	101.763	-170.5531
4870.000000	101.524	-171.5862
4940.000000	101.161	-172.7897
5000.000000	100.832	-173.5660
5080.000000	100.371	-174.2693
5150.000000	99.959	-174.5409
5220.000000	99.547	-174.5226
5300.000000	99.084	-174.1180
5380.000000	98.639	-173.3749
5450.000000	98.265	-172.4611
5520.000000	97.914	-171.3227
5600.000000	97.537	-169.7549
5700.000000	97.119	-167.4838
5800.000000	96.768	-164.9298
5900.000000	96.469	-162.1613
6000.000000	96.239	-159.2135
6080.000000	96.109	-156.7644
6150.000000	96.028	-154.5872
6220.000000	95.983	-152.4285
6300.000000	95.972	-149.9296
6400.000000	96.029	-146.8910
6500.000000	96.152	-143.9240
6600.000000	96.351	-141.1694
6700.000000	96.603	-138.5938
6800.000000	96.930	-136.2755
6900.000000	97.308	-134.2086
7000.000000	97.755	-132.4157
7100.000000	98.282	-130.9147
7200.000000	98.904	-129.8919
7300.000000	99.615	-129.5121
7400.000000	100.421	-130.0020
7500.000000	101.306	-131.6300
7620.000000	102.436	-135.6338
7750.000000	103.608	-143.1815
7880.000000	104.438	-154.3395
8000.000000	104.621	-166.6535
8120.000000	104.158	-178.5627
8250.000000	103.142	171.1057
8380.000000	101.904	163.9579
8500.000000	100.742	159.6514
8620.000000	99.626	157.0318
8750.000000	98.508	155.7142
8850.000000	97.730	155.5649
9000.000000	96.727	156.3177
9120.000000	96.061	157.4879
9250.000000	95.482	159.1194
9380.000000	95.038	160.9348
9500.000000	94.750	162.6410
9620.000000	94.570	164.2479
9750.000000	94.496	165.7730
9880.000000	94.549	166.9701
10000.000000	94.705	167.5844
10150.000000	95.049	167.5049
10300.000000	95.537	166.0807
10440.000000	96.104	163.2087
10600.000000	96.774	157.2933
10750.000000	97.266	148.8320
10900.000000	97.382	137.8983
11060.000000	96.891	125.4016
11200.000000	95.990	115.5787
11380.000000	94.479	106.0744
11500.000000	93.418	101.7211
11720.000000	91.595	96.5434
11800.000000	90.996	95.3207
12060.000000	89.342	92.8073
12200.000000	88.618	91.9521
12410.000000	87.762	90.7069
12500.000000	87.480	90.3218
12650.000000	87.094	89.2988
12800.000000	86.838	88.1103
13150.000000	86.669	83.6867
13200.000000	86.702	82.9339
13400.000000	86.931	78.8273
13600.000000	87.402	73.6098
13800.000000	88.110	66.3205
14000.000000	88.982	56.2736
14300.000000	90.341	34.1447
14500.000000	90.811	14.3439
14750.000000	90.479	-11.7823
15000.000000	89.600	-35.0042
15250.000000	88.874	-55.6510
15500.000000	88.816	-78.1805
15750.000000	89.292	-109.9738
16000.000000	88.295	-157.7072
16250.000000	83.731	157.9585
16500.000000	78.371	129.0054
16750.000000	73.478	107.9830
17000.000000	68.887	88.0938
17250.000000	64.641	70.4321
17500.000000	59.978	51.1796
17750.000000	54.957	29.2435
18000.000000	49.162	7.0059
18250.000000	25.187	-88.2899
18500.000000	44.275	126.9377
18750.000000	48.729	93.6924
19000.000000	50.654	52.0527
19250.000000	53.492	1.9712
19500.000000	54.057	-66.9805
19750.000000	52.966	-146.8818
