* Measurement data measured by REW V5.40 beta 124
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.310
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 31, 2026, 12:10:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.321	-157.1659
20.299999	106.318	-157.7945
20.600000	106.321	-158.3684
20.900000	106.331	-158.9148
21.200001	106.348	-159.4622
21.400000	106.361	-159.8389
21.799999	106.388	-160.6274
22.000000	106.400	-161.0350
22.400000	106.417	-161.8542
22.700001	106.424	-162.4477
23.000000	106.429	-163.0104
23.299999	106.433	-163.5430
23.600000	106.440	-164.0578
24.000000	106.451	-164.7483
24.299999	106.459	-165.2847
24.700001	106.464	-166.0223
25.000000	106.460	-166.5716
25.400000	106.448	-167.2635
25.799999	106.432	-167.8851
26.200001	106.418	-168.4464
26.500000	106.413	-168.8487
26.900000	106.410	-169.3885
27.200001	106.409	-169.8055
27.600000	106.408	-170.3761
28.000000	106.406	-170.9539
28.500000	106.402	-171.6741
29.000000	106.395	-172.3864
29.500000	106.387	-173.0826
30.000000	106.379	-173.7533
30.400000	106.373	-174.2754
30.700001	106.368	-174.6643
31.100000	106.362	-175.1814
31.500000	106.352	-175.6880
32.000000	106.338	-176.2822
32.500000	106.326	-176.8275
33.000000	106.318	-177.3617
33.500000	106.312	-177.9228
34.000000	106.300	-178.4957
34.500000	106.283	-179.0344
35.000000	106.267	-179.5306
35.500000	106.257	179.9677
36.000000	106.246	179.4220
36.500000	106.228	178.8591
37.000000	106.202	178.3372
37.500000	106.179	177.8668
38.200001	106.156	177.2066
38.700001	106.138	176.7085
39.500000	106.103	175.9674
40.000000	106.086	175.5440
40.599998	106.071	174.9950
41.200001	106.047	174.4111
41.799999	106.011	173.9102
42.500000	105.981	173.4603
43.099998	105.974	173.0257
43.700001	105.961	172.4702
44.400002	105.921	171.8459
45.000000	105.883	171.4398
45.500000	105.863	171.1265
46.200001	105.841	170.6040
46.799999	105.812	170.1147
47.500000	105.771	169.6170
48.200001	105.740	169.1711
48.700001	105.723	168.8237
49.400002	105.695	168.2953
50.000000	105.666	167.8590
50.799999	105.629	167.3306
51.500000	105.601	166.8652
52.200001	105.570	166.3891
53.000000	105.532	165.8998
53.799999	105.503	165.4002
54.500000	105.468	164.8832
55.200001	105.413	164.4453
56.000000	105.362	164.1364
57.000000	105.330	163.5978
58.000000	105.264	162.9918
59.000000	105.215	162.5532
60.000000	105.170	161.9400
60.799999	105.121	161.5258
61.500000	105.090	161.1915
62.200001	105.058	160.7998
63.000000	105.013	160.3946
64.000000	104.966	159.9418
65.000000	104.914	159.4531
66.000000	104.863	159.0247
67.000000	104.812	158.5550
68.000000	104.754	158.1335
69.000000	104.706	157.7008
70.000000	104.650	157.2484
71.000000	104.597	156.8469
72.000000	104.546	156.4321
73.000000	104.495	156.0351
74.000000	104.441	155.6334
75.000000	104.389	155.2717
76.199997	104.321	154.7698
77.500000	104.244	154.4075
78.800003	104.189	153.8834
80.000000	104.115	153.4556
81.199997	104.056	153.0660
82.500000	103.990	152.6589
83.800003	103.929	152.2457
85.000000	103.864	151.8380
86.199997	103.794	151.5108
87.500000	103.726	151.1174
88.500000	103.666	150.8167
90.000000	103.584	150.3822
91.199997	103.515	150.0627
92.500000	103.453	149.7090
93.800003	103.381	149.3677
95.000000	103.325	149.0841
96.199997	103.264	148.7539
97.500000	103.189	148.4315
98.800003	103.120	148.1667
100.000000	103.052	147.8746
101.500000	102.983	147.6317
103.000000	102.903	147.1816
104.400002	102.829	146.9429
106.000000	102.736	146.5766
107.500000	102.667	146.3328
109.000000	102.578	146.0465
110.599998	102.503	145.7562
112.000000	102.439	145.5629
113.800003	102.338	145.1581
115.000000	102.284	144.9630
117.199997	102.160	144.6789
118.000000	102.135	144.5877
120.599998	101.967	144.0423
122.000000	101.939	143.9633
124.099998	101.830	143.6533
125.000000	101.785	143.4748
126.500000	101.712	143.3699
128.000000	101.638	143.0907
131.500000	101.465	142.5768
132.000000	101.431	142.6445
134.000000	101.353	142.3072
136.000000	101.257	142.3719
138.000000	101.145	141.9780
140.000000	101.036	141.7383
143.000000	100.913	141.6453
145.000000	100.805	141.4810
147.500000	100.678	141.3327
150.000000	100.563	141.0888
152.500000	100.432	141.1697
155.000000	100.329	140.9564
157.500000	100.202	140.7169
160.000000	100.080	140.6353
162.500000	99.962	140.6100
165.000000	99.843	140.5974
167.500000	99.709	140.6344
170.000000	99.604	140.6982
172.500000	99.484	140.6163
175.000000	99.363	140.6547
177.500000	99.276	141.2115
180.000000	99.218	141.5238
182.500000	99.175	141.7879
185.000000	99.130	141.6784
187.500000	99.083	141.5233
190.000000	99.004	141.3416
192.500000	98.913	141.1722
195.000000	98.821	141.0612
197.500000	98.735	140.9053
200.000000	98.632	140.8403
203.000000	98.514	140.7885
206.000000	98.401	140.7961
209.000000	98.284	140.8178
212.000000	98.162	140.8798
214.000000	98.086	140.8992
218.000000	97.938	141.0801
220.000000	97.869	141.0981
224.000000	97.716	141.2359
227.000000	97.602	141.4081
230.000000	97.500	141.5392
233.000000	97.395	141.6705
236.000000	97.298	141.8410
240.000000	97.148	142.1165
243.000000	97.059	142.2448
247.000000	96.925	142.5087
250.000000	96.826	142.7036
254.000000	96.702	142.9962
258.000000	96.569	143.2946
262.000000	96.443	143.5724
265.000000	96.350	143.8347
269.000000	96.228	144.1631
272.000000	96.144	144.4359
276.000000	96.019	144.8506
280.000000	95.898	145.2138
285.000000	95.752	145.7238
290.000000	95.617	146.2570
295.000000	95.482	146.7926
300.000000	95.359	147.3961
304.000000	95.253	147.9987
307.000000	95.171	148.2325
311.000000	95.071	148.7698
315.000000	94.977	149.2962
320.000000	94.851	149.9006
325.000000	94.746	150.6134
330.000000	94.643	151.3605
335.000000	94.530	152.0747
340.000000	94.435	152.7689
345.000000	94.349	153.4917
350.000000	94.252	154.2062
355.000000	94.170	154.9063
360.000000	94.088	155.7012
365.000000	94.017	156.4783
370.000000	93.940	157.2310
375.000000	93.876	157.9907
382.000000	93.792	159.0618
387.000000	93.730	159.8920
395.000000	93.659	161.1446
400.000000	93.610	161.9292
406.000000	93.571	162.7984
412.000000	93.527	163.7847
418.000000	93.495	164.6449
425.000000	93.466	165.5431
431.000000	93.454	166.5338
437.000000	93.426	167.3479
444.000000	93.403	168.3178
450.000000	93.409	168.9911
455.000000	93.394	169.7754
462.000000	93.392	170.5143
468.000000	93.392	171.3164
