* Measurement data measured by REW V5.40 beta 124
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.310
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 31, 2026, 12:07:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.215	-157.1673
20.299999	106.219	-157.9092
20.600000	106.218	-158.5995
20.900000	106.216	-159.2343
21.200001	106.219	-159.8302
21.400000	106.224	-160.2216
21.799999	106.238	-161.0272
22.000000	106.244	-161.4486
22.400000	106.248	-162.3119
22.700001	106.242	-162.9384
23.000000	106.230	-163.5095
23.299999	106.217	-164.0060
23.600000	106.209	-164.4341
24.000000	106.214	-164.9566
24.299999	106.229	-165.3671
24.700001	106.254	-165.9933
25.000000	106.270	-166.5204
25.400000	106.280	-167.2563
25.799999	106.277	-167.9606
26.200001	106.267	-168.5894
26.500000	106.260	-169.0127
26.900000	106.256	-169.5416
27.200001	106.257	-169.9329
27.600000	106.260	-170.4678
28.000000	106.262	-171.0208
28.500000	106.260	-171.7206
29.000000	106.253	-172.4006
29.500000	106.243	-173.0455
30.000000	106.234	-173.6657
30.400000	106.228	-174.1606
30.700001	106.224	-174.5361
31.100000	106.215	-175.0385
31.500000	106.204	-175.5294
32.000000	106.189	-176.1131
32.500000	106.177	-176.6758
33.000000	106.166	-177.2452
33.500000	106.153	-177.8203
34.000000	106.137	-178.3697
34.500000	106.124	-178.8858
35.000000	106.117	-179.4139
35.500000	106.108	-179.9955
36.000000	106.089	179.4012
36.500000	106.057	178.8616
37.000000	106.026	178.4315
37.500000	106.007	178.0635
38.200001	106.000	177.4883
38.700001	105.993	177.0038
39.500000	105.966	176.2364
40.000000	105.948	175.8052
40.599998	105.930	175.2960
41.200001	105.911	174.7570
41.799999	105.885	174.2091
42.500000	105.846	173.6173
43.099998	105.813	173.1657
43.700001	105.783	172.7477
44.400002	105.757	172.2645
45.000000	105.739	171.8152
45.500000	105.723	171.4056
46.200001	105.693	170.8214
46.799999	105.663	170.3617
47.500000	105.632	169.8649
48.200001	105.604	169.3722
48.700001	105.584	169.0347
