* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 22, 2024 11:16:09 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: @ SIAS
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.748	-169.1750
20.600000	102.738	-169.5202
20.900000	102.719	-169.8360
21.200001	102.698	-170.1843
21.400000	102.682	-170.4474
21.799999	102.646	-171.0439
22.000000	102.625	-171.3634
22.400000	102.580	-171.9937
22.700001	102.548	-172.4100
23.000000	102.526	-172.7572
23.299999	102.518	-173.0441
23.600000	102.527	-173.3016
24.000000	102.559	-173.6660
24.299999	102.587	-173.9821
24.700001	102.615	-174.4486
25.000000	102.622	-174.7940
25.400000	102.614	-175.1938
25.799999	102.594	-175.5020
26.200001	102.575	-175.7571
26.500000	102.565	-175.9579
26.900000	102.556	-176.2873
27.200001	102.549	-176.5912
27.600000	102.535	-177.0462
28.000000	102.512	-177.5016
28.500000	102.475	-177.9778
29.000000	102.445	-178.3098
29.500000	102.435	-178.5619
30.000000	102.442	-178.8557
30.400000	102.451	-179.1618
30.700001	102.454	-179.4203
31.100000	102.449	-179.7642
31.500000	102.436	179.9312
32.000000	102.418	179.6077
32.500000	102.402	179.2883
33.000000	102.381	178.9260
33.500000	102.352	178.5551
34.000000	102.320	178.2462
34.500000	102.301	178.0142
35.000000	102.296	177.7999
35.500000	102.297	177.5416
36.000000	102.288	177.2379
36.500000	102.260	176.9388
37.000000	102.220	176.6898
37.500000	102.186	176.4818
38.200001	102.172	176.1311
38.700001	102.180	175.7709
39.500000	102.191	175.1425
40.000000	102.184	174.8730
40.599998	102.169	174.7154
41.200001	102.150	174.6094
41.799999	102.128	174.4172
42.500000	102.099	174.0304
43.099998	102.076	173.6146
43.700001	102.057	173.2327
44.400002	102.044	172.9396
45.000000	102.043	172.7687
45.500000	102.038	172.6034
46.200001	102.012	172.3236
46.799999	101.977	172.1017
47.500000	101.946	171.8744
48.200001	101.930	171.6227
48.700001	101.924	171.4208
49.400002	101.914	171.1162
50.000000	101.901	170.8432
50.799999	101.876	170.5063
51.500000	101.858	170.2269
52.200001	101.840	169.9078
53.000000	101.809	169.5679
53.799999	101.784	169.3122
54.500000	101.771	169.0247
55.200001	101.743	168.6765
56.000000	101.699	168.4289
57.000000	101.686	168.2778
58.000000	101.682	167.9063
59.000000	101.645	167.6115
60.000000	101.628	167.3454
60.799999	101.608	166.9959
61.500000	101.580	166.7858
62.200001	101.563	166.6468
63.000000	101.543	166.4039
64.000000	101.504	166.1213
65.000000	101.486	165.7905
66.000000	101.446	165.3742
67.000000	101.412	165.1262
68.000000	101.379	164.7869
69.000000	101.332	164.7042
70.000000	101.331	164.4977
71.000000	101.295	164.0351
72.000000	101.266	163.8509
73.000000	101.251	163.5594
74.000000	101.202	163.3370
75.000000	101.175	163.1222
76.199997	101.135	162.7460
77.500000	101.092	162.4875
78.800003	101.064	162.1678
80.000000	101.046	161.7397
81.199997	100.992	161.5340
82.500000	100.949	161.2962
83.800003	100.896	161.0350
85.000000	100.866	160.7870
86.199997	100.817	160.4806
87.500000	100.777	160.2181
88.500000	100.752	159.9811
90.000000	100.714	159.7480
91.199997	100.669	159.5147
92.500000	100.624	159.4036
93.800003	100.572	158.9592
95.000000	100.548	158.7901
96.199997	100.517	158.5978
97.500000	100.461	158.4130
98.800003	100.400	158.1146
100.000000	100.394	158.0260
101.500000	100.314	157.6661
103.000000	100.301	157.4977
104.400002	100.240	157.2384
106.000000	100.178	156.9247
107.500000	100.138	156.8537
109.000000	100.076	156.5064
110.599998	100.041	156.3031
112.000000	99.989	156.0981
