* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 22, 2024 11:18:00 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.767	-169.6557
20.600000	103.755	-169.9098
20.900000	103.756	-170.1181
21.200001	103.771	-170.4264
21.400000	103.783	-170.7328
21.799999	103.790	-171.5818
22.000000	103.777	-172.0839
22.400000	103.712	-173.0911
22.700001	103.639	-173.7018
23.000000	103.565	-174.1210
23.299999	103.508	-174.3667
23.600000	103.481	-174.5265
24.000000	103.492	-174.8086
24.299999	103.519	-175.1635
24.700001	103.548	-175.8162
25.000000	103.552	-176.3420
25.400000	103.534	-176.9394
25.799999	103.507	-177.3346
26.200001	103.491	-177.5909
26.500000	103.489	-177.7808
26.900000	103.491	-178.1202
27.200001	103.487	-178.4493
27.600000	103.467	-178.9269
28.000000	103.436	-179.3667
28.500000	103.400	-179.8005
29.000000	103.385	179.8286
29.500000	103.387	179.4236
30.000000	103.384	178.9882
30.400000	103.373	178.6719
30.700001	103.362	178.4711
31.100000	103.348	178.2353
31.500000	103.337	177.9819
32.000000	103.322	177.5679
32.500000	103.292	177.0639
33.000000	103.248	176.5995
33.500000	103.205	176.2709
34.000000	103.184	176.0241
34.500000	103.181	175.7206
35.000000	103.171	175.3069
35.500000	103.139	174.8777
36.000000	103.094	174.5560
36.500000	103.059	174.3423
37.000000	103.045	174.1208
37.500000	103.039	173.8113
38.200001	103.016	173.3295
38.700001	102.989	173.0567
39.500000	102.947	172.6920
40.000000	102.923	172.4214
40.599998	102.894	172.0665
41.200001	102.876	171.7267
41.799999	102.872	171.3797
42.500000	102.865	170.9479
43.099998	102.838	170.6388
43.700001	102.800	170.4328
44.400002	102.758	170.2115
45.000000	102.724	169.9503
45.500000	102.697	169.7034
46.200001	102.668	169.3689
46.799999	102.654	169.0799
47.500000	102.636	168.7246
48.200001	102.606	168.4202
48.700001	102.582	168.2581
49.400002	102.552	168.0530
50.000000	102.528	167.8440
50.799999	102.494	167.5188
51.500000	102.467	167.2295
52.200001	102.446	166.9414
53.000000	102.423	166.6020
53.799999	102.387	166.3036
54.500000	102.352	166.1102
55.200001	102.325	165.8997
56.000000	102.298	165.5624
57.000000	102.259	165.1703
58.000000	102.229	164.8660
59.000000	102.194	164.5041
60.000000	102.148	164.1872
60.799999	102.118	163.9849
61.500000	102.096	163.7790
62.200001	102.068	163.5432
63.000000	102.033	163.3204
64.000000	102.007	163.0712
65.000000	101.975	162.6999
66.000000	101.921	162.4144
67.000000	101.890	162.1500
68.000000	101.860	161.8130
69.000000	101.825	161.5942
70.000000	101.785	161.3328
71.000000	101.734	161.0900
72.000000	101.709	160.8276
73.000000	101.670	160.4984
74.000000	101.631	160.3447
75.000000	101.606	160.0475
76.199997	101.544	159.7681
77.500000	101.529	159.6125
78.800003	101.471	159.1615
80.000000	101.409	159.0507
81.199997	101.386	158.7535
82.500000	101.331	158.4841
83.800003	101.289	158.2523
85.000000	101.224	157.8820
86.199997	101.185	157.6960
87.500000	101.147	157.3700
88.500000	101.112	157.1544
90.000000	101.057	156.9345
91.199997	101.026	156.7503
92.500000	100.946	156.4608
93.800003	100.920	156.2916
95.000000	100.871	156.0512
96.199997	100.836	155.8442
97.500000	100.783	155.5946
98.800003	100.751	155.5010
100.000000	100.697	155.2406
101.500000	100.639	155.0090
103.000000	100.586	154.8021
104.400002	100.544	154.5453
106.000000	100.475	154.4236
107.500000	100.430	154.1405
109.000000	100.372	153.9734
110.599998	100.310	153.7817
112.000000	100.274	153.6393
113.800003	100.207	153.3853
115.000000	100.162	153.2501
117.199997	100.094	153.0551
118.000000	100.058	152.9335
120.599998	99.955	152.6357
122.000000	99.923	152.4837
124.099998	99.844	152.3504
125.000000	99.822	152.1896
126.500000	99.776	152.0964
128.000000	99.718	151.8215
131.500000	99.598	151.7285
132.000000	99.584	151.6107
134.000000	99.519	151.4297
136.000000	99.439	151.3628
138.000000	99.388	151.1804
140.000000	99.315	150.9704
143.000000	99.221	150.8731
145.000000	99.149	150.7125
147.500000	99.079	150.4990
150.000000	98.998	150.4694
152.500000	98.915	150.3915
155.000000	98.836	150.2058
157.500000	98.763	150.0486
160.000000	98.686	150.0870
162.500000	98.617	149.9737
165.000000	98.527	149.9164
167.500000	98.469	149.8564
170.000000	98.372	149.7333
172.500000	98.301	149.7415
175.000000	98.235	149.6736
177.500000	98.156	149.6206
180.000000	98.088	149.5667
182.500000	98.028	149.6663
185.000000	97.947	149.5116
187.500000	97.885	149.5190
190.000000	97.816	149.5500
192.500000	97.752	149.6505
195.000000	97.669	149.6046
197.500000	97.608	149.5013
200.000000	97.535	149.6182
203.000000	97.465	149.6621
206.000000	97.395	149.6544
209.000000	97.316	149.7708
212.000000	97.242	149.7422
214.000000	97.182	149.8246
218.000000	97.088	149.9111
220.000000	97.043	149.8871
224.000000	96.952	150.0660
227.000000	96.872	150.0381
230.000000	96.821	150.2052
233.000000	96.734	150.3242
236.000000	96.681	150.3965
240.000000	96.584	150.5376
243.000000	96.520	150.6865
247.000000	96.441	150.8246
250.000000	96.392	150.9220
254.000000	96.282	151.0362
258.000000	96.213	151.1948
262.000000	96.144	151.4518
265.000000	96.058	151.6159
269.000000	95.975	151.6393
272.000000	95.955	151.7830
276.000000	95.845	152.0064
280.000000	95.819	152.2427
285.000000	95.733	152.6483
290.000000	95.626	152.7803
295.000000	95.520	153.1678
300.000000	95.447	153.3477
304.000000	95.404	153.5539
307.000000	95.341	153.7085
311.000000	95.289	153.9388
315.000000	95.209	154.0822
320.000000	95.151	154.3674
325.000000	95.061	154.6633
330.000000	94.996	154.9036
335.000000	94.908	155.3229
340.000000	94.854	155.6040
345.000000	94.780	155.9064
350.000000	94.708	156.1616
355.000000	94.638	156.4623
360.000000	94.578	156.7772
365.000000	94.504	157.0475
370.000000	94.449	157.3097
375.000000	94.400	157.6799
382.000000	94.305	158.1599
387.000000	94.250	158.4559
395.000000	94.173	159.0014
400.000000	94.107	159.2739
406.000000	94.041	159.6520
412.000000	93.985	159.9564
418.000000	93.913	160.4396
425.000000	93.856	160.9525
431.000000	93.768	161.2637
437.000000	93.714	161.6539
444.000000	93.660	162.0917
450.000000	93.583	162.6608
455.000000	93.560	162.8801
462.000000	93.467	163.3263
468.000000	93.425	163.9239
475.000000	93.375	164.1313
482.000000	93.323	164.6283
487.000000	93.280	164.8966
494.000000	93.184	165.6185
500.000000	93.142	166.0661
508.000000	93.076	166.5309
515.000000	93.016	167.2294
522.000000	92.972	167.8002
530.000000	92.918	168.4561
538.000000	92.873	169.1389
545.000000	92.846	169.9308
552.000000	92.811	170.5105
560.000000	92.796	171.0252
570.000000	92.744	171.7265
580.000000	92.723	172.4355
590.000000	92.688	173.0718
600.000000	92.634	173.7170
608.000000	92.606	174.4583
615.000000	92.592	174.9136
622.000000	92.556	175.3074
630.000000	92.486	175.9045
640.000000	92.491	176.5658
650.000000	92.430	177.3736
660.000000	92.409	178.0577
670.000000	92.385	178.7193
680.000000	92.344	179.5350
690.000000	92.323	-179.7939
700.000000	92.271	-178.8623
710.000000	92.289	-178.2910
720.000000	92.238	-177.4337
730.000000	92.226	-176.7019
740.000000	92.214	-175.8147
750.000000	92.200	-175.1521
762.000000	92.179	-174.1872
775.000000	92.180	-173.0997
788.000000	92.187	-172.0644
800.000000	92.170	-171.0292
812.000000	92.177	-170.1816
825.000000	92.186	-169.0831
838.000000	92.200	-168.0775
850.000000	92.214	-166.9259
862.000000	92.237	-165.9327
875.000000	92.269	-164.9594
885.000000	92.311	-164.0694
900.000000	92.347	-162.8200
912.000000	92.396	-161.9271
925.000000	92.458	-160.8172
938.000000	92.520	-159.8314
950.000000	92.578	-158.8835
962.000000	92.647	-157.9141
975.000000	92.738	-156.9611
988.000000	92.826	-156.0047
1000.000000	92.908	-155.1782
1015.000000	93.021	-154.1154
1030.000000	93.136	-153.0983
1044.000000	93.257	-152.2311
1060.000000	93.400	-151.2366
1075.000000	93.533	-150.4026
1090.000000	93.677	-149.6181
1106.000000	93.837	-148.8120
1120.000000	93.966	-148.1820
1138.000000	94.138	-147.4715
1150.000000	94.258	-147.0645
1172.000000	94.484	-146.2359
1180.000000	94.564	-146.0403
1206.000000	94.823	-145.3252
1220.000000	94.955	-145.0586
1241.000000	95.158	-144.6681
1250.000000	95.250	-144.4745
1265.000000	95.382	-144.3025
1280.000000	95.524	-144.0970
1315.000000	95.826	-143.8089
1320.000000	95.871	-143.7471
1340.000000	96.032	-143.6135
1360.000000	96.194	-143.5943
1380.000000	96.348	-143.5471
1400.000000	96.492	-143.4694
1430.000000	96.710	-143.4705
1450.000000	96.843	-143.4897
1475.000000	97.018	-143.5643
1500.000000	97.174	-143.6613
1525.000000	97.336	-143.7020
1550.000000	97.478	-143.7497
1575.000000	97.635	-143.9012
1600.000000	97.778	-143.9696
1625.000000	97.917	-144.0737
1650.000000	98.051	-144.2394
