* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 20, 2025 2:03:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.463	-125.1361
20.600000	103.536	-125.8270
20.900000	103.603	-126.4315
21.200001	103.668	-127.0333
21.400000	103.710	-127.4423
21.799999	103.791	-128.2779
22.000000	103.828	-128.6969
22.400000	103.895	-129.5125
22.700001	103.941	-130.0853
23.000000	103.986	-130.6222
23.299999	104.031	-131.1342
23.600000	104.076	-131.6399
24.000000	104.136	-132.3324
24.299999	104.177	-132.8704
24.700001	104.224	-133.5978
25.000000	104.254	-134.1329
25.400000	104.292	-134.8166
25.799999	104.333	-135.4704
26.200001	104.377	-136.1147
26.500000	104.412	-136.6006
26.900000	104.458	-137.2475
27.200001	104.491	-137.7219
27.600000	104.533	-138.3259
28.000000	104.574	-138.8952
28.500000	104.625	-139.5775
29.000000	104.672	-140.2532
29.500000	104.714	-140.9223
30.000000	104.752	-141.5690
30.400000	104.782	-142.0695
30.700001	104.805	-142.4406
31.100000	104.836	-142.9350
31.500000	104.865	-143.4272
32.000000	104.899	-144.0235
32.500000	104.930	-144.5858
33.000000	104.962	-145.1242
33.500000	104.994	-145.6607
34.000000	105.026	-146.2044
34.500000	105.054	-146.7441
35.000000	105.079	-147.2649
35.500000	105.104	-147.7631
36.000000	105.128	-148.2440
36.500000	105.152	-148.7124
37.000000	105.175	-149.1703
37.500000	105.198	-149.6206
38.200001	105.229	-150.2433
38.700001	105.250	-150.6808
39.500000	105.281	-151.3570
40.000000	105.299	-151.7634
40.599998	105.320	-152.2372
41.200001	105.341	-152.6974
41.799999	105.360	-153.1445
42.500000	105.382	-153.6514
43.099998	105.400	-154.0753
43.700001	105.417	-154.4906
44.400002	105.437	-154.9687
45.000000	105.453	-155.3775
45.500000	105.466	-155.7156
46.200001	105.482	-156.1740
46.799999	105.495	-156.5465
47.500000	105.510	-156.9661
48.200001	105.526	-157.3830
48.700001	105.536	-157.6770
49.400002	105.549	-158.0748
50.000000	105.560	-158.4057
50.799999	105.575	-158.8460
51.500000	105.586	-159.2283
52.200001	105.597	-159.5988
53.000000	105.610	-160.0100
53.799999	105.621	-160.4121
54.500000	105.629	-160.7496
55.200001	105.638	-161.0748
56.000000	105.650	-161.4495
57.000000	105.664	-161.9210
58.000000	105.674	-162.3521
59.000000	105.683	-162.7720
60.000000	105.692	-163.2046
60.799999	105.701	-163.5414
61.500000	105.709	-163.8288
62.200001	105.713	-164.1019
63.000000	105.718	-164.3920
64.000000	105.726	-164.7626
65.000000	105.733	-165.1475
66.000000	105.739	-165.4916
67.000000	105.746	-165.8289
68.000000	105.751	-166.1834
69.000000	105.755	-166.5172
70.000000	105.761	-166.8348
71.000000	105.764	-167.1498
72.000000	105.765	-167.4619
73.000000	105.770	-167.7833
74.000000	105.773	-168.0955
75.000000	105.778	-168.3702
76.199997	105.781	-168.7072
77.500000	105.781	-169.0677
78.800003	105.784	-169.4330
80.000000	105.787	-169.7460
81.199997	105.789	-170.0672
82.500000	105.789	-170.3930
83.800003	105.790	-170.7103
85.000000	105.789	-170.9962
86.199997	105.790	-171.2744
87.500000	105.789	-171.5809
88.500000	105.789	-171.7980
90.000000	105.791	-172.1289
91.199997	105.788	-172.3845
92.500000	105.786	-172.6604
93.800003	105.785	-172.9390
95.000000	105.783	-173.1756
96.199997	105.780	-173.4059
97.500000	105.778	-173.6712
98.800003	105.776	-173.9198
100.000000	105.774	-174.1361
101.500000	105.768	-174.4141
103.000000	105.766	-174.6917
104.400002	105.764	-174.9463
106.000000	105.759	-175.2180
107.500000	105.753	-175.4707
109.000000	105.751	-175.7274
110.599998	105.743	-175.9866
112.000000	105.738	-176.2162
113.800003	105.736	-176.4930
115.000000	105.729	-176.6787
117.199997	105.721	-177.0099
118.000000	105.716	-177.1163
120.599998	105.704	-177.5057
122.000000	105.702	-177.6937
124.099998	105.694	-177.9741
125.000000	105.689	-178.1006
126.500000	105.682	-178.2892
128.000000	105.673	-178.5065
131.500000	105.656	-178.9410
132.000000	105.654	-178.9988
134.000000	105.646	-179.2491
136.000000	105.636	-179.4883
138.000000	105.625	-179.7237
140.000000	105.613	-179.9596
143.000000	105.599	179.7032
145.000000	105.587	179.4769
147.500000	105.572	179.2129
150.000000	105.558	178.9512
152.500000	105.543	178.6910
155.000000	105.528	178.4525
157.500000	105.514	178.1957
160.000000	105.500	177.9506
162.500000	105.484	177.7148
165.000000	105.467	177.4930
167.500000	105.450	177.2659
170.000000	105.434	177.0479
172.500000	105.416	176.8246
175.000000	105.398	176.6120
177.500000	105.382	176.4081
180.000000	105.364	176.2006
182.500000	105.344	176.0104
185.000000	105.326	175.8150
187.500000	105.308	175.6308
190.000000	105.288	175.4453
192.500000	105.268	175.2638
195.000000	105.246	175.1008
197.500000	105.225	174.9339
200.000000	105.203	174.7803
203.000000	105.176	174.6061
206.000000	105.150	174.4458
209.000000	105.124	174.2858
