* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 20, 2025 2:05:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.476	-132.1329
20.600000	104.533	-132.8203
20.900000	104.579	-133.4437
21.200001	104.621	-134.0639
21.400000	104.647	-134.4745
21.799999	104.699	-135.2770
22.000000	104.725	-135.6639
22.400000	104.778	-136.4046
22.700001	104.820	-136.9345
23.000000	104.863	-137.4508
23.299999	104.905	-137.9612
23.600000	104.944	-138.4699
24.000000	104.988	-139.1433
24.299999	105.016	-139.6385
24.700001	105.049	-140.2792
25.000000	105.073	-140.7460
25.400000	105.106	-141.3577
25.799999	105.141	-141.9655
26.200001	105.177	-142.5683
26.500000	105.204	-143.0113
26.900000	105.238	-143.5813
27.200001	105.263	-143.9912
27.600000	105.295	-144.5181
28.000000	105.325	-145.0303
28.500000	105.359	-145.6588
29.000000	105.390	-146.2750
29.500000	105.419	-146.8781
30.000000	105.448	-147.4710
30.400000	105.472	-147.9377
30.700001	105.489	-148.2808
31.100000	105.511	-148.7255
31.500000	105.533	-149.1552
32.000000	105.560	-149.6794
32.500000	105.587	-150.1993
33.000000	105.610	-150.7123
33.500000	105.630	-151.2056
34.000000	105.650	-151.6747
34.500000	105.670	-152.1303
35.000000	105.689	-152.5832
35.500000	105.707	-153.0297
36.000000	105.724	-153.4614
36.500000	105.741	-153.8813
37.000000	105.760	-154.3009
37.500000	105.776	-154.7198
38.200001	105.795	-155.2741
38.700001	105.809	-155.6402
39.500000	105.834	-156.2264
40.000000	105.849	-156.6109
40.599998	105.863	-157.0639
41.200001	105.876	-157.4816
41.799999	105.890	-157.8748
42.500000	105.907	-158.3305
43.099998	105.918	-158.7166
43.700001	105.928	-159.0900
44.400002	105.942	-159.5158
45.000000	105.954	-159.8787
45.500000	105.965	-160.1779
46.200001	105.977	-160.5854
46.799999	105.986	-160.9206
47.500000	105.996	-161.3016
48.200001	106.006	-161.6857
48.700001	106.012	-161.9603
49.400002	106.019	-162.3263
50.000000	106.027	-162.6186
50.799999	106.038	-162.9998
51.500000	106.046	-163.3371
52.200001	106.054	-163.6710
53.000000	106.062	-164.0445
53.799999	106.069	-164.4044
54.500000	106.076	-164.7079
55.200001	106.082	-165.0134
56.000000	106.089	-165.3636
57.000000	106.095	-165.7690
58.000000	106.102	-166.1496
59.000000	106.107	-166.5466
60.000000	106.112	-166.9566
60.799999	106.116	-167.2621
61.500000	106.120	-167.5006
62.200001	106.123	-167.7233
63.000000	106.126	-167.9790
64.000000	106.131	-168.3243
65.000000	106.135	-168.6814
66.000000	106.137	-168.9986
67.000000	106.141	-169.3004
68.000000	106.144	-169.6119
69.000000	106.145	-169.9178
70.000000	106.146	-170.2068
71.000000	106.148	-170.4965
72.000000	106.148	-170.7953
73.000000	106.147	-171.0623
74.000000	106.150	-171.3231
