* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 20, 2024 10:23:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.560	22.2859
20.600000	105.569	21.7563
20.900000	105.573	21.2562
21.200001	105.575	20.7426
21.400000	105.577	20.3948
21.799999	105.583	19.7029
22.000000	105.588	19.3674
22.400000	105.599	18.7321
22.700001	105.608	18.2930
23.000000	105.618	17.8824
23.299999	105.627	17.4921
23.600000	105.635	17.1127
24.000000	105.641	16.6117
24.299999	105.644	16.2353
24.700001	105.646	15.7310
25.000000	105.646	15.3518
25.400000	105.647	14.8480
25.799999	105.649	14.3530
26.200001	105.652	13.8766
26.500000	105.654	13.5358
26.900000	105.659	13.1027
27.200001	105.663	12.7892
27.600000	105.668	12.3761
28.000000	105.674	11.9607
28.500000	105.678	11.4377
29.000000	105.679	10.9219
29.500000	105.678	10.4224
30.000000	105.677	9.9394
30.400000	105.676	9.5636
30.700001	105.676	9.2886
31.100000	105.676	8.9315
31.500000	105.676	8.5826
32.000000	105.678	8.1473
32.500000	105.678	7.7023
33.000000	105.673	7.2562
33.500000	105.662	6.8374
34.000000	105.651	6.4681
34.500000	105.646	6.1336
35.000000	105.649	5.7858
35.500000	105.655	5.3898
36.000000	105.655	4.9616
36.500000	105.646	4.5499
37.000000	105.634	4.1838
37.500000	105.624	3.8481
38.200001	105.615	3.3698
38.700001	105.609	3.0173
39.500000	105.597	2.4793
40.000000	105.589	2.1600
40.599998	105.580	1.7797
41.200001	105.572	1.4024
41.799999	105.564	1.0230
42.500000	105.555	0.5695
43.099998	105.543	0.1999
43.700001	105.530	-0.1257
44.400002	105.517	-0.4921
45.000000	105.505	-0.8327
45.500000	105.492	-1.1193
46.200001	105.475	-1.5009
46.799999	105.467	-1.8345
47.500000	105.456	-2.2393
48.200001	105.442	-2.6060
48.700001	105.434	-2.8479
49.400002	105.419	-3.2047
50.000000	105.399	-3.5027
50.799999	105.376	-3.8368
51.500000	105.368	-4.1573
52.200001	105.357	-4.5418
53.000000	105.333	-4.9254
53.799999	105.316	-5.2620
54.500000	105.299	-5.6014
