* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 20, 2024 10:20:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.758	21.1655
20.600000	104.770	20.7092
20.900000	104.774	20.2813
21.200001	104.776	19.8323
21.400000	104.778	19.5198
21.799999	104.780	18.8780
22.000000	104.782	18.5583
22.400000	104.789	17.9406
22.700001	104.796	17.5089
23.000000	104.804	17.1060
23.299999	104.814	16.7275
23.600000	104.822	16.3663
24.000000	104.831	15.9015
24.299999	104.833	15.5612
24.700001	104.833	15.1156
25.000000	104.832	14.7852
25.400000	104.833	14.3440
25.799999	104.838	13.8935
26.200001	104.846	13.4299
26.500000	104.852	13.0772
26.900000	104.859	12.6135
27.200001	104.861	12.2810
27.600000	104.860	11.8694
28.000000	104.857	11.4955
28.500000	104.852	11.0629
29.000000	104.850	10.6317
29.500000	104.851	10.1731
30.000000	104.854	9.6843
30.400000	104.854	9.2872
30.700001	104.853	8.9985
31.100000	104.850	8.6404
31.500000	104.846	8.3203
32.000000	104.843	7.9594
32.500000	104.843	7.6020
33.000000	104.841	7.2146
33.500000	104.833	6.8095
34.000000	104.821	6.4296
34.500000	104.811	6.0915
35.000000	104.809	5.7596
35.500000	104.811	5.3917
36.000000	104.809	4.9938
36.500000	104.802	4.6118
37.000000	104.793	4.2740
37.500000	104.787	3.9628
38.200001	104.781	3.5165
38.700001	104.772	3.1926
39.500000	104.753	2.7091
40.000000	104.744	2.4199
40.599998	104.735	2.0653
41.200001	104.727	1.7055
41.799999	104.720	1.3496
42.500000	104.707	0.9511
43.099998	104.693	0.6408
43.700001	104.681	0.3547
44.400002	104.672	-0.0004
45.000000	104.664	-0.3421
45.500000	104.652	-0.6278
46.200001	104.633	-0.9892
46.799999	104.619	-1.2725
47.500000	104.604	-1.6116
48.200001	104.590	-1.9605
48.700001	104.579	-2.1987
49.400002	104.565	-2.5103
50.000000	104.551	-2.7616
50.799999	104.529	-3.0666
51.500000	104.515	-3.3347
52.200001	104.504	-3.6746
53.000000	104.484	-4.0995
53.799999	104.461	-4.4043
54.500000	104.453	-4.6321
55.200001	104.443	-4.9302
56.000000	104.415	-5.2625
57.000000	104.385	-5.5787
58.000000	104.363	-5.9864
59.000000	104.331	-6.4110
60.000000	104.303	-6.7635
60.799999	104.283	-7.0063
61.500000	104.266	-7.2141
62.200001	104.247	-7.4374
63.000000	104.224	-7.7070
64.000000	104.197	-8.0489
65.000000	104.170	-8.3529
66.000000	104.145	-8.6540
67.000000	104.119	-8.9869
68.000000	104.091	-9.2778
69.000000	104.064	-9.5464
70.000000	104.034	-9.8056
71.000000	104.006	-10.0802
72.000000	103.976	-10.3653
73.000000	103.944	-10.6303
74.000000	103.913	-10.8669
75.000000	103.890	-11.0970
76.199997	103.856	-11.4403
77.500000	103.812	-11.7473
78.800003	103.776	-12.0616
80.000000	103.739	-12.3269
81.199997	103.705	-12.5898
82.500000	103.667	-12.8754
83.800003	103.627	-13.1345
85.000000	103.591	-13.3754
86.199997	103.552	-13.6248
87.500000	103.515	-13.8861
88.500000	103.486	-14.0646
90.000000	103.439	-14.3283
91.199997	103.399	-14.5495
92.500000	103.361	-14.7862
93.800003	103.321	-15.0030
95.000000	103.284	-15.1877
96.199997	103.249	-15.3787
97.500000	103.208	-15.5899
98.800003	103.167	-15.7678
100.000000	103.132	-15.9497
101.500000	103.085	-16.1668
103.000000	103.042	-16.3631
104.400002	102.996	-16.5590
106.000000	102.949	-16.7639
107.500000	102.902	-16.9412
109.000000	102.854	-17.1281
110.599998	102.805	-17.3048
112.000000	102.764	-17.4578
113.800003	102.708	-17.6463
115.000000	102.674	-17.7606
117.199997	102.605	-17.9842
118.000000	102.582	-18.0917
120.599998	102.523	-18.2021
122.000000	102.457	-18.3927
124.099998	102.399	-18.5583
125.000000	102.372	-18.6185
126.500000	102.326	-18.7423
128.000000	102.285	-18.8498
131.500000	102.180	-19.0602
132.000000	102.166	-19.0836
134.000000	102.106	-19.2050
136.000000	102.052	-19.3015
138.000000	101.992	-19.3808
140.000000	101.935	-19.5049
143.000000	101.850	-19.6203
145.000000	101.796	-19.6634
147.500000	101.723	-19.7565
150.000000	101.656	-19.8192
152.500000	101.587	-19.8734
155.000000	101.520	-19.9232
157.500000	101.454	-19.9527
160.000000	101.387	-19.9821
162.500000	101.321	-19.9911
165.000000	101.256	-20.0134
167.500000	101.192	-20.0273
170.000000	101.127	-20.0037
172.500000	101.065	-20.0028
175.000000	101.000	-19.9706
177.500000	100.940	-19.9321
180.000000	100.876	-19.8723
182.500000	100.815	-19.8468
185.000000	100.751	-19.7674
187.500000	100.689	-19.7055
190.000000	100.628	-19.6223
192.500000	100.565	-19.4644
195.000000	100.513	-19.3359
197.500000	100.461	-19.1717
200.000000	100.416	-18.9787
203.000000	100.368	-18.8502
206.000000	100.319	-18.7489
209.000000	100.270	-18.6390
212.000000	100.216	-18.5468
214.000000	100.181	-18.4989
218.000000	100.105	-18.3613
220.000000	100.071	-18.2853
224.000000	99.992	-18.1165
227.000000	99.934	-17.9256
230.000000	99.881	-17.7518
233.000000	99.835	-17.5441
236.000000	99.792	-17.3721
240.000000	99.711	-17.2831
243.000000	99.692	-17.0377
247.000000	99.634	-16.8601
250.000000	99.593	-16.7004
254.000000	99.530	-16.5180
258.000000	99.471	-16.3223
262.000000	99.414	-16.1029
265.000000	99.376	-15.9310
269.000000	99.315	-15.6987
272.000000	99.275	-15.5369
276.000000	99.220	-15.3067
280.000000	99.164	-15.0678
285.000000	99.095	-14.7316
290.000000	99.025	-14.4369
295.000000	98.966	-14.0998
300.000000	98.910	-13.8122
304.000000	98.857	-13.4523
307.000000	98.822	-13.2558
311.000000	98.773	-12.9507
315.000000	98.728	-12.6781
320.000000	98.670	-12.2795
325.000000	98.615	-11.8976
330.000000	98.565	-11.5145
335.000000	98.510	-11.0926
340.000000	98.463	-10.6562
345.000000	98.422	-10.2063
350.000000	98.378	-9.7476
355.000000	98.338	-9.2804
360.000000	98.303	-8.7717
365.000000	98.283	-8.2502
370.000000	98.269	-7.7866
375.000000	98.259	-7.3673
382.000000	98.244	-6.8832
387.000000	98.240	-6.5750
395.000000	98.215	-6.0449
400.000000	98.199	-5.7280
406.000000	98.182	-5.3692
412.000000	98.165	-4.9920
418.000000	98.149	-4.6178
425.000000	98.132	-4.2461
431.000000	98.114	-3.9165
437.000000	98.099	-3.5979
444.000000	98.078	-3.2496
450.000000	98.060	-2.9287
455.000000	98.043	-2.7025
462.000000	98.020	-2.3555
468.000000	97.995	-2.0304
475.000000	97.975	-1.6474
482.000000	97.942	-1.2969
487.000000	97.933	-1.0233
494.000000	97.904	-0.6464
500.000000	97.882	-0.3140
508.000000	97.851	0.1122
515.000000	97.827	0.5033
522.000000	97.801	0.9427
530.000000	97.771	1.4096
538.000000	97.740	1.9407
545.000000	97.718	2.4192
552.000000	97.702	2.9513
560.000000	97.695	3.5661
570.000000	97.707	4.3127
580.000000	97.733	4.9258
590.000000	97.756	5.3391
600.000000	97.768	5.6622
608.000000	97.755	5.9158
615.000000	97.743	6.1515
622.000000	97.730	6.3985
630.000000	97.709	6.7314
640.000000	97.686	7.1788
650.000000	97.659	7.6422
660.000000	97.641	8.1612
670.000000	97.606	8.6581
680.000000	97.581	9.2012
690.000000	97.563	9.7487
700.000000	97.547	10.3169
710.000000	97.527	10.9006
720.000000	97.521	11.4964
730.000000	97.500	12.0892
740.000000	97.490	12.6814
750.000000	97.480	13.2821
762.000000	97.472	14.0054
775.000000	97.462	14.8266
788.000000	97.459	15.6349
800.000000	97.458	16.4081
812.000000	97.461	17.1938
825.000000	97.470	18.0559
838.000000	97.482	18.9411
850.000000	97.498	19.7187
862.000000	97.516	20.5322
875.000000	97.545	21.4119
885.000000	97.570	22.0965
900.000000	97.621	23.1572
912.000000	97.657	23.9186
925.000000	97.704	24.7825
938.000000	97.765	25.6143
950.000000	97.822	26.3625
962.000000	97.886	27.1300
975.000000	97.959	27.9050
988.000000	98.037	28.6640
1000.000000	98.115	29.3272
1015.000000	98.213	30.1152
1030.000000	98.323	30.8533
1044.000000	98.422	31.4890
1060.000000	98.546	32.1592
1075.000000	98.661	32.7278
1090.000000	98.778	33.2414
1106.000000	98.904	33.7181
1120.000000	99.009	34.0840
1138.000000	99.146	34.4951
1150.000000	99.236	34.7094
1172.000000	99.395	35.0603
1180.000000	99.450	35.1613
1206.000000	99.624	35.4527
1220.000000	99.710	35.5385
1241.000000	99.832	35.6358
1250.000000	99.883	35.6686
1265.000000	99.957	35.6990
1280.000000	100.029	35.7448
1315.000000	100.174	35.7846
1320.000000	100.201	35.8034
1340.000000	100.265	35.8279
1360.000000	100.325	35.8581
1380.000000	100.384	35.8910
1400.000000	100.431	35.9737
1430.000000	100.496	36.1243
1450.000000	100.538	36.2640
1475.000000	100.585	36.4602
1500.000000	100.631	36.7221
1525.000000	100.673	36.9747
1550.000000	100.715	37.3006
1575.000000	100.758	37.6440
1600.000000	100.804	38.0103
1625.000000	100.849	38.4118
1650.000000	100.898	38.8185
1675.000000	100.950	39.2594
1700.000000	101.004	39.7275
1725.000000	101.063	40.1907
1750.000000	101.126	40.6811
1775.000000	101.192	41.1811
1800.000000	101.262	41.6792
1825.000000	101.335	42.1901
1850.000000	101.414	42.6919
1875.000000	101.498	43.1951
1900.000000	101.589	43.6926
1925.000000	101.681	44.1817
1950.000000	101.778	44.6624
1975.000000	101.881	45.1114
2000.000000	101.990	45.5647
2030.000000	102.125	46.0695
2060.000000	102.267	46.5331
2090.000000	102.418	46.9807
2120.000000	102.573	47.3764
2140.000000	102.680	47.6108
2180.000000	102.904	48.0280
2200.000000	103.020	48.1940
2240.000000	103.256	48.4455
2270.000000	103.441	48.5566
2300.000000	103.627	48.5969
2330.000000	103.818	48.5457
2360.000000	104.012	48.4060
2400.000000	104.271	48.1045
2430.000000	104.466	47.7675
2470.000000	104.721	47.1561
2500.000000	104.910	46.5740
2540.000000	105.153	45.6564
2580.000000	105.384	44.5459
2620.000000	105.595	43.2781
2650.000000	105.741	42.2120
2690.000000	105.911	40.6595
2720.000000	106.022	39.4204
2760.000000	106.142	37.6659
2800.000000	106.228	35.8369
2850.000000	106.287	33.5073
2900.000000	106.290	31.1802
2950.000000	106.242	28.9324
3000.000000	106.148	26.8130
3040.000000	106.044	25.2733
3070.000000	105.953	24.1967
3110.000000	105.816	22.8968
3150.000000	105.663	21.7401
3200.000000	105.460	20.5233
3250.000000	105.248	19.5319
3300.000000	105.033	18.7801
3350.000000	104.822	18.2082
3400.000000	104.613	17.8254
3450.000000	104.415	17.6066
3500.000000	104.225	17.5173
3550.000000	104.045	17.5702
3600.000000	103.880	17.6994
3650.000000	103.726	17.9284
3700.000000	103.586	18.2280
